Symbol,Description,Open 1 day,High 1 day,Low 1 day,Price,Volume 1 day,Price Change % 1 day
786,786 INVESTMENTS LTD,10.27,10.27,9.6,9.8,36677,-2.097902098
AABS,AL-ABBAS SUGAR MILLS LTD,929,929,910,914.15,59,0.180821918
AATM,ALI ASGHAR TEXTILE MILLS LTD (defaulter),56,56,51.02,52.26,198389,-7.602545969
ABL,ALLIED BANK LTD,196.1,199,186.5,188.33,651078,-3.932870843
ABOT,ABBOTT LABORATORIES (PAKISTAN) LTD,1079,1081,1063.51,1069.31,5417,-0.692812764
ACPL,ATTOCK CEMENT PAKISTAN LTD,277.15,277.99,272,273.63,79727,-1.359048306
ADAMS,ADAM SUGAR MILLS LTD,75.44,81.53,75.44,77.95,82608,5.167296276
ADMM,ARTISTIC DENIM MILLS LTD,66.2,67.98,65.15,65.87,16346,-1.818452825
AGHA,AGHA STEEL INDUSTRIES LIMITED,8.88,9.07,8.65,8.98,1266345,2.863688431
AGIC,ASKARI GENERAL INSURANCE CO. LTD,45.3,46.97,45,45.15,7096,-0.769230769
AGIL,AGRIAUTO INDUSTRIES LTD,143.51,146.9,138.05,145.7,99309,2.324601447
AGL,AGRITECH LTD,57.99,62.55,55,58.84,919977,3.482237074
AGP,AGP LTD,192.1,196.01,192.1,194.96,135857,1.536378314
AGSML,ABDULLAH SHAH GHAZI SUGAR MILLS LTD,9.6,9.6,8.99,9.15,181028,-1.506996771
AGTL,AL-GHAZI TRACTORS LTD,428.5,428.5,424,425.03,17769,0.214561916
AHCL,ARIF HABIB CORPORATION LTD,11.62,12.77,11.55,12.75,11355272,9.819121447
AHL,ARIF HABIB LTD,81.48,81.48,79,79.99,33560,-0.0125
AHTM,AHMED HASSAN TEXTILE MILLS LTD,99.98,99.98,84.96,85.04,3937,-9.915254237
AICL,ADAMJEE INSURANCE CO LTD,69.5,70.9,68.3,68.65,389741,-1.928571429
AIRLINK,AIR LINK COMMUNICATION LIMITED,141,141.8,139,139.84,477960,-0.822695035
AKBL,ASKARI BANK LTD,70.51,71.3,69.75,70.73,5510892,0.611664296
AKDHL,AKD HOSPITALITY LIMITED ,190.5,190.5,184.01,185.29,731,-2.473814411
AKDSL,AKD SECURITIES LIMITED,33.97,33.97,32.82,33.28,182796,-0.98185064
AKGL,AL-KHAIR GADOON LTD,60.04,63,60.03,60.03,27,0
ALAC,ASKARI LIFE ASSURANCE CO LTD,12.1,13.1,11.3,11.3,10622084,-9.960159363
ALIFE,ADAMJEE LIFE ASSURANCE COMPANY LIMITED,31.02,32.5,31.01,32.11,11271,1.871827411
ALNRS,AL-NOOR SUGAR MILLS LTD,93.85,103,90,92.66,17137,-1.236410147
ALTN,ALTERN ENERGY LTD,11.3,11.72,11.3,11.43,1106565,0.439367311
AMBL,APNA MICROFINANCE BANK LTD,12,12.69,11.8,11.97,4961,-2.125919869
AMTEX,AMTEX LTD (defaulter),3.25,3.29,3.14,3.16,371537,0
ANL,AZGARD NINE LTD,11.9,11.9,11.45,11.67,1009567,-0.765306122
ANTM,AN TEXTILE MILLS LTD,23.06,28.04,23.06,25.5,50847,0.039231071
APL,ATTOCK PETROLEUM LTD,515,519.99,511.4,518.15,6139,0.496518552
ARCTM,ARCTIC TEXTILE MILLS LIMITED,41.79,42.5,38.3,41.95,2575,0.382866715
ARPAK,ARPAK INTERNATIONAL INVESTMENTS LTD,65.07,65.07,58.6,61.91,3213,-4.856308591
ARPL,ARCHROMA PAKISTAN LTD,429.89,467.89,429.89,467.89,56518,10.0011755
ARUJ,ARUJ INDUSTRIES LTD (defaulter),10.2,10.4,10,10,33779,-2.53411306
ASC,AL SHAHEER CORPORATION,7.51,7.74,7.31,7.4,481467,-1.986754967
