Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 INVESTMENTS LTD,9.99,PKR,10.19,PKR,9.56,PKR,9.65,PKR,32756,-3.0150753768844116
AABS,AL-ABBAS SUGAR MILLS LTD,908,PKR,967,PKR,904,PKR,921.44,PKR,468,2.1359610716383934
AATM,ALI ASGHAR TEXTILE MILLS LTD (defaulter),49.32,PKR,52.99,PKR,47.02,PKR,48.31,PKR,52693,-2.0279862096937737
ABL,ALLIED BANK LTD,179.19,PKR,192.99,PKR,173,PKR,177.56,PKR,1457615,-0.9096489759473159
ABOT,ABBOTT LABORATORIES (PAKISTAN) LTD,1075,PKR,1100,PKR,1070.2,PKR,1080.02,PKR,15367,-0.6339071312252256
ACPL,ATTOCK CEMENT PAKISTAN LTD,281.01,PKR,282,PKR,274.05,PKR,276.35,PKR,141051,-1.4162385844748753
ADAMS,ADAM SUGAR MILLS LTD,71.02,PKR,74.79,PKR,69,PKR,70,PKR,2135,-1.4362151506617797
ADMM,ARTISTIC DENIM MILLS LTD,66.16,PKR,68.8,PKR,66.16,PKR,67.55,PKR,77638,1.6247931397622963
AGHA,AGHA STEEL INDUSTRIES LIMITED,10.09,PKR,10.37,PKR,9.4,PKR,9.49,PKR,18754413,-4.334677419354835
AGIC,ASKARI GENERAL INSURANCE CO. LTD,44.52,PKR,44.7,PKR,44,PKR,44.14,PKR,16502,-1.4512167894619303
AGIL,AGRIAUTO INDUSTRIES LTD,148.03,PKR,148.9,PKR,144.05,PKR,146.01,PKR,115965,-0.6667120212259461
AGL,AGRITECH LTD,61.99,PKR,62.25,PKR,59.05,PKR,60.77,PKR,1276860,-1.106590724165988
AGP,AGP LTD,199,PKR,205,PKR,198.3,PKR,201.14,PKR,1540611,1.452637950166446
AGSML,ABDULLAH SHAH GHAZI SUGAR MILLS LTD,9.48,PKR,9.61,PKR,9,PKR,9.05,PKR,132028,-5.827263267429748
AGTL,AL-GHAZI TRACTORS LTD,425,PKR,429,PKR,417.01,PKR,417.63,PKR,24909,-1.6855387367875951
AHCL,ARIF HABIB CORPORATION LTD,12.42,PKR,12.57,PKR,12.1,PKR,12.16,PKR,1931750,-2.6421136909527627
AHL,ARIF HABIB LTD,79.24,PKR,80,PKR,75.5,PKR,76.85,PKR,58954,-2.4993656432377556
AHTM,AHMED HASSAN TEXTILE MILLS LTD,84.28,PKR,89,PKR,76.18,PKR,81.4,PKR,1259,-3.4171808258186944
AICL,ADAMJEE INSURANCE CO LTD,70.25,PKR,71.8,PKR,69.4,PKR,69.51,PKR,969730,-0.8557980316645191
