Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 INVESTMENTS LTD,9.57,PKR,9.78,PKR,8.71,PKR,9.21,PKR,29197,-4.559585492227973
AABS,AL-ABBAS SUGAR MILLS LTD,950,PKR,980,PKR,942.01,PKR,968.99,PKR,367,5.160401111304041
AATM,ALI ASGHAR TEXTILE MILLS LTD (defaulter),49.9,PKR,49.9,PKR,47.02,PKR,48.15,PKR,8117,-0.3311943696957228
ABL,ALLIED BANK LTD,178.8,PKR,185,PKR,178,PKR,182.58,PKR,563891,2.8272133363370187
ABOT,ABBOTT LABORATORIES (PAKISTAN) LTD,1080.02,PKR,1099,PKR,1076.77,PKR,1080.14,PKR,13162,0.011110905353615511
ACPL,ATTOCK CEMENT PAKISTAN LTD,275.26,PKR,281.9,PKR,272.9,PKR,274.79,PKR,256476,-0.5645015379048316
ADAMS,ADAM SUGAR MILLS LTD,71,PKR,72.94,PKR,65,PKR,69.94,PKR,10950,-0.08571428571428896
ADMM,ARTISTIC DENIM MILLS LTD,67.8,PKR,67.8,PKR,64.5,PKR,66.17,PKR,24590,-2.04293116210214
AGHA,AGHA STEEL INDUSTRIES LIMITED,9.5,PKR,9.92,PKR,9.3,PKR,9.34,PKR,8048199,-1.580611169652269
AGIC,ASKARI GENERAL INSURANCE CO. LTD,44.01,PKR,44.7,PKR,43.75,PKR,44,PKR,5869,-0.3171726325328513
AGIL,AGRIAUTO INDUSTRIES LTD,145,PKR,150,PKR,141.9,PKR,148.16,PKR,128112,1.4725018834326455
AGL,AGRITECH LTD,60,PKR,60.98,PKR,58.5,PKR,59.5,PKR,613691,-2.089846963962487
AGP,AGP LTD,201.95,PKR,204.5,PKR,197,PKR,198.17,PKR,643805,-1.476583474197076
AGSML,ABDULLAH SHAH GHAZI SUGAR MILLS LTD,9.11,PKR,9.69,PKR,8.8,PKR,9.1,PKR,416149,0.552486187845292
AGTL,AL-GHAZI TRACTORS LTD,417.01,PKR,422,PKR,415.07,PKR,419.7,PKR,6664,0.49565404784138906
AHCL,ARIF HABIB CORPORATION LTD,12.2,PKR,12.55,PKR,12.18,PKR,12.3,PKR,2280223,1.1513157894736887
