Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 INVESTMENTS LTD,9.03,PKR,9.71,PKR,9.03,PKR,9.37,PKR,39244,1.737242128121589
AABS,AL-ABBAS SUGAR MILLS LTD,970,PKR,970,PKR,955,PKR,967.57,PKR,595,-0.14654433998286454
AATM,ALI ASGHAR TEXTILE MILLS LTD (defaulter),48.9,PKR,50,PKR,47,PKR,47.3,PKR,35212,-1.7653167185877494
ABL,ALLIED BANK LTD,182.39,PKR,185.19,PKR,180.12,PKR,183.26,PKR,292158,0.37243947858471815
ABOT,ABBOTT LABORATORIES (PAKISTAN) LTD,1081,PKR,1092,PKR,1075,PKR,1080.65,PKR,17278,0.047216101616456285
ACPL,ATTOCK CEMENT PAKISTAN LTD,279.95,PKR,279.95,PKR,272,PKR,276.49,PKR,74748,0.6186542450598598
ADAMS,ADAM SUGAR MILLS LTD,66.41,PKR,68.99,PKR,66,PKR,68.62,PKR,4350,-1.8873319988561528
ADMM,ARTISTIC DENIM MILLS LTD,67,PKR,67.49,PKR,66,PKR,66.47,PKR,15936,0.4533776635937693
AGHA,AGHA STEEL INDUSTRIES LIMITED,9.33,PKR,9.48,PKR,9.15,PKR,9.17,PKR,1486873,-1.8201284796573867
AGIC,ASKARI GENERAL INSURANCE CO. LTD,44.8,PKR,44.8,PKR,44.2,PKR,44.2,PKR,1952,0.454545454545461
AGIL,AGRIAUTO INDUSTRIES LTD,149.9,PKR,152,PKR,148.08,PKR,148.7,PKR,66763,0.364470842332608
AGL,AGRITECH LTD,59.5,PKR,60,PKR,58.61,PKR,59.24,PKR,493109,-0.43697478991596306
AGP,AGP LTD,200,PKR,202.9,PKR,199,PKR,199.9,PKR,307402,0.8729878387243367
AGSML,ABDULLAH SHAH GHAZI SUGAR MILLS LTD,9.25,PKR,9.25,PKR,8.16,PKR,8.35,PKR,347768,-8.241758241758241
AGTL,AL-GHAZI TRACTORS LTD,422,PKR,422.9,PKR,418,PKR,419.67,PKR,8331,-0.00714796283058678
AHCL,ARIF HABIB CORPORATION LTD,12.33,PKR,12.43,PKR,12.25,PKR,12.34,PKR,626263,0.3252032520325134
AHL,ARIF HABIB LTD,76.43,PKR,77,PKR,75.2,PKR,75.42,PKR,31051,0.3726377428799589
AHTM,AHMED HASSAN TEXTILE MILLS LTD,85.99,PKR,85.99,PKR,81.45,PKR,81.4,PKR,14,0
AICL,ADAMJEE INSURANCE CO LTD,68.28,PKR,69.6,PKR,67.1,PKR,67.5,PKR,247081,-1.2291483757682227
AIRLINK,AIR LINK COMMUNICATION LIMITED,140.01,PKR,140.68,PKR,137.5,PKR,138.98,PKR,413438,-0.2583608439787668
AKBL,ASKARI BANK LTD,70.4,PKR,71.1,PKR,69.46,PKR,69.54,PKR,2790471,-0.014378145219253636
AKDHL,AKD HOSPITALITY LIMITED ,182.01,PKR,182.01,PKR,180.6,PKR,180.9,PKR,2464,-0.9960595446584902
AKDSL,AKD SECURITIES LIMITED,32.78,PKR,32.78,PKR,31.2,PKR,31.49,PKR,172545,-1.8085438104147236
AKGL,AL-KHAIR GADOON LTD,59.99,PKR,59.99,PKR,56.92,PKR,57.16,PKR,385,0.45694200351493497
ALAC,ASKARI LIFE ASSURANCE CO LTD,9.3,PKR,9.89,PKR,9.3,PKR,9.56,PKR,2133921,1.918976545842214
ALIFE,ADAMJEE LIFE ASSURANCE COMPANY LIMITED,33.49,PKR,33.49,PKR,31.49,PKR,32.94,PKR,21030,6.258064516129025
ALNRS,AL-NOOR SUGAR MILLS LTD,90.14,PKR,95,PKR,90,PKR,90,PKR,13749,-5.133340360493311
ALTN,ALTERN ENERGY LTD,11.25,PKR,11.35,PKR,11.2,PKR,11.31,PKR,408340,0.8920606601248852
AMBL,APNA MICROFINANCE BANK LTD,11.95,PKR,11.99,PKR,11.86,PKR,11.95,PKR,3708,9.63302752293577
AMTEX,AMTEX LTD (defaulter),3.29,PKR,3.37,PKR,3.1,PKR,3.24,PKR,6983520,3.8461538461538494
ANL,AZGARD NINE LTD,12.3,PKR,12.44,PKR,11.92,PKR,12.05,PKR,2095510,1.090604026845644
ANTM,AN TEXTILE MILLS LTD,23.01,PKR,27.5,PKR,22.5,PKR,27,PKR,62744,8
APL,ATTOCK PETROLEUM LTD,515.1,PKR,529.89,PKR,515,PKR,517.79,PKR,43894,0.4539722572509298
ARCTM,ARCTIC TEXTILE MILLS LIMITED,39.01,PKR,42.5,PKR,39.01,PKR,40.13,PKR,39036,-1.1089206505667712
ARPAK,ARPAK INTERNATIONAL INVESTMENTS LTD,62.51,PKR,62.51,PKR,62.5,PKR,62.16,PKR,100,0
ARPL,ARCHROMA PAKISTAN LTD,497.05,PKR,498.88,PKR,487,PKR,495.16,PKR,19223,-0.38825967128687966
ARUJ,ARUJ INDUSTRIES LTD (defaulter),10,PKR,10.2,PKR,9.8,PKR,10.01,PKR,21050,2.877697841726612
ASC,AL SHAHEER CORPORATION,7.53,PKR,7.73,PKR,7.46,PKR,7.5,PKR,206537,0
ASHT,ASHFAQ TEXTILE MILLS LTD,25.53,PKR,26,PKR,25.52,PKR,25.53,PKR,572,4.845995893223818
ASIC,ASIA INSURANCE CO LTD,20.77,PKR,20.77,PKR,19,PKR,19,PKR,2376,0
ASL,AISHA STEEL MILLS LTD,12.15,PKR,12.2,PKR,11.79,PKR,11.83,PKR,6404551,-1.988400994200499
ASTL,AMRELI STEELS LTD,22,PKR,22.43,PKR,21.8,PKR,21.99,PKR,145376,-1.3458950201884285
ASTM,ASIM TEXTILE MILLS LTD,26.25,PKR,28.29,PKR,25,PKR,28.29,PKR,280421,9.992223950233283
ATBA,ATLAS BATTERY LTD,299.01,PKR,300.95,PKR,291.5,PKR,293.7,PKR,14677,-2.197802197802205
ATIL,ATLAS INSURANCE LTD,87.51,PKR,87.51,PKR,84,PKR,85.99,PKR,3131,3.0190487600335403
ATLH,ATLAS HONDA LTD,1211,PKR,1250,PKR,1210,PKR,1230.31,PKR,18204,2.0953313527957116
ATRL,ATTOCK REFINERY LTD,656,PKR,664.5,PKR,654,PKR,655.42,PKR,287889,0.26771918552174645
AVN,AVANCEON LTD,48.99,PKR,49.4,PKR,48.45,PKR,49.12,PKR,836618,1.361947998349147
AWTX,ALLAWASAYA TEXTILE & FINISHING MILLS LTD,1550.51,PKR,1550.51,PKR,1550.51,PKR,1550.51,PKR,1,-0.0006449449217031
BAFL,BANK ALFALAH LTD,90.25,PKR,93,PKR,87.78,PKR,88.04,PKR,6554598,-2.3297093410250658
BAFS,BABA FARID SUGAR MILLS LTD,112.51,PKR,112.51,PKR,112.51,PKR,112.51,PKR,805,10.00195541650372
BAHL,BANK AL-HABIB LTD,166.5,PKR,166.97,PKR,164.95,PKR,165.99,PKR,402415,-0.00602409638553669
BAPL,BAWANY AIR PRODUCTS LTD,50.5,PKR,52.7,PKR,49.9,PKR,51.02,PKR,563421,5.1958762886598
BATA,BATA PAKISTAN LTD,1670,PKR,1670,PKR,1641,PKR,1654.8,PKR,294,0.13797109868564209
BBFL,BIG BIRD FOODS LIMITED ,47.98,PKR,48.1,PKR,46.82,PKR,47.03,PKR,1941626,-2.4071384104585944
BCL,BOLAN CASTINGS LTD,119.85,PKR,130,PKR,118.3,PKR,125.81,PKR,3481970,5.954185615630796
BECO,BECO STEEL LIMITED,20.3,PKR,21,PKR,19.92,PKR,20.2,PKR,1230845,0.3976143141152997
BELA,BELA AUTOMOTIVES LTD,122,PKR,123,PKR,122,PKR,118,PKR,325,0
BERG,BERGER PAINTS PAKISTAN LTD,111,PKR,112.59,PKR,110,PKR,110.17,PKR,36881,-0.036294347155423325
BFAGRO,BARKAT FRISIAN AGRO LIMITED,38.9,PKR,39.35,PKR,38.5,PKR,38.71,PKR,759240,0.7548152004164475
BFBIO,BF BIOSCIENCES LTD,162.51,PKR,163.23,PKR,160.05,PKR,161.89,PKR,296070,0.4716688388257872
BFMOD,B.F. MODARABA,11.19,PKR,11.19,PKR,10.45,PKR,10.87,PKR,2912,-0.9115770282589009
BGL,BALOCHISTAN GLASS LTD,11.7,PKR,12.1,PKR,11.5,PKR,11.55,PKR,591903,-0.602409638554204
BHAT,BHANERO TEXTILE MILLS LTD,878.85,PKR,900,PKR,870,PKR,873.57,PKR,160,-0.600785116914146
BIFO,BIAFO INDUSTRIES LTD,184.98,PKR,188,PKR,184.1,PKR,184.43,PKR,163228,0.8530650188658623
BILF,BILAL FIBRES LTD,20.7,PKR,21.16,PKR,20.14,PKR,21,PKR,150730,2.289332683877247
BIPL,BANKISLAMI PAKISTAN LTD,34.65,PKR,34.65,PKR,33.95,PKR,34.04,PKR,1042433,-0.20521841102316118
