Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 INVESTMENTS LTD,9.39,PKR,9.86,PKR,9.06,PKR,9.33,PKR,45729,-0.42689434364993756
AABS,AL-ABBAS SUGAR MILLS LTD,970,PKR,990,PKR,970,PKR,988.26,PKR,135,2.138346579575632
AATM,ALI ASGHAR TEXTILE MILLS LTD (defaulter),48.35,PKR,48.85,PKR,46.9,PKR,47.15,PKR,16989,-0.3171247357293839
ABL,ALLIED BANK LTD,184,PKR,185.1,PKR,182,PKR,183.39,PKR,90871,0.07093746589544661
ABOT,ABBOTT LABORATORIES (PAKISTAN) LTD,1080.65,PKR,1100,PKR,1051.15,PKR,1099.06,PKR,64603,1.703604312219484
ACPL,ATTOCK CEMENT PAKISTAN LTD,280,PKR,280,PKR,274.12,PKR,275.79,PKR,43467,-0.25317371333501704
ADAMS,ADAM SUGAR MILLS LTD,66,PKR,74,PKR,66,PKR,73.03,PKR,2103,6.426697755756333
ADMM,ARTISTIC DENIM MILLS LTD,66.9,PKR,66.9,PKR,61,PKR,62.33,PKR,45157,-6.228373702422147
AGHA,AGHA STEEL INDUSTRIES LIMITED,9.2,PKR,9.35,PKR,8.9,PKR,9.01,PKR,3488846,-1.744820065430754
AGIC,ASKARI GENERAL INSURANCE CO. LTD,45,PKR,45,PKR,43.51,PKR,43.63,PKR,2709,-1.289592760180996
AGIL,AGRIAUTO INDUSTRIES LTD,149.9,PKR,151.79,PKR,145.6,PKR,145.93,PKR,83580,-1.862811028917271
AGL,AGRITECH LTD,59.05,PKR,60.97,PKR,59,PKR,60.3,PKR,327265,1.7893315327481352
AGP,AGP LTD,201,PKR,201.95,PKR,197.2,PKR,198.89,PKR,93108,-0.5052526263131663
AGSML,ABDULLAH SHAH GHAZI SUGAR MILLS LTD,8.31,PKR,8.8,PKR,8.06,PKR,8.31,PKR,148226,-0.4790419161676545
AGTL,AL-GHAZI TRACTORS LTD,422.91,PKR,422.91,PKR,418,PKR,418.6,PKR,18710,-0.2549622322300839
AHCL,ARIF HABIB CORPORATION LTD,12.4,PKR,12.5,PKR,12.26,PKR,12.45,PKR,1166702,0.8914100486223616
AHL,ARIF HABIB LTD,75.5,PKR,76.98,PKR,75.11,PKR,75.38,PKR,9901,-0.05303632988598018
AHTM,AHMED HASSAN TEXTILE MILLS LTD,81.4,PKR,85,PKR,75.01,PKR,75.11,PKR,2535,-7.727272727272734
AICL,ADAMJEE INSURANCE CO LTD,68,PKR,68,PKR,66.9,PKR,67.46,PKR,232144,-0.05925925925926852
AIRLINK,AIR LINK COMMUNICATION LIMITED,139.75,PKR,139.85,PKR,135,PKR,138.01,PKR,546308,-0.6979421499496322
AKBL,ASKARI BANK LTD,69.54,PKR,70,PKR,68.99,PKR,69.14,PKR,2553602,-0.5752085130860017
AKDHL,AKD HOSPITALITY LIMITED ,180.51,PKR,182.99,PKR,178.01,PKR,178.7,PKR,1025,-1.2161415146489867
