Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 INVESTMENTS LTD,9.13,PKR,9.58,PKR,9.13,PKR,9.32,PKR,2613,-0.1071811361200406
AABS,AL-ABBAS SUGAR MILLS LTD,990,PKR,1075,PKR,990,PKR,1070.98,PKR,269,8.37026693380285
AATM,ALI ASGHAR TEXTILE MILLS LTD (defaulter),46.52,PKR,47.99,PKR,45.9,PKR,46.07,PKR,37066,-2.2905620360551397
ABL,ALLIED BANK LTD,185,PKR,186.9,PKR,182.16,PKR,184.55,PKR,252784,0.6325317629096598
ABOT,ABBOTT LABORATORIES (PAKISTAN) LTD,1110,PKR,1125,PKR,1100,PKR,1110.16,PKR,18109,1.0099539606573014
ACPL,ATTOCK CEMENT PAKISTAN LTD,280,PKR,286,PKR,278,PKR,284.85,PKR,280122,3.2851082345262705
ADAMS,ADAM SUGAR MILLS LTD,70.99,PKR,76.1,PKR,65.81,PKR,72.93,PKR,6724,-0.13693002875529825
ADMM,ARTISTIC DENIM MILLS LTD,63,PKR,63.39,PKR,58.6,PKR,60.31,PKR,428385,-3.240815016845814
AGHA,AGHA STEEL INDUSTRIES LIMITED,9.02,PKR,9.37,PKR,8.95,PKR,9.17,PKR,4083894,1.7758046614872383
AGIC,ASKARI GENERAL INSURANCE CO. LTD,44,PKR,44,PKR,43.25,PKR,43.98,PKR,16572,0.8022003208801153
AGIL,AGRIAUTO INDUSTRIES LTD,146,PKR,148.45,PKR,143,PKR,145.08,PKR,46371,-0.582471047762622
AGL,AGRITECH LTD,61,PKR,65.49,PKR,61,PKR,63.72,PKR,2526411,5.671641791044779
AGP,AGP LTD,200,PKR,204.8,PKR,200,PKR,202,PKR,252900,1.5636784152043912
AGSML,ABDULLAH SHAH GHAZI SUGAR MILLS LTD,8.5,PKR,8.65,PKR,8.16,PKR,8.48,PKR,67501,2.045728038507821
AGTL,AL-GHAZI TRACTORS LTD,419.92,PKR,421.5,PKR,415,PKR,418.92,PKR,7264,0.07644529383659655
