Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 INVESTMENTS LTD,9.17,PKR,9.29,PKR,9,PKR,9.19,PKR,100198,-1.3948497854077337
AABS,AL-ABBAS SUGAR MILLS LTD,965.01,PKR,1108.9,PKR,965.01,PKR,1010.41,PKR,1026,-5.655567797717982
AATM,ALI ASGHAR TEXTILE MILLS LTD (defaulter),46,PKR,47,PKR,44,PKR,46.55,PKR,44314,1.0418927718688884
ABL,ALLIED BANK LTD,186.9,PKR,186.9,PKR,183.51,PKR,184.42,PKR,20796,-0.07044161473856617
ABOT,ABBOTT LABORATORIES (PAKISTAN) LTD,1113,PKR,1119,PKR,1110,PKR,1110.03,PKR,7344,-0.011710023780365815
ACPL,ATTOCK CEMENT PAKISTAN LTD,286,PKR,297,PKR,283.28,PKR,293.52,PKR,1288548,3.0437072143233137
ADAMS,ADAM SUGAR MILLS LTD,75,PKR,75,PKR,69.11,PKR,70.82,PKR,1081,-2.893185246126441
ADMM,ARTISTIC DENIM MILLS LTD,60,PKR,61.5,PKR,58.1,PKR,60,PKR,133091,-0.5140109434587999
AGHA,AGHA STEEL INDUSTRIES LIMITED,9.15,PKR,9.24,PKR,9.06,PKR,9.12,PKR,417417,-0.5452562704471179
AGIC,ASKARI GENERAL INSURANCE CO. LTD,43.98,PKR,43.98,PKR,42,PKR,42.31,PKR,15059,-3.797180536607537
AGIL,AGRIAUTO INDUSTRIES LTD,146,PKR,147.98,PKR,143.07,PKR,146.62,PKR,31120,1.0614833195478302
AGL,AGRITECH LTD,63.99,PKR,66.2,PKR,62,PKR,63.9,PKR,2316029,0.28248587570621425
AGP,AGP LTD,202.51,PKR,207.6,PKR,201,PKR,205.61,PKR,267759,1.7871287128712938
AGSML,ABDULLAH SHAH GHAZI SUGAR MILLS LTD,8.47,PKR,8.48,PKR,8.15,PKR,8.3,PKR,64076,-2.122641509433959
AGTL,AL-GHAZI TRACTORS LTD,418.91,PKR,419.75,PKR,410.05,PKR,415.39,PKR,9186,-0.8426429867277831
AHCL,ARIF HABIB CORPORATION LTD,12.48,PKR,12.5,PKR,12.3,PKR,12.35,PKR,928515,-0.6436041834271928
AHL,ARIF HABIB LTD,76.2,PKR,79.45,PKR,76.2,PKR,78.94,PKR,33044,2.359958506224057
AHTM,AHMED HASSAN TEXTILE MILLS LTD,84.35,PKR,84.35,PKR,73.66,PKR,81.5,PKR,189,0
AICL,ADAMJEE INSURANCE CO LTD,67.9,PKR,70,PKR,67.05,PKR,69.25,PKR,822747,2.897473997028236
AIRLINK,AIR LINK COMMUNICATION LIMITED,139.5,PKR,139.61,PKR,138.3,PKR,138.53,PKR,560708,-1.2756556442417275
AKBL,ASKARI BANK LTD,68.9,PKR,68.9,PKR,67.1,PKR,67.76,PKR,1323593,-0.36759300102926035
AKDHL,AKD HOSPITALITY LIMITED ,177.03,PKR,182,PKR,175.51,PKR,181.57,PKR,1054,0.04407956361231147
AKDSL,AKD SECURITIES LIMITED,31.72,PKR,32,PKR,31.5,PKR,31.51,PKR,84037,-1.5312499999999951
