Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 INVESTMENTS LTD,9.06,PKR,9.34,PKR,9.06,PKR,9.3,PKR,8144,1.1969532100108946
AABS,AL-ABBAS SUGAR MILLS LTD,1010.01,PKR,1079.9,PKR,1010.01,PKR,1079.9,PKR,430,6.877406201442991
AATM,ALI ASGHAR TEXTILE MILLS LTD (defaulter),47.01,PKR,47.01,PKR,42.06,PKR,44.36,PKR,37241,-4.704618689581091
ABL,ALLIED BANK LTD,180.5,PKR,189.8,PKR,180.5,PKR,187.71,PKR,225848,1.78397136969961
ABOT,ABBOTT LABORATORIES (PAKISTAN) LTD,1115.99,PKR,1125,PKR,1110,PKR,1120.05,PKR,19542,0.9026783059917283
ACPL,ATTOCK CEMENT PAKISTAN LTD,293,PKR,297,PKR,291.5,PKR,294.03,PKR,316154,0.17375306623057746
ADAMS,ADAM SUGAR MILLS LTD,69.5,PKR,73,PKR,68.01,PKR,70.04,PKR,23792,-1.1013837898898433
ADMM,ARTISTIC DENIM MILLS LTD,60,PKR,60.95,PKR,59,PKR,59.18,PKR,104863,-1.3666666666666671
AGHA,AGHA STEEL INDUSTRIES LIMITED,9.15,PKR,9.34,PKR,9.05,PKR,9.11,PKR,1728864,-0.10964912280701522
AGIC,ASKARI GENERAL INSURANCE CO. LTD,42.25,PKR,42.25,PKR,40.85,PKR,41.01,PKR,37728,-3.0725596785629974
AGIL,AGRIAUTO INDUSTRIES LTD,145,PKR,151.3,PKR,145,PKR,149.4,PKR,141512,1.8960578365843683
AGL,AGRITECH LTD,64.35,PKR,70.29,PKR,62.25,PKR,70.29,PKR,4017211,10.000000000000012
AGP,AGP LTD,207.98,PKR,217,PKR,205,PKR,215.06,PKR,530380,4.596079957200519
AGSML,ABDULLAH SHAH GHAZI SUGAR MILLS LTD,8.3,PKR,8.8,PKR,8.27,PKR,8.61,PKR,237276,3.734939759036129
AGTL,AL-GHAZI TRACTORS LTD,419.49,PKR,419.49,PKR,415.42,PKR,417.41,PKR,6443,0.4862899925371431
AHCL,ARIF HABIB CORPORATION LTD,12.48,PKR,12.51,PKR,12.25,PKR,12.4,PKR,785544,0.4048582995951474
AHL,ARIF HABIB LTD,78,PKR,79.74,PKR,78,PKR,78.33,PKR,29723,-0.772738788953635
AHTM,AHMED HASSAN TEXTILE MILLS LTD,75.11,PKR,81.74,PKR,75.11,PKR,76.04,PKR,1161,-6.699386503067477
AICL,ADAMJEE INSURANCE CO LTD,70.11,PKR,74.9,PKR,68.61,PKR,72.96,PKR,2101287,5.3574007220216515
AIRLINK,AIR LINK COMMUNICATION LIMITED,139.05,PKR,139.22,PKR,137.5,PKR,137.81,PKR,371432,-0.5197430159532223
AKBL,ASKARI BANK LTD,67.99,PKR,71.4,PKR,67.16,PKR,71.1,PKR,15211843,4.929161747343549
AKDHL,AKD HOSPITALITY LIMITED ,180,PKR,180,PKR,180,PKR,180,PKR,1001,-0.864680288593927
AKDSL,AKD SECURITIES LIMITED,31.98,PKR,31.98,PKR,31.25,PKR,31.28,PKR,186883,-0.7299270072992714
AKGL,AL-KHAIR GADOON LTD,57.02,PKR,57.5,PKR,57.02,PKR,57,PKR,201,0
ALAC,ASKARI LIFE ASSURANCE CO LTD,10.06,PKR,10.79,PKR,10.02,PKR,10.12,PKR,4609268,0.5964214711729494
ALIFE,ADAMJEE LIFE ASSURANCE COMPANY LIMITED,33.1,PKR,34.24,PKR,33,PKR,33.9,PKR,35703,1.9242333132892382
ALNRS,AL-NOOR SUGAR MILLS LTD,90,PKR,94.9,PKR,90,PKR,94.7,PKR,5446,9.771647154283073
ALTN,ALTERN ENERGY LTD,11.35,PKR,11.39,PKR,11.25,PKR,11.27,PKR,508570,-0.3536693191865687
AMBL,APNA MICROFINANCE BANK LTD,10.5,PKR,12.24,PKR,10.5,PKR,11.17,PKR,37,0
AMTEX,AMTEX LTD (defaulter),3.32,PKR,3.97,PKR,3.24,PKR,3.83,PKR,25304731,19.687499999999996
ANL,AZGARD NINE LTD,11.85,PKR,12.3,PKR,11.85,PKR,11.91,PKR,2449124,0.5063291139240548
ANTM,AN TEXTILE MILLS LTD,33.41,PKR,34.95,PKR,30.69,PKR,30.69,PKR,50803,-10
APL,ATTOCK PETROLEUM LTD,537,PKR,545,PKR,530,PKR,542.65,PKR,49528,1.3768494993274558
ARCTM,ARCTIC TEXTILE MILLS LIMITED,39.95,PKR,39.95,PKR,38.5,PKR,39.07,PKR,3284,2.0104438642297735
ARPAK,ARPAK INTERNATIONAL INVESTMENTS LTD,67.99,PKR,67.99,PKR,67.96,PKR,65.06,PKR,2,0
ARPL,ARCHROMA PAKISTAN LTD,455,PKR,460,PKR,453.01,PKR,454.29,PKR,5974,-1.2262735633683357
ARUJ,ARUJ INDUSTRIES LTD (defaulter),9.81,PKR,10.1,PKR,9.8,PKR,9.87,PKR,63894,0.8171603677221662
ASC,AL SHAHEER CORPORATION,7.59,PKR,7.59,PKR,7.35,PKR,7.49,PKR,71442,1.3531799729364078
ASHT,ASHFAQ TEXTILE MILLS LTD,26.58,PKR,26.58,PKR,24,PKR,26.3,PKR,2267,-1.053423626787049
ASIC,ASIA INSURANCE CO LTD,20.9,PKR,21,PKR,18,PKR,19.25,PKR,289,0
ASL,AISHA STEEL MILLS LTD,11.89,PKR,12.05,PKR,11.81,PKR,11.94,PKR,6838397,1.0152284263959324
ASTL,AMRELI STEELS LTD,22,PKR,22.24,PKR,21.51,PKR,21.88,PKR,65851,-0.04568296025583172
ASTM,ASIM TEXTILE MILLS LTD,36.31,PKR,36.31,PKR,31.28,PKR,32.39,PKR,279797,-6.791366906474819
ATBA,ATLAS BATTERY LTD,294.9,PKR,303,PKR,291.13,PKR,292.87,PKR,118553,0.5148093489377767
ATIL,ATLAS INSURANCE LTD,89,PKR,89,PKR,85.25,PKR,85.65,PKR,39321,-1.811303450647711
ATLH,ATLAS HONDA LTD,1239.99,PKR,1239.99,PKR,1176,PKR,1230.17,PKR,15054,0.14001383857707086
ATRL,ATTOCK REFINERY LTD,659.9,PKR,662.99,PKR,654,PKR,655.1,PKR,673481,-0.5661551538333133
AVN,AVANCEON LTD,48.65,PKR,48.89,PKR,47.9,PKR,48.15,PKR,848444,-0.6397028477094557
AWTX,ALLAWASAYA TEXTILE & FINISHING MILLS LTD,1550.51,PKR,1550.51,PKR,1550.51,PKR,1550.51,PKR,1,-0.0006449449217031
BAFL,BANK ALFALAH LTD,88.3,PKR,90.9,PKR,87.78,PKR,90.1,PKR,19236934,2.38636363636363
BAFS,BABA FARID SUGAR MILLS LTD,164.73,PKR,164.73,PKR,155.72,PKR,164.73,PKR,14711,10.0033388981636
BAHL,BANK AL-HABIB LTD,170.56,PKR,175.07,PKR,170.56,PKR,173.29,PKR,748124,1.5946532215512688
BAPL,BAWANY AIR PRODUCTS LTD,64.03,PKR,64.03,PKR,52.39,PKR,52.61,PKR,1787053,-9.62034014774094
BATA,BATA PAKISTAN LTD,1698,PKR,1710,PKR,1682,PKR,1705.14,PKR,3143,0.4435647763620738
BBFL,BIG BIRD FOODS LIMITED ,47.13,PKR,47.6,PKR,46.85,PKR,46.91,PKR,1205073,-0.31874203144922586
BCL,BOLAN CASTINGS LTD,116.2,PKR,122,PKR,116.2,PKR,118.08,PKR,55632,-0.008468117537475752
BECO,BECO STEEL LIMITED,19,PKR,19.71,PKR,18.83,PKR,19.38,PKR,1496035,3.085106382978714
BELA,BELA AUTOMOTIVES LTD,124,PKR,130.14,PKR,124,PKR,128,PKR,14903,8.190347392443579
BERG,BERGER PAINTS PAKISTAN LTD,110.45,PKR,110.45,PKR,108.5,PKR,108.91,PKR,69898,-0.13753896937466137
BFAGRO,BARKAT FRISIAN AGRO LIMITED,39.48,PKR,39.5,PKR,38.9,PKR,39,PKR,1026367,-0.7886034088018374
BFBIO,BF BIOSCIENCES LTD,165,PKR,168.35,PKR,165,PKR,165.54,PKR,446550,0.7240644965013676
BFMOD,B.F. MODARABA,10.6,PKR,10.65,PKR,10.3,PKR,10.35,PKR,1162,-1.428571428571432
BGL,BALOCHISTAN GLASS LTD,11.5,PKR,11.94,PKR,11.5,PKR,11.62,PKR,526843,0.5190311418685011
BHAT,BHANERO TEXTILE MILLS LTD,923.7,PKR,933.5,PKR,894.02,PKR,899,PKR,853,-0.10889130869575082
BIFO,BIAFO INDUSTRIES LTD,198.98,PKR,200,PKR,193,PKR,194.11,PKR,167815,-1.4369858840255834
BILF,BILAL FIBRES LTD,22.4,PKR,24.73,PKR,22.35,PKR,24.14,PKR,2004516,7.384341637010676
BIPL,BANKISLAMI PAKISTAN LTD,33.7,PKR,34.55,PKR,33.61,PKR,33.9,PKR,3109177,0.6831006831006738
BML,BANK MAKRAMAH LIMITED.,5.1,PKR,5.12,PKR,5.03,PKR,5.1,PKR,3469178,0.9900990099009866
BNL,BUNNY'S LTD,105.45,PKR,114.41,PKR,105,PKR,114.41,PKR,3140342,9.999038553985184
BNWM,BANNU WOOLLEN MILLS LTD,72.99,PKR,73,PKR,69.1,PKR,70.48,PKR,63818,-2.314622314622317
BOK,BANK OF KHYBER,17.59,PKR,18.49,PKR,17.59,PKR,17.65,PKR,7918,-0.28248587570621875
BOP,BANK OF PUNJAB,13.83,PKR,14.3,PKR,13.71,PKR,14.24,PKR,67554764,2.9645697758496032
BPL,BURSHANE LPG (PAKISTAN) LTD,35.78,PKR,36.5,PKR,35.78,PKR,36.48,PKR,1317,1.3051930019439015
BRRG,B.R.R. GUARDIAN LIMITED,30.04,PKR,31.49,PKR,28.05,PKR,29.61,PKR,31398,-0.8372404554588079
BTL,BLESSED TEXTILES LTD,310.02,PKR,325.01,PKR,310.02,PKR,321.83,PKR,771,3.8161290322580594
BUXL,BUXLY PAINTS LTD,184,PKR,184,PKR,178,PKR,180,PKR,1022,-1.6447188678214257
BWCL,BESTWAY CEMENT CO LTD,532.24,PKR,535,PKR,530,PKR,532.98,PKR,17091,0.1390350217946808
BWHL,BALUCHISTAN WHEELS LTD,188,PKR,188.4,PKR,172.27,PKR,174.07,PKR,180962,-3.8393547674290227
CASH,CALCORP LIMITED,39.5,PKR,39.5,PKR,36.9,PKR,38.82,PKR,806,3.63053924185798
CCM,CRESCENT COTTON MILLS LTD,55.99,PKR,55.99,PKR,53.54,PKR,53.87,PKR,105,0
CENI,CENTURY INSURANCE CO LTD,46.02,PKR,48.5,PKR,46.02,PKR,48,PKR,9427,4.302477183833108
CEPB,CENTURY PAPER AND BOARD MILLS LTD,28.9,PKR,28.95,PKR,28.02,PKR,28.22,PKR,660753,-2.420470262793924
CFL,CRESCENT FIBRES LTD,46.02,PKR,56.16,PKR,46.02,PKR,51.05,PKR,12,0
CHAS,CHASHMA SUGAR MILLS LTD,72.99,PKR,78.96,PKR,69.1,PKR,74.06,PKR,8478,2.2504487090984333
CHBL,CHENAB LTD (defaulter),24,PKR,24.9,PKR,23.5,PKR,24.5,PKR,5049604,6.0606060606060534
CHCC,CHERAT CEMENT CO LTD,299.4,PKR,304,PKR,299.4,PKR,302.67,PKR,125254,1.1023148612085416
CJPL,CRESCENT JUTE PRODUCTS LTD (defaulter),13.62,PKR,13.63,PKR,12.45,PKR,13.63,PKR,3459537,10.008071025020179
CLOV,CLOVER PAKISTAN LTD,40.99,PKR,42.78,PKR,40.5,PKR,41.72,PKR,462799,2.961500493583405
CLVL,CORDOBA LOGISTICS & VENTURES LIMITED ,19.38,PKR,19.38,PKR,18.3,PKR,18.99,PKR,11482,3.770491803278676
CNERGY,CNERGYICO PK LIMITED,7.3,PKR,7.35,PKR,7.13,PKR,7.19,PKR,8828111,-1.2362637362637343
COLG,COLGATE-PALMOLIVE (PAKISTAN) LTD,1317,PKR,1320,PKR,1312.09,PKR,1317.65,PKR,8148,-0.017452271830517056
CPHL,CITI PHARMA LIMITED,86,PKR,87,PKR,83.8,PKR,84.11,PKR,2908631,-1.4759283120534203
CPPL,CHERAT PACKAGING LTD,120.98,PKR,120.98,PKR,117,PKR,117.7,PKR,94904,-2.088012644538716
CRTM,THE CRESCENT TEXTILE MILLS LTD,21.2,PKR,22.49,PKR,20.81,PKR,21.58,PKR,545916,2.5178147268408435
CSAP,CRESCENT STEEL AND ALLIED PRODUCTS LTD,102.98,PKR,102.98,PKR,100.1,PKR,100.75,PKR,449377,-1.2642101136809156
CSIL,CRESCENT STAR INSURANCE LTD,4,PKR,4,PKR,3.8,PKR,3.87,PKR,1499378,0.25906735751295934
CTM,COLONY TEXTILE MILLS LTD,6.2,PKR,6.45,PKR,6.05,PKR,6.24,PKR,776428,2.1276595744680833
CWSM,CHAKWAL SPINNING MILLS LTD,35.01,PKR,38.16,PKR,34.16,PKR,36.87,PKR,1904378,6.2842317670798495
CYAN,CYAN LTD,39.6,PKR,40.5,PKR,39.02,PKR,39.86,PKR,173764,-0.17530678687703552
DAAG,DATA AGRO LTD,103.99,PKR,104.99,PKR,101,PKR,101,PKR,3453,-1.9036519036518977
DADX,DADEX ETERNIT LTD,71.8,PKR,71.8,PKR,68,PKR,68.05,PKR,8030,-1.462496379959463
DBCI,DADABHOY CEMENT INDUSTRIES LTD (defaulter),6.21,PKR,6.7,PKR,6.21,PKR,6.39,PKR,111912,-0.7763975155279613
DCL,DEWAN CEMENT LTD,12.93,PKR,13.1,PKR,12.86,PKR,12.93,PKR,2444476,0.0773993808049519
DEL,DAWOOD EQUITIES LIMITED,13.92,PKR,13.92,PKR,13.92,PKR,13.92,PKR,153494,10.0395256916996
DFML,DEWAN FAROOQUE MOTORS LTD,34.98,PKR,35.5,PKR,34.75,PKR,35.02,PKR,2607860,0.9512827904295341
DFSM,DEWAN FAROOQUE SPINNING MILLS LTD,6.21,PKR,6.61,PKR,6.21,PKR,6.42,PKR,1488270,3.3816425120772946
DGKC,D.G. KHAN CEMENT COMPANY LTD,182.44,PKR,185.25,PKR,182.1,PKR,184.02,PKR,4520315,1.1487934920024203
DHPL,DH PARTNERS LIMITED,41.05,PKR,41.53,PKR,40.95,PKR,41.3,PKR,450705,0.7562820200048674
DIIL,DIAMOND INDUSTRIES LTD,35,PKR,35,PKR,28.91,PKR,33.42,PKR,2333,4.339681548548238
DINT,DIN TEXTILE MILLS LTD,80.11,PKR,84.99,PKR,80.05,PKR,80.93,PKR,1275,-3.7349827524681656
DLL,DAWOOD LAWRENCEPUR LIMITED,283,PKR,293,PKR,283,PKR,286,PKR,417,-0.31022343058314555
DMC,D.M.CORPORATION LIMITED,44.25,PKR,44.25,PKR,44.25,PKR,43.58,PKR,50,-7.276595744680854
DMTM,DEWAN MUSHTAQ TEXTILE MILLS LTD,9.65,PKR,10.65,PKR,9.65,PKR,10.61,PKR,21755,9.948186528497398
DNCC,DANDOT CEMENT CO LTD,15.75,PKR,15.95,PKR,14.9,PKR,15.64,PKR,35662,2.5573770491803316
DOL,DESCON OXYCHEM LTD,34.13,PKR,35.01,PKR,34.01,PKR,34.11,PKR,825106,0
DSIL,D.S. INDUSTRIES LTD,6.5,PKR,6.75,PKR,6.45,PKR,6.53,PKR,3638209,0.1533742331288447
DSL,DOST STEELS LIMITED,9.08,PKR,9.08,PKR,8.5,PKR,8.85,PKR,4082194,-1.7758046614872383
DWAE,DEWAN AUTOMOTIVE ENGINEERING LTD (defaulter),30.47,PKR,30.47,PKR,28.57,PKR,28.94,PKR,9167,1.43708377146863
DWSM,DEWAN SUGAR MILLS LTD,6.36,PKR,6.6,PKR,6.36,PKR,6.41,PKR,43972,-1.3846153846153824
DWTM,DEWAN TEXTILE MILLS LTD,6.69,PKR,7.75,PKR,6.69,PKR,7.67,PKR,151445,13.629629629629628
DYNO,DYNEA PAKISTAN CO LTD,294.9,PKR,298,PKR,291.9,PKR,292.81,PKR,17503,0.6635038503850409
ECOP,ECOPACK LIMITED,52.05,PKR,52.5,PKR,51.6,PKR,51.8,PKR,134820,-0.422914263744725
EFERT,ENGRO FERTILIZERS LTD,211,PKR,216.6,PKR,210,PKR,214.63,PKR,1642267,2.3217009916094606
EFUG,E.F.U. GENERAL INSURANCE LTD,126.51,PKR,135,PKR,126.51,PKR,127.07,PKR,56890,0.8812321371864079
EFUL,EFU LIFE ASSURANCE LTD,161.48,PKR,161.48,PKR,156.92,PKR,160.97,PKR,2252,2.0670851562995316
ELCM,ELAHI COTTON MILLS LTD,130.01,PKR,135,PKR,124,PKR,125.02,PKR,928,-9.016811003565971
ELSM,ELLCOT SPINNING MILLS LTD,112,PKR,119.99,PKR,112,PKR,115.29,PKR,3617,-2.280047465672146
EMCO,EMCO INDUSTRIES LTD,64.99,PKR,67,PKR,62.26,PKR,62.63,PKR,191870,-2.869106699751863
ENGROH,ENGRO HOLDINGS LIMITED,211,PKR,214.9,PKR,210.75,PKR,213.99,PKR,1852917,1.5518223234624196
EPCL,ENGRO POLYMER & CHEMICALS LTD,29.3,PKR,29.7,PKR,28.9,PKR,29.19,PKR,1482220,-0.646698434309046
EPQL,ENGRO POWERGEN QADIRPUR LTD,31.5,PKR,31.5,PKR,30.97,PKR,31.31,PKR,1529816,0.03194888178913102
ESBL,ESCORTS INVESTMENT BANK LTD,6.99,PKR,7,PKR,6.62,PKR,6.7,PKR,41297,-4.148783977110158
EWIC,EAST WEST INSURANCE CO LTD,60,PKR,60,PKR,51.56,PKR,57.29,PKR,151,0
EXIDE,EXIDE PAKISTAN LTD,775.5,PKR,795,PKR,775,PKR,778.16,PKR,17440,-0.3138571117459481
FABL,FAYSAL BANK LTD,76.55,PKR,78.75,PKR,76.12,PKR,77.09,PKR,2434606,0.9295627127520398
FANM,FIRST AL-NOOR MODARABA,5.2,PKR,5.45,PKR,4.91,PKR,5.33,PKR,1063859,6.175298804780887
FASM,FAISAL SPINNING MILLS LTD,418.89,PKR,422.99,PKR,410.01,PKR,410.4,PKR,2908,0.6425033106086626
FATIMA,FATIMA FERTILIZER COMPANY LTD,125.05,PKR,125.5,PKR,122.1,PKR,124.67,PKR,7376739,0.49169756569401857
FCCL,FAUJI CEMENT CO.LTD,50,PKR,51.22,PKR,49.9,PKR,50.39,PKR,30254109,1.7774187032922693
FCEL,FIRST CAPITAL EQUITIES LTD (defaulter),4.75,PKR,4.75,PKR,4.01,PKR,4.04,PKR,827,-6.0465116279069715
FCEPL,FRIESLANDCAMPINA ENGRO PAKISTAN LTD,85.74,PKR,89.65,PKR,85.03,PKR,89.32,PKR,2420538,5.206124852767948
