Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 INVESTMENTS LTD,9.35,PKR,10.3,PKR,9.35,PKR,9.86,PKR,513878,6.021505376344072
AABS,AL-ABBAS SUGAR MILLS LTD,1079.9,PKR,1149,PKR,1079.5,PKR,1119.37,PKR,997,3.654968052597444
AATM,ALI ASGHAR TEXTILE MILLS LTD (defaulter),44.98,PKR,45.96,PKR,44.98,PKR,45.14,PKR,14652,1.7583408476104627
ABL,ALLIED BANK LTD,187.75,PKR,190,PKR,185,PKR,186.86,PKR,147902,-0.45282616802514214
ABOT,ABBOTT LABORATORIES (PAKISTAN) LTD,1140,PKR,1144,PKR,1055.15,PKR,1142.02,PKR,321768,1.961519575018975
ACPL,ATTOCK CEMENT PAKISTAN LTD,292.5,PKR,296.5,PKR,290.52,PKR,293.17,PKR,356229,-0.2924871611740152
ADAMS,ADAM SUGAR MILLS LTD,68.05,PKR,70.25,PKR,68.05,PKR,69.52,PKR,1491,-0.7424328954883069
ADMM,ARTISTIC DENIM MILLS LTD,60.01,PKR,60.75,PKR,59.31,PKR,59.83,PKR,22673,1.0983440351470066
AGHA,AGHA STEEL INDUSTRIES LIMITED,9.44,PKR,9.44,PKR,9.03,PKR,9.07,PKR,1567368,-0.43907793633368986
AGIC,ASKARI GENERAL INSURANCE CO. LTD,41.98,PKR,43.75,PKR,41.1,PKR,42.81,PKR,41864,4.3891733723482185
AGIL,AGRIAUTO INDUSTRIES LTD,150.01,PKR,151,PKR,146.1,PKR,150.16,PKR,74828,0.5087014725568881
AGL,AGRITECH LTD,71.97,PKR,77.32,PKR,67.55,PKR,74.31,PKR,8128704,5.719163465642333
AGP,AGP LTD,217,PKR,217.5,PKR,210.5,PKR,211.86,PKR,315432,-1.4879568492513664
AGSML,ABDULLAH SHAH GHAZI SUGAR MILLS LTD,8.75,PKR,9.06,PKR,8.63,PKR,8.8,PKR,311790,2.2067363530778312
AGTL,AL-GHAZI TRACTORS LTD,419.49,PKR,419.49,PKR,411,PKR,417.34,PKR,23922,-0.016770082173414632
AHCL,ARIF HABIB CORPORATION LTD,12.47,PKR,12.65,PKR,12.29,PKR,12.32,PKR,1972168,-0.6451612903225812
AHL,ARIF HABIB LTD,78.96,PKR,80.5,PKR,78.01,PKR,78.4,PKR,38597,0.0893655049151122
AHTM,AHMED HASSAN TEXTILE MILLS LTD,76.4,PKR,83.5,PKR,76.4,PKR,81.94,PKR,2188,7.7590741714886775
AICL,ADAMJEE INSURANCE CO LTD,72.51,PKR,73.75,PKR,71.01,PKR,71.5,PKR,528004,-2.0010964912280618
AIRLINK,AIR LINK COMMUNICATION LIMITED,137.7,PKR,139.9,PKR,137.54,PKR,137.94,PKR,417321,0.09433277701182458
AKBL,ASKARI BANK LTD,71.1,PKR,75.5,PKR,71.1,PKR,72.99,PKR,23114622,2.6582278481012667
AKDHL,AKD HOSPITALITY LIMITED ,180,PKR,180,PKR,180,PKR,180,PKR,100,0
AKDSL,AKD SECURITIES LIMITED,32.51,PKR,33.3,PKR,32,PKR,32.32,PKR,2008061,3.3248081841432193
AKGL,AL-KHAIR GADOON LTD,51.3,PKR,58.98,PKR,51.3,PKR,55.12,PKR,4240,-3.2982456140350918
ALAC,ASKARI LIFE ASSURANCE CO LTD,10.25,PKR,10.25,PKR,9.7,PKR,9.87,PKR,969945,-2.470355731225297
ALIFE,ADAMJEE LIFE ASSURANCE COMPANY LIMITED,34,PKR,35,PKR,33.52,PKR,34,PKR,21001,0.29498525073746734
ALNRS,AL-NOOR SUGAR MILLS LTD,95.35,PKR,95.35,PKR,94.71,PKR,94.78,PKR,714,0.08447729672650295
ALTN,ALTERN ENERGY LTD,11.27,PKR,11.38,PKR,11.22,PKR,11.3,PKR,751339,0.26619343389530736
AMBL,APNA MICROFINANCE BANK LTD,10.5,PKR,12.24,PKR,10.5,PKR,11.17,PKR,37,0
AMTEX,AMTEX LTD (defaulter),3.85,PKR,4.02,PKR,3.6,PKR,3.65,PKR,11077697,-4.69973890339426
ANL,AZGARD NINE LTD,12,PKR,12.59,PKR,11.87,PKR,12.38,PKR,5486434,3.9462636439966468
ANTM,AN TEXTILE MILLS LTD,29.75,PKR,33.76,PKR,29.02,PKR,33.7,PKR,139501,9.807754969045297
APL,ATTOCK PETROLEUM LTD,544,PKR,548,PKR,538.94,PKR,541.38,PKR,13562,-0.2340366718879539
ARCTM,ARCTIC TEXTILE MILLS LIMITED,37.75,PKR,39.5,PKR,37.75,PKR,38.91,PKR,1138,-0.40952137189660526
ARPAK,ARPAK INTERNATIONAL INVESTMENTS LTD,67.84,PKR,67.84,PKR,67.84,PKR,65.06,PKR,1,0
ARPL,ARCHROMA PAKISTAN LTD,455.5,PKR,455.5,PKR,445.1,PKR,450.95,PKR,6172,-0.7352131898126817
ARUJ,ARUJ INDUSTRIES LTD (defaulter),10.1,PKR,10.1,PKR,9.7,PKR,9.71,PKR,11007,-1.621073961499477
ASC,AL SHAHEER CORPORATION,7.58,PKR,8.21,PKR,7.31,PKR,7.83,PKR,4643916,4.539385847797061
ASHT,ASHFAQ TEXTILE MILLS LTD,23.85,PKR,24.98,PKR,23.7,PKR,24.5,PKR,4352,-6.8441064638783295
ASIC,ASIA INSURANCE CO LTD,20.9,PKR,21,PKR,18,PKR,19.25,PKR,289,0
ASL,AISHA STEEL MILLS LTD,12.1,PKR,12.1,PKR,11.71,PKR,11.76,PKR,2835226,-1.5075376884422087
ASTL,AMRELI STEELS LTD,22.1,PKR,22.25,PKR,21.75,PKR,21.79,PKR,182840,-0.41133455210237596
ASTM,ASIM TEXTILE MILLS LTD,32.5,PKR,32.65,PKR,31,PKR,31.61,PKR,23876,-2.4081506637851224
ATBA,ATLAS BATTERY LTD,293,PKR,299.8,PKR,290,PKR,290.37,PKR,25383,-0.8536210605388056
ATIL,ATLAS INSURANCE LTD,85.66,PKR,88.3,PKR,78.11,PKR,87.87,PKR,47811,2.591943957968475
ATLH,ATLAS HONDA LTD,1210,PKR,1231,PKR,1210,PKR,1215.22,PKR,13977,-1.2152791890551748
ATRL,ATTOCK REFINERY LTD,656.01,PKR,678.5,PKR,656.01,PKR,669.55,PKR,1828141,2.2057701114333583
AVN,AVANCEON LTD,48.5,PKR,49.32,PKR,48.17,PKR,48.47,PKR,1420673,0.6645898234683287
BAFL,BANK ALFALAH LTD,90.3,PKR,91.69,PKR,89.52,PKR,91.29,PKR,7941820,1.3207547169811455
BAFS,BABA FARID SUGAR MILLS LTD,181.2,PKR,181.2,PKR,170.2,PKR,181.2,PKR,7597,9.998178838098706
BAHL,BANK AL-HABIB LTD,172.01,PKR,176.5,PKR,172.01,PKR,175.09,PKR,381560,1.0387212187662367
BAPL,BAWANY AIR PRODUCTS LTD,52.65,PKR,55,PKR,49.5,PKR,50.25,PKR,875809,-4.485839194069567
BATA,BATA PAKISTAN LTD,1730,PKR,1730,PKR,1705.14,PKR,1710.01,PKR,658,0.28560704692869154
BBFL,BIG BIRD FOODS LIMITED ,46.9,PKR,47.48,PKR,46.85,PKR,46.95,PKR,1521720,0.08526966531657697
BCL,BOLAN CASTINGS LTD,119.9,PKR,119.9,PKR,118,PKR,118.47,PKR,45627,0.33028455284552893
BECO,BECO STEEL LIMITED,19.5,PKR,19.7,PKR,18.95,PKR,19.01,PKR,792640,-1.9091847265221746
BELA,BELA AUTOMOTIVES LTD,132.98,PKR,135,PKR,124,PKR,125,PKR,7521,-2.34375
BERG,BERGER PAINTS PAKISTAN LTD,109,PKR,112,PKR,108.5,PKR,110.73,PKR,96224,1.6711045817647665
BFAGRO,BARKAT FRISIAN AGRO LIMITED,39,PKR,39.39,PKR,38.56,PKR,38.76,PKR,600232,-0.6153846153846205
BFBIO,BF BIOSCIENCES LTD,166,PKR,169,PKR,165.2,PKR,165.45,PKR,680878,-0.05436752446538807
BFMOD,B.F. MODARABA,10.57,PKR,11.39,PKR,10.57,PKR,11.39,PKR,142221,10.04830917874397
BGL,BALOCHISTAN GLASS LTD,11.75,PKR,11.85,PKR,11.5,PKR,11.61,PKR,405098,-0.08605851979345772
BHAT,BHANERO TEXTILE MILLS LTD,919.79,PKR,919.79,PKR,852,PKR,889.9,PKR,590,-1.012235817575086
BIFO,BIAFO INDUSTRIES LTD,193.11,PKR,194.11,PKR,191.11,PKR,191.9,PKR,101344,-1.1385296996548389
BILF,BILAL FIBRES LTD,25.12,PKR,25.69,PKR,24.49,PKR,25,PKR,162762,3.5625517812758885
BIPL,BANKISLAMI PAKISTAN LTD,33.98,PKR,34.19,PKR,32.9,PKR,33.04,PKR,2408233,-2.5368731563421814
BML,BANK MAKRAMAH LIMITED.,5.15,PKR,5.15,PKR,5.02,PKR,5.04,PKR,4357860,-1.1764705882352864
BNL,BUNNY'S LTD,117.98,PKR,125.85,PKR,110.11,PKR,125.85,PKR,8600115,9.999125950528798
BNWM,BANNU WOOLLEN MILLS LTD,70,PKR,77.53,PKR,70,PKR,77.51,PKR,280259,9.974460839954597
BOK,BANK OF KHYBER,18.6,PKR,18.94,PKR,17.02,PKR,18.16,PKR,27379,2.889518413597743
BOP,BANK OF PUNJAB,14.35,PKR,14.37,PKR,14.02,PKR,14.15,PKR,21887270,-0.6320224719101114
BPL,BURSHANE LPG (PAKISTAN) LTD,36.3,PKR,36.75,PKR,35.26,PKR,35.28,PKR,26840,-3.289473684210515
BRRG,B.R.R. GUARDIAN LIMITED,30.7,PKR,31.8,PKR,29.56,PKR,29.77,PKR,128843,0.5403579871664983
BTL,BLESSED TEXTILES LTD,312.12,PKR,334.44,PKR,312.12,PKR,324.8,PKR,220,0.922847466053515
BUXL,BUXLY PAINTS LTD,178,PKR,185,PKR,178,PKR,178.41,PKR,1393,-0.8833333333333353
