Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 INVESTMENTS LTD,11.95,PKR,11.95,PKR,11.49,PKR,11.95,PKR,745268,10.036832412523019
AABS,AL-ABBAS SUGAR MILLS LTD,1051,PKR,1123.98,PKR,1050,PKR,1098.43,PKR,403,-2.3201010208800126
AATM,ALI ASGHAR TEXTILE MILLS LTD (defaulter),44.99,PKR,47.5,PKR,44.99,PKR,45.73,PKR,19476,0.8824178248400587
ABL,ALLIED BANK LTD,186.89,PKR,189.98,PKR,186,PKR,188.81,PKR,118451,1.0273422869067452
ABOT,ABBOTT LABORATORIES (PAKISTAN) LTD,1162,PKR,1175,PKR,1162,PKR,1166.93,PKR,8111,0.49951340504508146
ACPL,ATTOCK CEMENT PAKISTAN LTD,295,PKR,298,PKR,290.1,PKR,293.51,PKR,731291,-0.21079114677183713
ADAMS,ADAM SUGAR MILLS LTD,69.5,PKR,70.5,PKR,69.48,PKR,70.07,PKR,1206,0.791139240506325
ADMM,ARTISTIC DENIM MILLS LTD,58.98,PKR,60.49,PKR,58.5,PKR,59.99,PKR,22948,3.448870494912916
AGHA,AGHA STEEL INDUSTRIES LIMITED,8.93,PKR,9,PKR,8.8,PKR,8.87,PKR,738329,-1.2249443207127084
AGIC,ASKARI GENERAL INSURANCE CO. LTD,43.89,PKR,45.25,PKR,42,PKR,44.92,PKR,151981,4.928754963793504
AGIL,AGRIAUTO INDUSTRIES LTD,151,PKR,151,PKR,141.26,PKR,145.74,PKR,62364,-2.5085289985952235
AGL,AGRITECH LTD,79.88,PKR,84.3,PKR,79.32,PKR,81.83,PKR,3550653,3.164397377710546
AGP,AGP LTD,208.5,PKR,212.5,PKR,206.5,PKR,210.78,PKR,118234,1.3511564167908843
