Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 INVESTMENTS LTD,12.4,PKR,12.49,PKR,11.27,PKR,11.8,PKR,531490,-1.2552301255230007
AABS,AL-ABBAS SUGAR MILLS LTD,1028.99,PKR,1122.99,PKR,1028.99,PKR,1085.67,PKR,217,-1.1616580027857935
AATM,ALI ASGHAR TEXTILE MILLS LTD (defaulter),46.9,PKR,46.95,PKR,45.25,PKR,45.94,PKR,19150,0.4592171441067152
ABL,ALLIED BANK LTD,189.1,PKR,190.2,PKR,182.01,PKR,187.6,PKR,85082,-0.6408558868704031
ABOT,ABBOTT LABORATORIES (PAKISTAN) LTD,1170,PKR,1170,PKR,1090.22,PKR,1160.03,PKR,28666,-0.5912951076757038
ACPL,ATTOCK CEMENT PAKISTAN LTD,295,PKR,304,PKR,291.6,PKR,296.32,PKR,780245,0.9573779428298873
ADAMS,ADAM SUGAR MILLS LTD,70.27,PKR,73.4,PKR,69.5,PKR,73.34,PKR,860,4.666761809618968
ADMM,ARTISTIC DENIM MILLS LTD,60,PKR,60.35,PKR,59,PKR,59.15,PKR,6556,-1.4002333722287104
AGHA,AGHA STEEL INDUSTRIES LIMITED,8.95,PKR,9.12,PKR,8.8,PKR,8.81,PKR,2682822,-0.6764374295377534
AGIC,ASKARI GENERAL INSURANCE CO. LTD,45,PKR,45.49,PKR,44.76,PKR,44.82,PKR,19654,-0.22261798753339584
AGIL,AGRIAUTO INDUSTRIES LTD,147.88,PKR,147.88,PKR,143,PKR,143.85,PKR,25223,-1.2968299711815663
AGL,AGRITECH LTD,82.44,PKR,88.5,PKR,80.15,PKR,82.8,PKR,4988068,1.1853843333740668
AGP,AGP LTD,210.78,PKR,212.5,PKR,210.51,PKR,211.53,PKR,257472,0.3558212354113294
AGSML,ABDULLAH SHAH GHAZI SUGAR MILLS LTD,10,PKR,10.01,PKR,8.75,PKR,8.95,PKR,11692538,-6.28272251308902
AGTL,AL-GHAZI TRACTORS LTD,411.06,PKR,425,PKR,411.06,PKR,421.88,PKR,27334,2.6646874163482805
AHCL,ARIF HABIB CORPORATION LTD,12.43,PKR,12.43,PKR,12.25,PKR,12.34,PKR,1294008,0.7346938775510192
AHL,ARIF HABIB LTD,79.95,PKR,80.97,PKR,78.6,PKR,78.9,PKR,81811,-0.46675917749462636
AHTM,AHMED HASSAN TEXTILE MILLS LTD,86.95,PKR,86.95,PKR,79,PKR,82.89,PKR,406,4.619462324876936
AICL,ADAMJEE INSURANCE CO LTD,72,PKR,72.5,PKR,70.5,PKR,70.68,PKR,202028,-1.022265789105153
AIRLINK,AIR LINK COMMUNICATION LIMITED,140.78,PKR,145.5,PKR,140,PKR,143.89,PKR,1665784,2.2091206137235297
AKBL,ASKARI BANK LTD,73.25,PKR,74.2,PKR,72.4,PKR,72.71,PKR,4613952,-0.547120776911511
AKDHL,AKD HOSPITALITY LIMITED ,180,PKR,180,PKR,180,PKR,180.22,PKR,105,0
AKDSL,AKD SECURITIES LIMITED,32.52,PKR,32.97,PKR,31.86,PKR,32.63,PKR,101160,1.7144638403990158
AKGL,AL-KHAIR GADOON LTD,55.51,PKR,58.75,PKR,55.3,PKR,55.12,PKR,200,0
