Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 INVESTMENTS LTD,12,PKR,12,PKR,11.15,PKR,11.18,PKR,138204,-5.254237288135601
AABS,AL-ABBAS SUGAR MILLS LTD,1081,PKR,1081.1,PKR,1021,PKR,1063.46,PKR,795,-2.0457413394493753
AATM,ALI ASGHAR TEXTILE MILLS LTD (defaulter),45.02,PKR,46.87,PKR,45.02,PKR,46.27,PKR,14736,0.7183282542446787
ABL,ALLIED BANK LTD,188,PKR,188,PKR,186,PKR,187.1,PKR,109210,-0.26652452025586354
ABOT,ABBOTT LABORATORIES (PAKISTAN) LTD,1151.05,PKR,1160,PKR,1121.11,PKR,1159.05,PKR,12465,-0.08448057377826593
ACPL,ATTOCK CEMENT PAKISTAN LTD,298.5,PKR,301,PKR,294.18,PKR,296.43,PKR,309916,0.0371220302375856
ADAMS,ADAM SUGAR MILLS LTD,73.34,PKR,75,PKR,68,PKR,69.1,PKR,2885,-5.781292609762761
ADMM,ARTISTIC DENIM MILLS LTD,59.9,PKR,59.9,PKR,57.1,PKR,58.21,PKR,15862,-1.5891800507185083
AGHA,AGHA STEEL INDUSTRIES LIMITED,8.84,PKR,9.27,PKR,8.8,PKR,8.99,PKR,6054962,2.0431328036322327
AGIC,ASKARI GENERAL INSURANCE CO. LTD,45.49,PKR,45.75,PKR,44.75,PKR,44.76,PKR,15640,-0.13386880856760883
AGIL,AGRIAUTO INDUSTRIES LTD,143,PKR,147.49,PKR,141.67,PKR,143,PKR,55443,-0.5908932916232147
AGL,AGRITECH LTD,82.51,PKR,84.39,PKR,78.65,PKR,82.93,PKR,2431962,0.15700483091788608
AGP,AGP LTD,210,PKR,213,PKR,208.11,PKR,210.07,PKR,134237,-0.6902094265588843
AGSML,ABDULLAH SHAH GHAZI SUGAR MILLS LTD,8.98,PKR,8.98,PKR,8.6,PKR,8.72,PKR,996446,-2.569832402234622
AGTL,AL-GHAZI TRACTORS LTD,423.99,PKR,425,PKR,400,PKR,420.81,PKR,23380,-0.2536266236844584
AHCL,ARIF HABIB CORPORATION LTD,12.44,PKR,12.44,PKR,12.25,PKR,12.28,PKR,668934,-0.4862236628849311
AHL,ARIF HABIB LTD,79,PKR,83.99,PKR,78.15,PKR,82.47,PKR,397063,4.52471482889733
AHTM,AHMED HASSAN TEXTILE MILLS LTD,80,PKR,82.8,PKR,74.6,PKR,81.58,PKR,417,-1.5804077693328538
AICL,ADAMJEE INSURANCE CO LTD,71.25,PKR,71.75,PKR,68.7,PKR,69.13,PKR,499855,-2.1929824561403666
AIRLINK,AIR LINK COMMUNICATION LIMITED,144.5,PKR,158.28,PKR,144.5,PKR,158.28,PKR,9703734,10.000694975328388
AKBL,ASKARI BANK LTD,72.75,PKR,73.85,PKR,72.22,PKR,72.98,PKR,5119516,0.37133819282080904
AKDHL,AKD HOSPITALITY LIMITED ,180,PKR,181.49,PKR,180,PKR,180.06,PKR,367,-0.08878037953612063
AKDSL,AKD SECURITIES LIMITED,32.75,PKR,32.85,PKR,32.25,PKR,32.67,PKR,70692,0.12258657676984107
AKGL,AL-KHAIR GADOON LTD,55.51,PKR,58.75,PKR,55.3,PKR,55.12,PKR,200,0
ALAC,ASKARI LIFE ASSURANCE CO LTD,9.6,PKR,10.11,PKR,9.41,PKR,9.5,PKR,2346260,2.370689655172421
ALIFE,ADAMJEE LIFE ASSURANCE COMPANY LIMITED,35.5,PKR,35.94,PKR,33.8,PKR,35.5,PKR,28646,-0.42075736325385293
ALNRS,AL-NOOR SUGAR MILLS LTD,97.39,PKR,100,PKR,95.01,PKR,98.45,PKR,2198,2.0841974284529297
ALTN,ALTERN ENERGY LTD,11.38,PKR,11.55,PKR,11.38,PKR,11.5,PKR,703872,0.4366812227074298
AMBL,APNA MICROFINANCE BANK LTD,10.25,PKR,11.85,PKR,10.25,PKR,11.14,PKR,3,0
AMTEX,AMTEX LTD (defaulter),3.75,PKR,3.75,PKR,3.53,PKR,3.55,PKR,1511109,-3.0054644808743256
ANL,AZGARD NINE LTD,12.3,PKR,12.3,PKR,11.99,PKR,12.07,PKR,1534956,-1.0655737704917951
ANTM,AN TEXTILE MILLS LTD,30.48,PKR,31.75,PKR,27.8,PKR,30.26,PKR,18666,-0.6565988181221251
APL,ATTOCK PETROLEUM LTD,523,PKR,523,PKR,520,PKR,520.66,PKR,16511,-0.1036070606293318
ARCTM,ARCTIC TEXTILE MILLS LIMITED,37.76,PKR,38.5,PKR,37.11,PKR,37.16,PKR,12646,-1.5889830508474614
ARPAK,ARPAK INTERNATIONAL INVESTMENTS LTD,61,PKR,67.8,PKR,58.55,PKR,58.61,PKR,1015,-9.913925607131882
ARPL,ARCHROMA PAKISTAN LTD,439.9,PKR,440,PKR,431.03,PKR,435.01,PKR,4920,-0.25222994198711857
ARUJ,ARUJ INDUSTRIES LTD (defaulter),10.15,PKR,10.28,PKR,9.92,PKR,9.93,PKR,32195,-1.5857284440039656
ASC,AL SHAHEER CORPORATION,10.52,PKR,11.09,PKR,10.4,PKR,11.09,PKR,14503018,10.019841269841267
ASHT,ASHFAQ TEXTILE MILLS LTD,26.27,PKR,26.27,PKR,25.99,PKR,25.99,PKR,12350,1.207165109034263
ASIC,ASIA INSURANCE CO LTD,19.5,PKR,19.5,PKR,17.35,PKR,19.25,PKR,10,0
ASL,AISHA STEEL MILLS LTD,12.3,PKR,13.39,PKR,12.26,PKR,12.92,PKR,48592372,6.07553366174056
ASTL,AMRELI STEELS LTD,21.61,PKR,22.3,PKR,21.61,PKR,21.83,PKR,454636,0.46019328117808495
ASTM,ASIM TEXTILE MILLS LTD,29,PKR,30.8,PKR,28.9,PKR,29.39,PKR,18711,0.6851661527920496
ATBA,ATLAS BATTERY LTD,283.85,PKR,287,PKR,280.1,PKR,283.12,PKR,37465,-0.2571780870177975
ATIL,ATLAS INSURANCE LTD,86,PKR,86,PKR,84.01,PKR,84.18,PKR,5201,-1.55537364050988
ATLH,ATLAS HONDA LTD,1234,PKR,1240,PKR,1229.13,PKR,1229.62,PKR,7548,-0.4082095475677669
ATRL,ATTOCK REFINERY LTD,663,PKR,664.89,PKR,655,PKR,657.11,PKR,363682,-0.8120877296261068
AVN,AVANCEON LTD,48.4,PKR,49.25,PKR,48.4,PKR,48.71,PKR,1656121,1.0161758606387434
AWTX,ALLAWASAYA TEXTILE & FINISHING MILLS LTD,1550.52,PKR,1550.52,PKR,1550.52,PKR,1409.56,PKR,1,-9.090557300501128
BAFL,BANK ALFALAH LTD,94.49,PKR,97,PKR,93.25,PKR,94.99,PKR,5587956,1.0531914893616967
BAFS,BABA FARID SUGAR MILLS LTD,265.3,PKR,265.3,PKR,265.3,PKR,265.3,PKR,611,10.000829256157228
BAHL,BANK AL-HABIB LTD,182,PKR,182.99,PKR,177.25,PKR,179.97,PKR,597409,-0.20516801596983728
