Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 INVESTMENTS LTD,11.21,PKR,11.5,PKR,10.99,PKR,11.03,PKR,36714,-1.341681574239717
AABS,AL-ABBAS SUGAR MILLS LTD,1078.96,PKR,1078.96,PKR,1050,PKR,1050.83,PKR,988,-1.1876328211686484
AATM,ALI ASGHAR TEXTILE MILLS LTD (defaulter),46.9,PKR,50.9,PKR,44.02,PKR,47.04,PKR,99798,1.6641452344931835
ABL,ALLIED BANK LTD,186.6,PKR,191,PKR,186,PKR,189.3,PKR,75429,1.1758417958311154
ABOT,ABBOTT LABORATORIES (PAKISTAN) LTD,1145,PKR,1170,PKR,1128.61,PKR,1166.07,PKR,23730,0.6056684353565405
ACPL,ATTOCK CEMENT PAKISTAN LTD,299.5,PKR,299.5,PKR,294.05,PKR,297.47,PKR,270363,0.3508416826906927
ADAMS,ADAM SUGAR MILLS LTD,69.1,PKR,75,PKR,63,PKR,71.91,PKR,2945,4.066570188133143
ADMM,ARTISTIC DENIM MILLS LTD,59.7,PKR,59.7,PKR,57,PKR,57.67,PKR,17057,-0.9276756571035889
AGHA,AGHA STEEL INDUSTRIES LIMITED,9.06,PKR,9.25,PKR,9.04,PKR,9.06,PKR,2491377,0.7786429365962212
AGIC,ASKARI GENERAL INSURANCE CO. LTD,45.75,PKR,45.75,PKR,44.51,PKR,45,PKR,11305,0.5361930294906211
AGIL,AGRIAUTO INDUSTRIES LTD,144.9,PKR,147,PKR,142.11,PKR,143.04,PKR,8737,0.027972027972022404
AGL,AGRITECH LTD,83.5,PKR,84,PKR,79,PKR,81.87,PKR,608659,-1.2781864222838566
AGP,AGP LTD,209.25,PKR,213.5,PKR,209.25,PKR,211.2,PKR,118313,0.5379159327843078
AGSML,ABDULLAH SHAH GHAZI SUGAR MILLS LTD,8.72,PKR,8.98,PKR,8.21,PKR,8.33,PKR,1743747,-4.47247706422019
AGTL,AL-GHAZI TRACTORS LTD,421.01,PKR,421.01,PKR,415,PKR,416.45,PKR,8512,-1.0360970509255991
AHCL,ARIF HABIB CORPORATION LTD,12.28,PKR,12.4,PKR,12.25,PKR,12.34,PKR,630780,0.488599348534206
AHL,ARIF HABIB LTD,82.5,PKR,83.95,PKR,81.2,PKR,82.96,PKR,79616,0.5941554504668302
AHTM,AHMED HASSAN TEXTILE MILLS LTD,77.02,PKR,85.98,PKR,77.02,PKR,80,PKR,476,-1.9367492032360853
AICL,ADAMJEE INSURANCE CO LTD,70,PKR,70,PKR,67.51,PKR,68.16,PKR,216686,-1.4031534789526963
AIRLINK,AIR LINK COMMUNICATION LIMITED,163.06,PKR,173.98,PKR,163.06,PKR,168.04,PKR,19881458,6.1662875916098
AKBL,ASKARI BANK LTD,73.49,PKR,73.5,PKR,71.8,PKR,72.31,PKR,1113396,-0.9180597423951791
AKDHL,AKD HOSPITALITY LIMITED ,176.51,PKR,176.51,PKR,171.51,PKR,171.84,PKR,1401,-4.565144951682772
AKDSL,AKD SECURITIES LIMITED,32.6,PKR,32.67,PKR,31.9,PKR,32.42,PKR,59075,-0.7652280379553107
AKGL,AL-KHAIR GADOON LTD,55.5,PKR,55.5,PKR,51.01,PKR,55.45,PKR,450,0.5986937590711273
ALAC,ASKARI LIFE ASSURANCE CO LTD,9.59,PKR,9.69,PKR,9.3,PKR,9.42,PKR,395124,-0.8421052631578954
ALIFE,ADAMJEE LIFE ASSURANCE COMPANY LIMITED,34.6,PKR,35.49,PKR,34.06,PKR,34.85,PKR,6773,-1.8309859154929535
ALNRS,AL-NOOR SUGAR MILLS LTD,95,PKR,107.9,PKR,94.85,PKR,99.73,PKR,2213,1.3001523616048767
ALTN,ALTERN ENERGY LTD,11.5,PKR,11.54,PKR,11.4,PKR,11.45,PKR,1258697,-0.4347826086956583
AMBL,APNA MICROFINANCE BANK LTD,11.58,PKR,11.58,PKR,11.58,PKR,11.14,PKR,2,0
AMTEX,AMTEX LTD (defaulter),3.64,PKR,3.64,PKR,3.5,PKR,3.55,PKR,1340459,0
ANL,AZGARD NINE LTD,12.1,PKR,12.73,PKR,12.1,PKR,12.66,PKR,5552146,4.888152444076221
ANSM,ANSARI SUGAR MILLS LTD (defaulter),6.81,PKR,6.81,PKR,6.81,PKR,6.81,PKR,5701,17.211703958691913
ANTM,AN TEXTILE MILLS LTD,31.65,PKR,31.65,PKR,28.71,PKR,30.56,PKR,4620,0.9914077990746766
APL,ATTOCK PETROLEUM LTD,521.15,PKR,525,PKR,517,PKR,518.58,PKR,22143,-0.39949295125416345
ARCTM,ARCTIC TEXTILE MILLS LIMITED,38.2,PKR,38.2,PKR,34.5,PKR,38,PKR,2160,2.260495156081818
ARPAK,ARPAK INTERNATIONAL INVESTMENTS LTD,58.61,PKR,62,PKR,55.1,PKR,58.61,PKR,14,0
ARPL,ARCHROMA PAKISTAN LTD,435.01,PKR,438,PKR,430,PKR,435.98,PKR,4620,0.22298337969242715
ARUJ,ARUJ INDUSTRIES LTD (defaulter),10.27,PKR,10.27,PKR,9.31,PKR,9.8,PKR,11508,-1.3091641490432933
ASC,AL SHAHEER CORPORATION,11.89,PKR,12.2,PKR,11.35,PKR,11.72,PKR,18175184,5.68079350766457
ASHT,ASHFAQ TEXTILE MILLS LTD,25.99,PKR,27,PKR,23.8,PKR,25.07,PKR,825,-3.5398230088495506
ASIC,ASIA INSURANCE CO LTD,19.5,PKR,19.5,PKR,17.35,PKR,19.25,PKR,10,0
ASL,AISHA STEEL MILLS LTD,12.95,PKR,13.83,PKR,12.9,PKR,13.47,PKR,30027480,4.2569659442724515
ASTL,AMRELI STEELS LTD,21.87,PKR,22.65,PKR,21.87,PKR,22.34,PKR,717241,2.3362345396243773
ASTM,ASIM TEXTILE MILLS LTD,29,PKR,30.8,PKR,27.31,PKR,27.74,PKR,37231,-5.614154474310997
ATBA,ATLAS BATTERY LTD,284.84,PKR,286,PKR,281.01,PKR,281.96,PKR,22133,-0.40972025996044964
ATIL,ATLAS INSURANCE LTD,87,PKR,87,PKR,84.05,PKR,85,PKR,1555,0.9741031123782289
ATLH,ATLAS HONDA LTD,1228,PKR,1239.99,PKR,1216,PKR,1222.93,PKR,4202,-0.5440705258535017
ATRL,ATTOCK REFINERY LTD,661.99,PKR,664,PKR,653,PKR,654.93,PKR,328567,-0.3317557182207033
AVN,AVANCEON LTD,48.77,PKR,50.6,PKR,48.77,PKR,50.11,PKR,5921891,2.8741531513036307
AWTX,ALLAWASAYA TEXTILE & FINISHING MILLS LTD,1550.52,PKR,1550.52,PKR,1550.52,PKR,1409.56,PKR,1,-9.090557300501128
BAFL,BANK ALFALAH LTD,95,PKR,95.7,PKR,94.75,PKR,95.19,PKR,964790,0.21054847878724378
BAFS,BABA FARID SUGAR MILLS LTD,291.83,PKR,291.83,PKR,291.83,PKR,291.83,PKR,1240,9.99999999999999
BAHL,BANK AL-HABIB LTD,180,PKR,182,PKR,179.11,PKR,180,PKR,144411,0.01666944490748521
BAPL,BAWANY AIR PRODUCTS LTD,50.98,PKR,50.98,PKR,49.21,PKR,50.09,PKR,23444,-1.0470169893322678
BATA,BATA PAKISTAN LTD,1750,PKR,1750,PKR,1670,PKR,1714,PKR,643,0.4983875696276752
BBFL,BIG BIRD FOODS LIMITED ,47.26,PKR,47.44,PKR,47.03,PKR,47.26,PKR,821956,0.5745903383698575
BCL,BOLAN CASTINGS LTD,114.1,PKR,116.44,PKR,110.25,PKR,113.24,PKR,177941,-0.017658484902004442
