Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 INVESTMENTS LTD,10.91,PKR,11.09,PKR,10.51,PKR,10.56,PKR,33775,-4.261106074342692
AABS,AL-ABBAS SUGAR MILLS LTD,1069.98,PKR,1078.94,PKR,1054.12,PKR,1063.44,PKR,66,1.2000038065148624
AATM,ALI ASGHAR TEXTILE MILLS LTD (defaulter),47.05,PKR,47.65,PKR,46.75,PKR,47.16,PKR,13597,0.2551020408163211
ABL,ALLIED BANK LTD,189.99,PKR,191.97,PKR,188.8,PKR,189.44,PKR,47726,0.07395668251451999
ABOT,ABBOTT LABORATORIES (PAKISTAN) LTD,1166.07,PKR,1172.33,PKR,1152,PKR,1170.08,PKR,5645,0.34389016096803715
ACPL,ATTOCK CEMENT PAKISTAN LTD,299,PKR,309,PKR,296,PKR,298.95,PKR,2984744,0.4975291626046194
ADAMS,ADAM SUGAR MILLS LTD,71,PKR,77.43,PKR,68.8,PKR,72.69,PKR,2050,1.0846891948268684
ADMM,ARTISTIC DENIM MILLS LTD,58.98,PKR,63.44,PKR,58,PKR,63.44,PKR,162511,10.005202011444418
AGHA,AGHA STEEL INDUSTRIES LIMITED,9.07,PKR,9.18,PKR,9.01,PKR,9.06,PKR,768120,0
AGIC,ASKARI GENERAL INSURANCE CO. LTD,45.47,PKR,45.47,PKR,44.25,PKR,44.89,PKR,17505,-0.2444444444444432
AGIL,AGRIAUTO INDUSTRIES LTD,144.9,PKR,146,PKR,140.27,PKR,143.95,PKR,27399,0.6361856823266195
AGL,AGRITECH LTD,82,PKR,82.48,PKR,80,PKR,81.74,PKR,1704055,-0.1587883229510317
AGP,AGP LTD,211.2,PKR,213,PKR,207.06,PKR,211.07,PKR,599684,-0.06155303030302815
AGSML,ABDULLAH SHAH GHAZI SUGAR MILLS LTD,8.4,PKR,8.6,PKR,8.3,PKR,8.51,PKR,285693,2.160864345738292
AGTL,AL-GHAZI TRACTORS LTD,419.11,PKR,424.84,PKR,416.45,PKR,421.99,PKR,25914,1.3302917517108948
AHCL,ARIF HABIB CORPORATION LTD,12.37,PKR,12.44,PKR,12.26,PKR,12.38,PKR,692238,0.3241491085899589
AHL,ARIF HABIB LTD,83.16,PKR,85.9,PKR,83,PKR,85.01,PKR,158173,2.471070395371277
AHTM,AHMED HASSAN TEXTILE MILLS LTD,83,PKR,85,PKR,82.85,PKR,83.45,PKR,624,4.3125000000000036
AICL,ADAMJEE INSURANCE CO LTD,68.94,PKR,68.94,PKR,67.75,PKR,68.65,PKR,169235,0.7188967136150369
