Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 INVESTMENTS LTD,10.95,PKR,10.95,PKR,10.5,PKR,10.59,PKR,38416,0.284090909090903
AABS,AL-ABBAS SUGAR MILLS LTD,1077.98,PKR,1077.98,PKR,1065.01,PKR,1074,PKR,149,0.9930038366057272
AATM,ALI ASGHAR TEXTILE MILLS LTD (defaulter),47.99,PKR,51.88,PKR,47.5,PKR,51.88,PKR,144249,10.008481764206968
ABL,ALLIED BANK LTD,190,PKR,191.95,PKR,189,PKR,190.85,PKR,88920,0.7442989864864847
ABOT,ABBOTT LABORATORIES (PAKISTAN) LTD,1160,PKR,1198,PKR,1160,PKR,1182.36,PKR,7928,1.049500888828112
ACPL,ATTOCK CEMENT PAKISTAN LTD,298.89,PKR,301.9,PKR,290.2,PKR,294.53,PKR,1991126,-1.478508111724374
ADAMS,ADAM SUGAR MILLS LTD,72.69,PKR,73.66,PKR,72,PKR,72.05,PKR,7806,-0.8804512312560195
ADMM,ARTISTIC DENIM MILLS LTD,64.98,PKR,64.98,PKR,60.12,PKR,62.54,PKR,94211,-1.4186633039092034
AGHA,AGHA STEEL INDUSTRIES LIMITED,9.05,PKR,9.38,PKR,9.04,PKR,9.17,PKR,3476749,1.214128035320082
AGIC,ASKARI GENERAL INSURANCE CO. LTD,44.9,PKR,45.59,PKR,44.01,PKR,45.46,PKR,32152,1.2697705502339058
AGIL,AGRIAUTO INDUSTRIES LTD,145.99,PKR,145.99,PKR,142,PKR,144.26,PKR,42906,0.21535255296978276
AGL,AGRITECH LTD,81.75,PKR,83.87,PKR,80,PKR,80.72,PKR,2296697,-1.2478590653290873
AGP,AGP LTD,211,PKR,214,PKR,210.75,PKR,211.68,PKR,305935,0.2890036480788429
AGSML,ABDULLAH SHAH GHAZI SUGAR MILLS LTD,8.58,PKR,8.6,PKR,8.3,PKR,8.41,PKR,422728,-1.1750881316098667
AGTL,AL-GHAZI TRACTORS LTD,424.69,PKR,424.89,PKR,421.94,PKR,422.6,PKR,15858,0.14455318846418483
AHCL,ARIF HABIB CORPORATION LTD,12.45,PKR,12.88,PKR,12.4,PKR,12.59,PKR,14473860,1.696284329563805
AHL,ARIF HABIB LTD,93.5,PKR,93.51,PKR,91.55,PKR,93.47,PKR,1177998,9.95177037995529
