Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 INVESTMENTS LTD,10.89,PKR,10.89,PKR,10.4,PKR,10.6,PKR,31085,0.09442870632672132
AABS,AL-ABBAS SUGAR MILLS LTD,1074,PKR,1079.99,PKR,1070,PKR,1071.76,PKR,112,-0.20856610800744965
AATM,ALI ASGHAR TEXTILE MILLS LTD (defaulter),55.7,PKR,57.07,PKR,53.52,PKR,57.07,PKR,66073,10.003855050115646
ABL,ALLIED BANK LTD,192.5,PKR,193.97,PKR,191,PKR,193.07,PKR,149718,1.163217186271941
ABOT,ABBOTT LABORATORIES (PAKISTAN) LTD,1190,PKR,1219,PKR,1180,PKR,1203.09,PKR,31767,1.7532731147873761
ACPL,ATTOCK CEMENT PAKISTAN LTD,294.53,PKR,297.5,PKR,286,PKR,288.46,PKR,525271,-2.0609106033341233
ADAMS,ADAM SUGAR MILLS LTD,71,PKR,73,PKR,71,PKR,71.02,PKR,1317,-1.4295628036086068
ADMM,ARTISTIC DENIM MILLS LTD,63.7,PKR,67.8,PKR,61.8,PKR,64.93,PKR,248233,3.8215542053086144
AGHA,AGHA STEEL INDUSTRIES LIMITED,9.2,PKR,9.3,PKR,9.1,PKR,9.11,PKR,862491,-0.6543075245365376
AGIC,ASKARI GENERAL INSURANCE CO. LTD,45.44,PKR,45.44,PKR,44.01,PKR,45,PKR,6877,-1.0118785745710532
AGIL,AGRIAUTO INDUSTRIES LTD,144.9,PKR,145.99,PKR,137.01,PKR,143,PKR,51631,-0.8734229862747754
AGL,AGRITECH LTD,80.5,PKR,81.2,PKR,79.5,PKR,80.75,PKR,542473,0.037165510406344325
AGP,AGP LTD,212,PKR,219,PKR,210.75,PKR,213.73,PKR,468260,0.9684429327286389
AGSML,ABDULLAH SHAH GHAZI SUGAR MILLS LTD,8.41,PKR,8.62,PKR,8.35,PKR,8.54,PKR,498773,1.545778834720559
AGTL,AL-GHAZI TRACTORS LTD,423.54,PKR,428,PKR,418,PKR,422.98,PKR,46258,0.08991954566966291
AHCL,ARIF HABIB CORPORATION LTD,12.58,PKR,12.7,PKR,12.41,PKR,12.59,PKR,2839035,0
AHL,ARIF HABIB LTD,96,PKR,101.47,PKR,95.73,PKR,96.24,PKR,876753,2.963517706215894
AHTM,AHMED HASSAN TEXTILE MILLS LTD,80.01,PKR,80.01,PKR,80.01,PKR,83.45,PKR,9,0
AICL,ADAMJEE INSURANCE CO LTD,68.5,PKR,72.8,PKR,68.5,PKR,72.08,PKR,8927460,4.539521392313263
AIRLINK,AIR LINK COMMUNICATION LIMITED,168,PKR,173.5,PKR,166,PKR,166.69,PKR,5498398,-1.1856067342462506
AKBL,ASKARI BANK LTD,73.99,PKR,76.49,PKR,73.69,PKR,74.34,PKR,13567083,0.8820735513638291
AKDHL,AKD HOSPITALITY LIMITED ,176.49,PKR,176.49,PKR,176.49,PKR,175,PKR,26,0
AKDSL,AKD SECURITIES LIMITED,32.68,PKR,32.68,PKR,32,PKR,32.05,PKR,126697,-0.24898848428261872
AKGL,AL-KHAIR GADOON LTD,56.5,PKR,56.5,PKR,53.51,PKR,56.49,PKR,61,0
ALAC,ASKARI LIFE ASSURANCE CO LTD,9.31,PKR,9.45,PKR,9.21,PKR,9.24,PKR,400178,-0.5382131324004191
ALIFE,ADAMJEE LIFE ASSURANCE COMPANY LIMITED,35.99,PKR,36.3,PKR,34.5,PKR,36.1,PKR,77090,0.27777777777778173
ALNRS,AL-NOOR SUGAR MILLS LTD,98.39,PKR,99.5,PKR,88.55,PKR,88.87,PKR,2291,-9.675780058949076
ALTN,ALTERN ENERGY LTD,11.8,PKR,11.95,PKR,11.65,PKR,11.81,PKR,868746,0.254668930390502
AMBL,APNA MICROFINANCE BANK LTD,12,PKR,12,PKR,12,PKR,11.14,PKR,260,0
AMTEX,AMTEX LTD (defaulter),4.02,PKR,4.15,PKR,3.82,PKR,4,PKR,5681834,0
ANL,AZGARD NINE LTD,12.95,PKR,12.95,PKR,12.55,PKR,12.66,PKR,2903194,-2.239382239382233
ANSM,ANSARI SUGAR MILLS LTD (defaulter),9.74,PKR,9.74,PKR,9.74,PKR,9.74,PKR,11101,11.441647597254004
ANTM,AN TEXTILE MILLS LTD,32,PKR,32,PKR,30,PKR,30.97,PKR,4387,-1.4322087842138853
APL,ATTOCK PETROLEUM LTD,527.76,PKR,532,PKR,523,PKR,530.39,PKR,16553,0.49833257541306564
