Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 INVESTMENTS LTD,10.6,PKR,10.6,PKR,10.35,PKR,10.41,PKR,33485,-1.7924528301886746
AABS,AL-ABBAS SUGAR MILLS LTD,1083.9,PKR,1083.9,PKR,1067.11,PKR,1072.5,PKR,143,0.0690453086511914
AATM,ALI ASGHAR TEXTILE MILLS LTD (defaulter),60.45,PKR,62.78,PKR,52.1,PKR,62.78,PKR,230393,10.005256702295428
ABL,ALLIED BANK LTD,195.5,PKR,196,PKR,185.11,PKR,186.75,PKR,148386,-3.2734241466825473
ABOT,ABBOTT LABORATORIES (PAKISTAN) LTD,1200,PKR,1216,PKR,1170,PKR,1183.73,PKR,14168,-1.6091896699332469
ACPL,ATTOCK CEMENT PAKISTAN LTD,290,PKR,290.5,PKR,281.14,PKR,289.5,PKR,406958,0.3605352561880401
ADAMS,ADAM SUGAR MILLS LTD,72.94,PKR,72.94,PKR,72.69,PKR,71.02,PKR,57,0
ADMM,ARTISTIC DENIM MILLS LTD,66,PKR,67.5,PKR,63.99,PKR,65.42,PKR,173878,0.7546588633913365
AGHA,AGHA STEEL INDUSTRIES LIMITED,9.09,PKR,9.2,PKR,8.9,PKR,9.01,PKR,1064716,-1.0976948408342442
AGIC,ASKARI GENERAL INSURANCE CO. LTD,45.25,PKR,45.49,PKR,43.75,PKR,44.75,PKR,18459,-0.5555555555555556
AGIL,AGRIAUTO INDUSTRIES LTD,144,PKR,145.8,PKR,138.51,PKR,141.59,PKR,78233,-0.9860139860139836
AGL,AGRITECH LTD,81.45,PKR,81.87,PKR,77.8,PKR,78.62,PKR,1289422,-2.637770897832812
AGP,AGP LTD,214,PKR,218,PKR,210.07,PKR,212.15,PKR,384610,-0.7392504561830273
AGSML,ABDULLAH SHAH GHAZI SUGAR MILLS LTD,8.5,PKR,8.91,PKR,8.48,PKR,8.75,PKR,1385329,2.4590163934426332
AGTL,AL-GHAZI TRACTORS LTD,425,PKR,425.45,PKR,418.14,PKR,422.69,PKR,24006,-0.0685611612842263
AHCL,ARIF HABIB CORPORATION LTD,12.6,PKR,12.6,PKR,12.44,PKR,12.46,PKR,1283581,-1.032565528196974
AHL,ARIF HABIB LTD,97,PKR,97,PKR,91.5,PKR,92.66,PKR,489083,-3.719866999168743
