Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 INVESTMENTS LTD,10.4,PKR,11.45,PKR,10.39,PKR,11.3,PKR,366713,8.549471661863597
AABS,AL-ABBAS SUGAR MILLS LTD,1082.95,PKR,1085,PKR,1070.02,PKR,1074.31,PKR,51,0.1687645687645637
AATM,ALI ASGHAR TEXTILE MILLS LTD (defaulter),69.06,PKR,69.06,PKR,59,PKR,62.59,PKR,251857,-0.30264415418922863
ABL,ALLIED BANK LTD,185,PKR,190,PKR,185,PKR,187.03,PKR,57085,0.1499330655957168
ABOT,ABBOTT LABORATORIES (PAKISTAN) LTD,1183.73,PKR,1196,PKR,1180,PKR,1185.12,PKR,13664,0.11742542640634882
ACPL,ATTOCK CEMENT PAKISTAN LTD,290,PKR,292,PKR,285.5,PKR,286.39,PKR,188308,-1.0742659758203847
ADAMS,ADAM SUGAR MILLS LTD,71.75,PKR,72.9,PKR,65.5,PKR,71.61,PKR,824,0.8307519008729983
ADMM,ARTISTIC DENIM MILLS LTD,65.96,PKR,66.45,PKR,64,PKR,64.12,PKR,63898,-1.9871598899419096
AGHA,AGHA STEEL INDUSTRIES LIMITED,9.02,PKR,9.14,PKR,8.9,PKR,8.96,PKR,790581,-0.5549389567147496
AGIC,ASKARI GENERAL INSURANCE CO. LTD,44,PKR,45.25,PKR,43.8,PKR,45.2,PKR,38036,1.0055865921787774
AGIL,AGRIAUTO INDUSTRIES LTD,141.85,PKR,143.49,PKR,138,PKR,138.91,PKR,56559,-1.8927890387739295
AGL,AGRITECH LTD,78.62,PKR,82.9,PKR,78.62,PKR,82.47,PKR,2989507,4.8969727804629795
AGP,AGP LTD,212.5,PKR,214.5,PKR,209.01,PKR,210.14,PKR,119370,-0.9474428470421962
AGSML,ABDULLAH SHAH GHAZI SUGAR MILLS LTD,8.84,PKR,8.84,PKR,8.47,PKR,8.62,PKR,439630,-1.4857142857142946
AGTL,AL-GHAZI TRACTORS LTD,422.69,PKR,425.99,PKR,420.01,PKR,423.92,PKR,14789,0.2909933994180175
AHCL,ARIF HABIB CORPORATION LTD,12.52,PKR,12.92,PKR,12.43,PKR,12.57,PKR,20908847,0.8828250401284062
