Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 INVESTMENTS LTD,11.51,PKR,11.99,PKR,11.22,PKR,11.88,PKR,108176,5.132743362831859
AABS,AL-ABBAS SUGAR MILLS LTD,1072.23,PKR,1072.23,PKR,1060.01,PKR,1068.24,PKR,62,-0.5650138228258079
AATM,ALI ASGHAR TEXTILE MILLS LTD (defaulter),62.7,PKR,64.2,PKR,59,PKR,59.48,PKR,39638,-4.968844863396718
ABL,ALLIED BANK LTD,187.12,PKR,188.88,PKR,185,PKR,185.5,PKR,39867,-0.8180505801208369
ABOT,ABBOTT LABORATORIES (PAKISTAN) LTD,1213.85,PKR,1215,PKR,1189.99,PKR,1190.64,PKR,12803,0.46577561765898895
ACPL,ATTOCK CEMENT PAKISTAN LTD,286,PKR,292.4,PKR,284,PKR,289.19,PKR,223580,0.9776877684276726
ADAMS,ADAM SUGAR MILLS LTD,74.99,PKR,74.99,PKR,65.5,PKR,71.61,PKR,210,0
ADMM,ARTISTIC DENIM MILLS LTD,64,PKR,64.25,PKR,61.02,PKR,63.13,PKR,55218,-1.543980037429822
AGHA,AGHA STEEL INDUSTRIES LIMITED,8.99,PKR,9.09,PKR,8.86,PKR,8.95,PKR,758778,-0.11160714285716028
AGIC,ASKARI GENERAL INSURANCE CO. LTD,44.8,PKR,45.75,PKR,44.75,PKR,45.6,PKR,14858,0.8849557522123862
AGIL,AGRIAUTO INDUSTRIES LTD,139.7,PKR,140.7,PKR,137,PKR,140.15,PKR,35322,0.8926643150241229
AGL,AGRITECH LTD,82.47,PKR,85.4,PKR,82,PKR,84.32,PKR,2968281,2.2432399660482534
AGP,AGP LTD,209,PKR,210,PKR,205.5,PKR,209.43,PKR,170580,-0.3378699914342722
AGSML,ABDULLAH SHAH GHAZI SUGAR MILLS LTD,8.5,PKR,9.29,PKR,8.4,PKR,8.96,PKR,2303303,3.9443155452436387
AGTL,AL-GHAZI TRACTORS LTD,400,PKR,420,PKR,400,PKR,409.39,PKR,59946,-3.427533496886212
AHCL,ARIF HABIB CORPORATION LTD,12.78,PKR,12.78,PKR,12.52,PKR,12.59,PKR,2292427,0.1591089896579123
AHL,ARIF HABIB LTD,95.5,PKR,95.94,PKR,92.5,PKR,93.73,PKR,99086,-0.46724009769565433
AHTM,AHMED HASSAN TEXTILE MILLS LTD,78.54,PKR,78.55,PKR,78.54,PKR,78.53,PKR,94,0
AICL,ADAMJEE INSURANCE CO LTD,73,PKR,74,PKR,72.26,PKR,72.71,PKR,400000,-1.1420802175390936
AIRLINK,AIR LINK COMMUNICATION LIMITED,160.91,PKR,162.84,PKR,153.81,PKR,154.81,PKR,3159772,-3.790939034242741
AKBL,ASKARI BANK LTD,78.14,PKR,78.14,PKR,76.55,PKR,76.83,PKR,2535106,-1.0814986481266942
AKDHL,AKD HOSPITALITY LIMITED ,173.52,PKR,178,PKR,173.01,PKR,178,PKR,727,0.5820195513363854
AKDSL,AKD SECURITIES LIMITED,32.06,PKR,35.4,PKR,32.05,PKR,34.17,PKR,933484,4.367745876603542
AKGL,AL-KHAIR GADOON LTD,51.51,PKR,56.49,PKR,51.51,PKR,55.24,PKR,196,0
ALAC,ASKARI LIFE ASSURANCE CO LTD,8.92,PKR,9.86,PKR,8.92,PKR,9.86,PKR,1636720,11.286681715575622
ALIFE,ADAMJEE LIFE ASSURANCE COMPANY LIMITED,34.85,PKR,35.99,PKR,34.41,PKR,35.91,PKR,245796,3.5765791750793046
ALNRS,AL-NOOR SUGAR MILLS LTD,100,PKR,100,PKR,91.5,PKR,98.07,PKR,8127,-1.079281823683687
ALTN,ALTERN ENERGY LTD,13,PKR,14.11,PKR,13,PKR,14.11,PKR,7350263,9.97661730319563
AMBL,APNA MICROFINANCE BANK LTD,11.91,PKR,11.91,PKR,11.91,PKR,11.14,PKR,1,0
AMTEX,AMTEX LTD (defaulter),3.99,PKR,4.28,PKR,3.86,PKR,4.06,PKR,8134243,5.454545454545442
ANL,AZGARD NINE LTD,12.9,PKR,12.99,PKR,12.71,PKR,12.83,PKR,1239175,-0.6196746707978317
ANSM,ANSARI SUGAR MILLS LTD (defaulter),12.99,PKR,12.99,PKR,12.99,PKR,12.99,PKR,2824,9.991532599491954
ANTM,AN TEXTILE MILLS LTD,33.8,PKR,33.8,PKR,32,PKR,32,PKR,13666,-5.743740795287195
APL,ATTOCK PETROLEUM LTD,520,PKR,523.49,PKR,520,PKR,521.79,PKR,10968,-0.30569938286937515
ARCTM,ARCTIC TEXTILE MILLS LIMITED,38.75,PKR,39,PKR,38.5,PKR,38.82,PKR,2812,-1.120733571064691
ARPAK,ARPAK INTERNATIONAL INVESTMENTS LTD,58.02,PKR,63.81,PKR,58.02,PKR,58.01,PKR,10,0
ARPL,ARCHROMA PAKISTAN LTD,456.11,PKR,461,PKR,443.63,PKR,453.56,PKR,29813,0.48073727818516493
ARUJ,ARUJ INDUSTRIES LTD (defaulter),9.6,PKR,9.85,PKR,9.5,PKR,9.6,PKR,16817,-2.2403258655804543
ASC,AL SHAHEER CORPORATION,18.5,PKR,19.71,PKR,18.5,PKR,19.71,PKR,9548827,9.98883928571428
ASHT,ASHFAQ TEXTILE MILLS LTD,24,PKR,24.9,PKR,22.31,PKR,24.5,PKR,3686,1.6175860638739135
ASIC,ASIA INSURANCE CO LTD,18.55,PKR,18.55,PKR,18.55,PKR,17,PKR,25,0
ASL,AISHA STEEL MILLS LTD,13.41,PKR,13.7,PKR,13.17,PKR,13.39,PKR,2832313,-1.0347376201034648
ASTL,AMRELI STEELS LTD,22.25,PKR,22.25,PKR,21.85,PKR,21.93,PKR,75712,-0.3634711494775186
ASTM,ASIM TEXTILE MILLS LTD,40.88,PKR,40.88,PKR,36.15,PKR,37.39,PKR,57397,-5.794910556815312
ATBA,ATLAS BATTERY LTD,281.7,PKR,281.7,PKR,274.05,PKR,276.02,PKR,33321,-0.511822376009233
ATIL,ATLAS INSURANCE LTD,81.5,PKR,82,PKR,78.01,PKR,80,PKR,20259,-1.2345679012345678
ATLH,ATLAS HONDA LTD,1235,PKR,1235,PKR,1220.05,PKR,1228,PKR,3215,-0.4208597215352099
ATRL,ATTOCK REFINERY LTD,660,PKR,663.4,PKR,653.5,PKR,654.72,PKR,401175,-0.7413471596852665
AVN,AVANCEON LTD,49.63,PKR,50.25,PKR,49.5,PKR,49.66,PKR,475759,-0.14076010456464969
AWTX,ALLAWASAYA TEXTILE & FINISHING MILLS LTD,1550.52,PKR,1550.52,PKR,1550.52,PKR,1550.52,PKR,1,0.0006449490812694471
BAFL,BANK ALFALAH LTD,104.01,PKR,105.95,PKR,103.5,PKR,105.71,PKR,2433979,1.6833397460561756
BAFS,BABA FARID SUGAR MILLS LTD,272.67,PKR,272.67,PKR,245.4,PKR,245.4,PKR,4247,-10.001100231048524
BAHL,BANK AL-HABIB LTD,207,PKR,207,PKR,201,PKR,201.7,PKR,56317,-2.0207908287185585
BAPL,BAWANY AIR PRODUCTS LTD,56.75,PKR,56.9,PKR,49.5,PKR,50.51,PKR,1049201,-6.635859519408509
BATA,BATA PAKISTAN LTD,1730,PKR,1730,PKR,1700,PKR,1711.58,PKR,3437,-0.48895633114146486
BBFL,BIG BIRD FOODS LIMITED ,47.3,PKR,47.68,PKR,47,PKR,47.37,PKR,466201,0.19035532994923077
BCL,BOLAN CASTINGS LTD,113,PKR,114.49,PKR,113,PKR,113.07,PKR,6044,-0.7025555457978495
BECO,BECO STEEL LIMITED,19.22,PKR,19.39,PKR,18.8,PKR,19.03,PKR,394897,-0.9370119729307637
BELA,BELA AUTOMOTIVES LTD,139,PKR,140,PKR,118.15,PKR,121.19,PKR,26662,-7.685862279098113
BERG,BERGER PAINTS PAKISTAN LTD,113.45,PKR,114.98,PKR,110.5,PKR,111.79,PKR,115867,-1.4718843645337454
BFAGRO,BARKAT FRISIAN AGRO LIMITED,42.97,PKR,42.97,PKR,41.48,PKR,41.58,PKR,1043402,-2.0955968919237122
BFBIO,BF BIOSCIENCES LTD,174.99,PKR,176.98,PKR,170.6,PKR,171.93,PKR,714699,-1.8216080402010035
BFMOD,B.F. MODARABA,13.01,PKR,13.69,PKR,12.71,PKR,13.64,PKR,9016,5.165767154973014
BGL,BALOCHISTAN GLASS LTD,12,PKR,12.39,PKR,11.73,PKR,12.32,PKR,3137646,3.1825795644891186
BHAT,BHANERO TEXTILE MILLS LTD,931,PKR,985,PKR,902.55,PKR,973.62,PKR,1121,1.4673697813535695
BIFO,BIAFO INDUSTRIES LTD,190,PKR,190,PKR,188.08,PKR,188.45,PKR,20658,-0.5593372381404688
BILF,BILAL FIBRES LTD,24.7,PKR,24.9,PKR,23.42,PKR,24,PKR,122347,1.2231126107127759
BIPL,BANKISLAMI PAKISTAN LTD,36.75,PKR,36.75,PKR,35.5,PKR,35.78,PKR,1364002,-1.9457385585091829
BML,BANK MAKRAMAH LIMITED.,4.99,PKR,4.99,PKR,4.86,PKR,4.9,PKR,1468253,-0.4065040650406418
BNL,BUNNY'S LTD,98.02,PKR,102.75,PKR,96,PKR,98.29,PKR,2315377,-1.7885691446842447
BNWM,BANNU WOOLLEN MILLS LTD,79.99,PKR,80.5,PKR,74.15,PKR,76.36,PKR,87623,-3.512762193580997
BOK,BANK OF KHYBER,17.82,PKR,19.5,PKR,17.82,PKR,19.5,PKR,603829,9.983079526226732
BOP,BANK OF PUNJAB,14.6,PKR,14.89,PKR,14.25,PKR,14.71,PKR,21153368,1.0996563573883171
BPL,BURSHANE LPG (PAKISTAN) LTD,33.01,PKR,34.25,PKR,33.01,PKR,33.49,PKR,45442,0.7521058965102286
BRRG,B.R.R. GUARDIAN LIMITED,29.6,PKR,30.15,PKR,28.21,PKR,30,PKR,25500,3.9501039501039523
BTL,BLESSED TEXTILES LTD,305.01,PKR,330,PKR,305.01,PKR,310.98,PKR,322,-2.21984656018111
BUXL,BUXLY PAINTS LTD,175.85,PKR,175.85,PKR,170,PKR,173.02,PKR,5757,-0.8651807712141126
BWCL,BESTWAY CEMENT CO LTD,550,PKR,556.15,PKR,548,PKR,553.33,PKR,8607,1.1701680288154044
BWHL,BALUCHISTAN WHEELS LTD,187.44,PKR,187.44,PKR,182,PKR,184.34,PKR,123162,1.9185050035937408
CASH,CALCORP LIMITED,39.49,PKR,39.87,PKR,38.11,PKR,39.5,PKR,1603,2.172788411795146
CCM,CRESCENT COTTON MILLS LTD,49.4,PKR,53.7,PKR,49.4,PKR,53.6,PKR,581,8.502024291497982
CENI,CENTURY INSURANCE CO LTD,48,PKR,48,PKR,48,PKR,47,PKR,25,0
CEPB,CENTURY PAPER AND BOARD MILLS LTD,27.35,PKR,28.5,PKR,26.75,PKR,27.74,PKR,633701,2.7407407407407347
CFL,CRESCENT FIBRES LTD,55.05,PKR,55.06,PKR,47,PKR,50.05,PKR,51,0
