Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 Investments Limited,12.39,PKR,12.39,PKR,11.31,PKR,11.64,PKR,73270,-2.0202020202020217
AABS,Al-Abbas Sugar Mills Ltd.,1084,PKR,1094.8,PKR,1060,PKR,1087.79,PKR,379,1.8301130832022723
AATM,Ali Asghar Textile Mills Limited,58.01,PKR,60.96,PKR,57.1,PKR,57.6,PKR,16253,-3.1607262945527834
ABL,Allied Bank Limited,188,PKR,188,PKR,181,PKR,182.39,PKR,136192,-1.676549865229118
ABOT,Abbott Laboratories Pakistan Limited,1190.64,PKR,1192,PKR,1170.01,PKR,1173.74,PKR,10725,-1.4194046899146753
ACPL,Attock Cement Pakistan Limited,291.92,PKR,295,PKR,290,PKR,290.65,PKR,184501,0.5048583975932707
ADAMS,Adam Sugar Mills Limited,68.5,PKR,71.89,PKR,68.01,PKR,70,PKR,2467,-2.248289345063538
ADMM,Artistic Denim Mills Limited,64,PKR,64,PKR,61.9,PKR,61.96,PKR,53279,-1.8533185490258224
AGHA,Agha Steel Industries Ltd.,8.96,PKR,9,PKR,8.9,PKR,8.92,PKR,1026214,-0.33519553072624986
AGIC,Askari General Insurance Co. Ltd.,45.5,PKR,45.5,PKR,44,PKR,44.17,PKR,43930,-3.135964912280701
AGIL,Agriauto Industries Limited,140.2,PKR,141.98,PKR,138.32,PKR,139.96,PKR,35198,-0.13556903317873545
AGL,Agritech Limited,83.2,PKR,83.75,PKR,80.5,PKR,81.01,PKR,1230557,-3.9255218216318646
AGP,AGP Limited,209.43,PKR,209.99,PKR,203.5,PKR,204.29,PKR,234183,-2.4542806665711763
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,9,PKR,9.55,PKR,8.9,PKR,9.15,PKR,3808596,2.1205357142857086
AGTL,Al-Ghazi Tractors Ltd.,404,PKR,407,PKR,403,PKR,404.31,PKR,24159,-1.2408705635213326
AHCL,Arif Habib Corporation Limited,12.68,PKR,13.38,PKR,12.54,PKR,13.12,PKR,8793138,4.209690230341536
AHL,Arif Habib Limited,93.35,PKR,94,PKR,93.01,PKR,93.48,PKR,41947,-0.26672356769444144
AHTM,Ahmed Hassan Textile Mills Ltd.,78.6,PKR,78.6,PKR,78.6,PKR,78.53,PKR,6,0
AICL,Adamjee Insurance Co. Limited,72.55,PKR,72.9,PKR,71.5,PKR,72.17,PKR,1535384,-0.742676385641579
AIRLINK,Air Link Communication Ltd.,156.25,PKR,156.25,PKR,150,PKR,150.93,PKR,3581900,-2.5062980427620922
AKBL,Askari Bank Limited,77.04,PKR,77.8,PKR,76.5,PKR,76.89,PKR,2666196,0.07809449433815212
AKDHL,AKD Hospitality Limited,178.49,PKR,195.8,PKR,178.49,PKR,190.54,PKR,13879,7.044943820224716
AKDSL,AKD Securities Limited,34.5,PKR,35.21,PKR,34,PKR,34.1,PKR,532486,-0.20485806262803713
AKGL,Al-Khair Gadoon Limited,51.51,PKR,56.49,PKR,51.51,PKR,55.24,PKR,196,0
ALAC,Askari Life Assurance Co. Ltd.,10.48,PKR,10.49,PKR,9.86,PKR,10.16,PKR,2075211,3.0425963488843886
ALIFE,Adamjee Life Assurance Company Limited,36.52,PKR,36.52,PKR,35.16,PKR,36,PKR,87142,0.25062656641604963
ALNRS,Al-Noor Sugar Mills Limited,98,PKR,98,PKR,98,PKR,98,PKR,300,-0.07137758743753767
ALTN,Altern Energy Limited,14.99,PKR,15.52,PKR,14.25,PKR,15.1,PKR,17211028,7.0163004961020565
AMBL,Apna Microfinance Bank Limited,11.91,PKR,11.91,PKR,11.91,PKR,11.14,PKR,1,0
AMTEX,Amtex Limited,4.1,PKR,4.15,PKR,3.89,PKR,4,PKR,2828382,-1.4778325123152616
ANL,Azgard Nine Limited,12.94,PKR,12.94,PKR,12.6,PKR,12.68,PKR,984139,-1.1691348402182413
ANSM,Ansari Sugar Mills Limited,14.29,PKR,14.29,PKR,14.29,PKR,14.29,PKR,15897,10.007698229407227
ANTM,AN Textile Mills Limited,32.88,PKR,32.88,PKR,30.24,PKR,30.45,PKR,11560,-4.843750000000002
APL,Attock Petroleum Limited,524.49,PKR,524.49,PKR,518,PKR,520,PKR,20370,-0.34304988596944436
ARCTM,Arctic Textile Mills Limited,39.49,PKR,39.49,PKR,39.49,PKR,38.82,PKR,60,0
ARPAK,Arpak International Investments Ltd.,58.02,PKR,63.81,PKR,58.02,PKR,58.01,PKR,10,0
ARPL,Archroma Pakistan Limited,464,PKR,465,PKR,454,PKR,454.88,PKR,7892,0.29103095511067845
ARUJ,Aruj Industries Ltd.,9.79,PKR,9.8,PKR,9.59,PKR,9.59,PKR,26369,-0.10416666666666445
ASC,Al Shaheer Corp. Ltd.,20.7,PKR,21.68,PKR,20.5,PKR,21.68,PKR,5941408,9.994926433282592
ASHT,Ashfaq Textile Mills Limited,23.15,PKR,25.8,PKR,23.15,PKR,23.15,PKR,1111,-5.510204081632659
ASIC,Asia Insurance Co. Ltd. (Pakistan),18.7,PKR,18.7,PKR,18.7,PKR,17,PKR,80,0
ASL,Aisha Steel Mills Ltd.,13.39,PKR,13.6,PKR,13,PKR,13.27,PKR,12304794,-0.8961911874533308
ASTL,Amreli Steels Ltd.,21.95,PKR,22,PKR,21.5,PKR,21.89,PKR,365366,-0.18239854081166962
ASTM,Asim Textile Mills Ltd.,36.81,PKR,38.31,PKR,35.01,PKR,36.16,PKR,13220,-3.2896496389409036
ATBA,Atlas Battery Limited,276.2,PKR,280.8,PKR,255,PKR,257.79,PKR,107806,-6.604593870009406
ATIL,Atlas Insurance Limited,80,PKR,83.45,PKR,80,PKR,82.03,PKR,13840,2.5375000000000014
ATLH,Atlas Honda Limited,1225,PKR,1235,PKR,1220.05,PKR,1225.07,PKR,9502,-0.23859934853420717
ATRL,Attock Refinery Ltd,656,PKR,665.45,PKR,652,PKR,662.71,PKR,1008103,1.2203690127077238
