Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 Investments Limited,11.63,PKR,11.64,PKR,11.3,PKR,11.62,PKR,13437,-0.171821305841936
AABS,Al-Abbas Sugar Mills Ltd.,1086.99,PKR,1087,PKR,1075,PKR,1078.56,PKR,64,-0.8485093630204376
AATM,Ali Asghar Textile Mills Limited,58,PKR,59.99,PKR,56,PKR,56.32,PKR,12510,-2.222222222222224
ABL,Allied Bank Limited,184.8,PKR,184.8,PKR,180.01,PKR,180.89,PKR,30857,-0.822413509512583
ABOT,Abbott Laboratories Pakistan Limited,1178,PKR,1180,PKR,1122.1,PKR,1129.3,PKR,18770,-3.7861877417486034
ACPL,Attock Cement Pakistan Limited,290.01,PKR,293.7,PKR,287.65,PKR,288.56,PKR,104623,-0.7190779287803114
ADAMS,Adam Sugar Mills Limited,72,PKR,72,PKR,65.05,PKR,70,PKR,92,0
ADMM,Artistic Denim Mills Limited,61.98,PKR,63,PKR,60.51,PKR,60.62,PKR,30872,-2.162685603615241
AGHA,Agha Steel Industries Ltd.,9,PKR,9.19,PKR,8.91,PKR,9,PKR,2977207,0.896860986547086
AGIC,Askari General Insurance Co. Ltd.,44.99,PKR,45,PKR,44,PKR,44.09,PKR,24134,-0.18111840615802194
AGIL,Agriauto Industries Limited,140.97,PKR,141,PKR,139,PKR,139.93,PKR,38707,-0.021434695627322902
AGL,Agritech Limited,81.76,PKR,81.88,PKR,79.75,PKR,79.99,PKR,837027,-1.2591038143439208
AGP,AGP Limited,194,PKR,196.48,PKR,187,PKR,190.1,PKR,2575508,-6.9460081257036554
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,9.15,PKR,9.8,PKR,9.1,PKR,9.47,PKR,3681424,3.4972677595628445
AGTL,Al-Ghazi Tractors Ltd.,406.85,PKR,406.85,PKR,401.07,PKR,403.05,PKR,9137,-0.3116420568375729
AHCL,Arif Habib Corporation Limited,13.47,PKR,13.88,PKR,13,PKR,13.1,PKR,35498879,-0.15243902439024065
AHL,Arif Habib Limited,93.48,PKR,94.5,PKR,93,PKR,93.22,PKR,76911,-0.2781343602909768
AHTM,Ahmed Hassan Textile Mills Ltd.,78.53,PKR,80,PKR,70.76,PKR,75.48,PKR,337,-3.883866038456637
AICL,Adamjee Insurance Co. Limited,72.5,PKR,73.4,PKR,71,PKR,71.14,PKR,553901,-1.4271858112789262
