Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 Investments Limited,11.38,PKR,11.98,PKR,11.01,PKR,11.55,PKR,18812,-0.602409638554204
AABS,Al-Abbas Sugar Mills Ltd.,1148,PKR,1148,PKR,1079.1,PKR,1088.24,PKR,73,0.8974929535677258
AATM,Ali Asghar Textile Mills Limited,58,PKR,58,PKR,53.01,PKR,56.14,PKR,19085,-0.3196022727272722
ABL,Allied Bank Limited,182.99,PKR,182.99,PKR,178.1,PKR,178.92,PKR,174750,-1.0890596495107518
ABOT,Abbott Laboratories Pakistan Limited,1151,PKR,1190,PKR,1144.05,PKR,1149.99,PKR,24194,1.8321083857256757
ACPL,Attock Cement Pakistan Limited,290,PKR,291.99,PKR,287,PKR,290,PKR,68856,0.4990296645411692
ADAMS,Adam Sugar Mills Limited,69.7,PKR,74.99,PKR,69.7,PKR,74.86,PKR,1531,6.942857142857142
ADMM,Artistic Denim Mills Limited,60.21,PKR,61.98,PKR,59.9,PKR,60.23,PKR,62934,-0.6433520290333233
AGHA,Agha Steel Industries Ltd.,8.86,PKR,9.2,PKR,8.86,PKR,9.03,PKR,2174009,0.33333333333332626
AGIC,Askari General Insurance Co. Ltd.,44.02,PKR,48.5,PKR,44.02,PKR,47.42,PKR,267880,7.5527330460421815
AGIL,Agriauto Industries Limited,141,PKR,147.49,PKR,137,PKR,143.28,PKR,117951,2.39405416994211
AGL,Agritech Limited,80.01,PKR,81.4,PKR,77.2,PKR,78.16,PKR,561752,-2.287785973246654
AGP,AGP Limited,185.1,PKR,195.24,PKR,185.1,PKR,193.54,PKR,918242,1.8095739084692257
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,9.67,PKR,9.79,PKR,9.4,PKR,9.57,PKR,1457036,1.0559662090813056
AGTL,Al-Ghazi Tractors Ltd.,401.99,PKR,404.01,PKR,400,PKR,403.55,PKR,8483,0.12405408758218582
AHCL,Arif Habib Corporation Limited,13.28,PKR,13.75,PKR,13.15,PKR,13.49,PKR,29093154,2.9770992366412257
AHL,Arif Habib Limited,93.88,PKR,94.13,PKR,92.8,PKR,93.19,PKR,106601,-0.03218193520703834
AHTM,Ahmed Hassan Textile Mills Ltd.,78.53,PKR,80,PKR,70.76,PKR,75.48,PKR,337,-3.883866038456637
AICL,Adamjee Insurance Co. Limited,71.5,PKR,72.01,PKR,69.5,PKR,71.07,PKR,812258,-0.09839752600507085
AIRLINK,Air Link Communication Ltd.,148.5,PKR,154.5,PKR,148.15,PKR,149.75,PKR,3507785,1.1004590872265698
AKBL,Askari Bank Limited,76.51,PKR,76.89,PKR,75,PKR,75.34,PKR,3810527,-1.4261415674473417
AKDHL,AKD Hospitality Limited,186,PKR,189.98,PKR,186,PKR,187.05,PKR,1244,0.2089360334297733
AKDSL,AKD Securities Limited,33.11,PKR,33.98,PKR,32.91,PKR,33.11,PKR,31825,-1.1346670647954689
AKGL,Al-Khair Gadoon Limited,53,PKR,53,PKR,53,PKR,53,PKR,14,0
ALAC,Askari Life Assurance Co. Ltd.,9.9,PKR,10.33,PKR,9.9,PKR,10.11,PKR,718976,1.2012012012011934
ALIFE,Adamjee Life Assurance Company Limited,36.65,PKR,36.65,PKR,34.12,PKR,35.6,PKR,53006,-1.1111111111111072
ALNRS,Al-Noor Sugar Mills Limited,95.58,PKR,99.95,PKR,92.17,PKR,92.22,PKR,310,-5.89795918367347
ALTN,Altern Energy Limited,13.78,PKR,14.3,PKR,13.5,PKR,13.85,PKR,2668643,0.5079825834542836
AMBL,Apna Microfinance Bank Limited,11.82,PKR,11.82,PKR,11.82,PKR,11.14,PKR,412,0
AMTEX,Amtex Limited,3.99,PKR,4,PKR,3.81,PKR,3.92,PKR,940033,1.5544041450777215
ANL,Azgard Nine Limited,12.35,PKR,12.45,PKR,12.2,PKR,12.4,PKR,443354,0.4862236628849311
ANSM,Ansari Sugar Mills Limited,17.29,PKR,17.29,PKR,16.5,PKR,17.29,PKR,330020,9.987277353689558
ANTM,AN Textile Mills Limited,29.2,PKR,29.98,PKR,28,PKR,29.06,PKR,6586,-2.483221476510074
APL,Attock Petroleum Limited,516,PKR,519.99,PKR,513.01,PKR,513.65,PKR,14462,-0.5960559673330446
ARCTM,Arctic Textile Mills Limited,35.35,PKR,39,PKR,35.35,PKR,38.5,PKR,605,-0.8243173621844417
ARPAK,Arpak International Investments Ltd.,58.01,PKR,58.01,PKR,58.01,PKR,58.01,PKR,4,0
ARPL,Archroma Pakistan Limited,453.98,PKR,457,PKR,445,PKR,448.16,PKR,6122,-1.2602449986780582
ARUJ,Aruj Industries Ltd.,9.63,PKR,9.63,PKR,9.22,PKR,9.36,PKR,8520,-0.42553191489362685
ASC,Al Shaheer Corp. Ltd.,20.7,PKR,20.7,PKR,18.63,PKR,18.63,PKR,7695167,-10.000000000000002
ASHT,Ashfaq Textile Mills Limited,28,PKR,28.02,PKR,26.5,PKR,28.02,PKR,61057,10.011778563015316
ASIC,Asia Insurance Co. Ltd. (Pakistan),16.48,PKR,18.7,PKR,16.48,PKR,17,PKR,31,0
ASL,Aisha Steel Mills Ltd.,13.5,PKR,13.82,PKR,13.5,PKR,13.69,PKR,4725976,2.1641791044776055
ASTL,Amreli Steels Ltd.,21.8,PKR,22.23,PKR,21.52,PKR,21.91,PKR,115240,0.1828989483310432
ASTM,Asim Textile Mills Ltd.,33.1,PKR,34.89,PKR,31.8,PKR,32.7,PKR,34224,-2.8809028809028776
ATBA,Atlas Battery Limited,250.01,PKR,253,PKR,250,PKR,250.89,PKR,34829,0.20369039060627483
ATIL,Atlas Insurance Limited,79.5,PKR,80,PKR,79,PKR,79,PKR,6590,0
ATLH,Atlas Honda Limited,1222.1,PKR,1229,PKR,1220,PKR,1224.63,PKR,4492,0.03921088101948439
ATRL,Attock Refinery Ltd,653,PKR,658,PKR,650.99,PKR,652.48,PKR,421574,-0.6108242318999514
AVN,Avanceon Ltd.,49.9,PKR,50.14,PKR,49.5,PKR,49.68,PKR,734233,-0.040241448692159204
BAFL,Bank Alfalah Limited,105,PKR,105.95,PKR,104,PKR,104.94,PKR,9891749,-0.09520182787510331
BAFS,Baba Farid Sugar Mills Limited,235,PKR,235,PKR,210,PKR,221.52,PKR,934,-1.2306046013911143
BAHL,Bank Al Habib Ltd.,190,PKR,190,PKR,185.12,PKR,186.56,PKR,107922,-2.206845940137342
BAPL,Bawany Air Products Limited.,49.95,PKR,51.83,PKR,49.13,PKR,49.19,PKR,59786,-0.3040129712201169
BATA,Bata Pakistan Limited,1535.01,PKR,1544.9,PKR,1506.01,PKR,1539.82,PKR,1445,0.2917920460614599
BBFL,Big Bird Foods Limited,48.12,PKR,48.12,PKR,46.9,PKR,46.97,PKR,1911173,-2.0846362309776945
BCL,Bolan Castings Ltd.,112.5,PKR,113,PKR,111.07,PKR,111.21,PKR,23522,-1.0851196299920067
BECO,BECO Steel Limited,18.69,PKR,18.75,PKR,18.16,PKR,18.34,PKR,284789,-0.9719222462203008
BELA,Bela Automotives Ltd.,123,PKR,123.1,PKR,120.5,PKR,121.89,PKR,880,0.12321340561853597
BERG,Berger Paints Pakistan Limited.,111.04,PKR,112.99,PKR,111.04,PKR,111.96,PKR,20965,0.178954903364342
BFAGRO,Barkat Frisian Agro Limited,41.01,PKR,42.5,PKR,40.5,PKR,41.73,PKR,3865748,1.2864077669902767
BFBIO,BF Biosciences Ltd,166,PKR,170.25,PKR,166,PKR,167.63,PKR,380112,0.64845391774241
BFMOD,BF Modaraba,13,PKR,13.4,PKR,12.99,PKR,13.12,PKR,67602,2.4999999999999885
BGL,Balochistan Glass Ltd.,12.16,PKR,12.24,PKR,11.82,PKR,11.92,PKR,1044588,-2.6143790849673225
BHAT,Bhanero Textile Mills Limited.,930,PKR,945,PKR,926,PKR,936.27,PKR,58,-0.9143727974092757
BIFO,Biafo Industries Limited,186,PKR,189.5,PKR,182.77,PKR,188.22,PKR,75713,1.510085211951252
BILF,Bilal Fibres Limited,23.4,PKR,23.49,PKR,23.1,PKR,23.47,PKR,19158,-0.04258943781942744
BIPL,BankIslami Pakistan Limited,36.29,PKR,36.3,PKR,35.72,PKR,36.23,PKR,1107172,0.6388888888888802
BML,Bank Makramah Limited,5.39,PKR,6.05,PKR,5.39,PKR,5.81,PKR,66004498,9.829867674858216
BNL,Bunny's Ltd.,97.88,PKR,97.88,PKR,93.8,PKR,94.16,PKR,4345137,-4.240821722770265
BNWM,Bannu Woollen Mills Limited,78,PKR,78,PKR,68.89,PKR,74.69,PKR,119389,-2.417036843480544
BOK,Bank of Khyber,25.9,PKR,25.96,PKR,25.3,PKR,25.96,PKR,664384,9.999999999999996
BOP,Bank of Punjab,14.25,PKR,14.57,PKR,14,PKR,14.26,PKR,31924722,0.21082220660575798
BPL,Burshane LPG (Pakistan) Limited,35,PKR,35.7,PKR,34.99,PKR,35.29,PKR,27994,1.4663599769982691
BRRG,B.R.R. Guardian limited,31.71,PKR,34.5,PKR,31,PKR,33.66,PKR,142919,6.182965299684534
BTL,Blessed Textiles Limited,301.03,PKR,312.11,PKR,301.03,PKR,310.99,PKR,504,0.3614418949882223
BUXL,Buxly Paints Limited,178,PKR,184,PKR,166,PKR,176.74,PKR,3100,4.8217780677302615
BWCL,Bestway Cement Limited,567,PKR,570,PKR,563.01,PKR,566.44,PKR,12083,0.06182762458266755
BWHL,Baluchistan Wheels Limited,184,PKR,184,PKR,179.51,PKR,180.19,PKR,66627,-1.932077936214222
CASH,CALCORP Limited,39.4,PKR,39.4,PKR,39.4,PKR,38.02,PKR,1,0
CCM,Crescent Cotton Mills Limited,48.5,PKR,52.65,PKR,48.5,PKR,48.67,PKR,547,-9.19776119402985
CENI,"Century Insurance Co., Ltd.",46,PKR,46.65,PKR,46,PKR,46.2,PKR,700,0.1951854261548545
CEPB,Century Paper & Board Mills Limited,27.1,PKR,27.25,PKR,26.99,PKR,27.18,PKR,141402,0.2212389380530926
CFL,Crescent Fibres Limited,52,PKR,52,PKR,52,PKR,50.05,PKR,1,0
CHAS,Chashma Sugar Mills Limited,68.65,PKR,73.73,PKR,68.65,PKR,70.05,PKR,14,0
CHBL,Chenab Limited,23.21,PKR,23.21,PKR,22.01,PKR,22.61,PKR,1086662,-2.752688172043013
CHCC,Cherat Cement Co. Ltd.,329.98,PKR,333,PKR,326,PKR,331.09,PKR,46027,0.6169087704369941
CJPL,Crescent Jute Products Ltd.,10.5,PKR,10.65,PKR,9.51,PKR,10.35,PKR,111337,-0.86206896551724
CLOV,Clover Pakistan Limited,41.44,PKR,41.44,PKR,40.6,PKR,41.01,PKR,45990,-0.31599416626155213
CLVL,Cordoba Logistics & Ventures Limited,19.15,PKR,19.15,PKR,18,PKR,18.88,PKR,12923,0.5324813631522783
CNERGY,Cnergyico Pk Limited,6.92,PKR,7.07,PKR,6.92,PKR,6.98,PKR,8038945,0.8670520231213945
COLG,Colgate-Palmolive (Pakistan) Limited,1286,PKR,1298,PKR,1285.2,PKR,1290.9,PKR,1692,0.26018407052154374
CPHL,Citi Pharma Ltd.,87.5,PKR,89,PKR,87,PKR,88.57,PKR,5218836,1.4547537227949554
CPPL,Cherat Packaging Limited,111.16,PKR,111.96,PKR,109.8,PKR,110.02,PKR,96018,-1.01664417453892
CRTM,Crescent Textile Mills Ltd.,21.21,PKR,21.44,PKR,21,PKR,21.07,PKR,81729,-0.18948365703457673
CSAP,Crescent Steel & Allied Products Ltd,103.78,PKR,104.4,PKR,102.26,PKR,102.54,PKR,167116,-1.194835228367696
CSIL,Crescent Star Insurance Co. Ltd.,4.23,PKR,4.45,PKR,4.18,PKR,4.35,PKR,11611635,5.0724637681159415
CTM,Colony Textile Mills Ltd.,6.05,PKR,6.19,PKR,6.01,PKR,6.06,PKR,204499,0.1652892561983436
CWSM,Chakwal Spinning Mills Limited,35.45,PKR,36.3,PKR,31.85,PKR,34.9,PKR,259430,-1.3845719129697711
CYAN,CYAN Ltd,37.55,PKR,37.55,PKR,35.65,PKR,36.4,PKR,77169,-2.412868632707771
DAAG,Data Agro Ltd.,102,PKR,105,PKR,101.05,PKR,102.44,PKR,3773,0.29371450949676636
DADX,Dadex Eternit Limited,65.89,PKR,69.9,PKR,64,PKR,64.05,PKR,16326,0.03123535842573172
DBCI,Dadabhoy Cement Industries Limited,8.1,PKR,8.1,PKR,7.61,PKR,7.78,PKR,209476,0
