Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 Investments Limited,15.53,PKR,15.53,PKR,15.53,PKR,15.53,PKR,173272,9.985835694050992
AABS,Al-Abbas Sugar Mills Ltd.,1085.9,PKR,1085.9,PKR,1050,PKR,1072.62,PKR,1290,0.7022551026155989
AATM,Ali Asghar Textile Mills Limited,51.49,PKR,53.8,PKR,49.21,PKR,52.19,PKR,28352,1.3594872790833088
ABL,Allied Bank Limited,175.99,PKR,176.85,PKR,174,PKR,174.03,PKR,91868,-0.34928996793402733
ABOT,Abbott Laboratories Pakistan Limited,1199.9,PKR,1199.98,PKR,1175,PKR,1181.83,PKR,3774,-0.7574421631607661
ACPL,Attock Cement Pakistan Limited,292.5,PKR,297,PKR,287.4,PKR,287.73,PKR,431449,-1.05570839064649
ADAMS,Adam Sugar Mills Limited,71.72,PKR,75.5,PKR,70.63,PKR,74.56,PKR,1902,4.51359686010653
ADMM,Artistic Denim Mills Limited,61.69,PKR,61.69,PKR,59,PKR,60.25,PKR,32141,0.06643414715163452
AGHA,Agha Steel Industries Ltd.,9.2,PKR,9.44,PKR,9.1,PKR,9.19,PKR,6540800,0.8781558726673994
AGIC,Askari General Insurance Co. Ltd.,45.45,PKR,45.99,PKR,44.75,PKR,45.49,PKR,15698,0.08800880088008613
AGIL,Agriauto Industries Limited,145,PKR,145,PKR,142,PKR,142,PKR,19596,-1.8862709873557588
AGL,Agritech Limited,76,PKR,76.99,PKR,72.4,PKR,73.52,PKR,1883678,-4.0709812108559555
AGP,AGP Limited,187.01,PKR,187.61,PKR,185.1,PKR,186.94,PKR,120619,0.17683939767428544
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,9.31,PKR,9.5,PKR,9.15,PKR,9.17,PKR,369618,-1.3978494623655997
AGTL,Al-Ghazi Tractors Ltd.,398,PKR,398,PKR,392.9,PKR,393.97,PKR,18448,-0.7657237852950716
AHCL,Arif Habib Corporation Limited,13.3,PKR,13.58,PKR,13.14,PKR,13.28,PKR,3863324,0.15082956259426528
AHL,Arif Habib Limited,96.5,PKR,96.9,PKR,95,PKR,95.83,PKR,128038,0.6194876102477986
AHTM,Ahmed Hassan Textile Mills Ltd.,73.01,PKR,79.99,PKR,73,PKR,77.44,PKR,249,0
AICL,Adamjee Insurance Co. Limited,74.85,PKR,76.5,PKR,72.56,PKR,73.85,PKR,2580745,-1.9516728624535302
AIRLINK,Air Link Communication Ltd.,157.17,PKR,166.5,PKR,157.01,PKR,159.37,PKR,6274424,1.3997582235795745
AKBL,Askari Bank Limited,85,PKR,86.3,PKR,84.53,PKR,85.06,PKR,2750004,0.33026657230479023
AKDHL,AKD Hospitality Limited,174.99,PKR,177.99,PKR,171.7,PKR,177.17,PKR,889,1.61743619156868
AKDSL,AKD Securities Limited,33.91,PKR,34.5,PKR,33.61,PKR,33.96,PKR,385096,1.3731343283582114
AKGL,Al-Khair Gadoon Limited,62.38,PKR,62.38,PKR,56.71,PKR,58.2,PKR,6187,-7.633708935089661
ALAC,Askari Life Assurance Co. Ltd.,12.99,PKR,13,PKR,12.16,PKR,12.41,PKR,7122199,2.224052718286652
ALIFE,Adamjee Life Assurance Company Limited,34.24,PKR,34.95,PKR,34.03,PKR,34.16,PKR,4080,0.08789920890710234
ALNRS,Al-Noor Sugar Mills Limited,95.84,PKR,100,PKR,95.84,PKR,100,PKR,524,3.2951141411011236
ALTN,Altern Energy Limited,13.49,PKR,13.49,PKR,12.95,PKR,13.01,PKR,1407097,-0.23006134969324665
AMBL,Apna Microfinance Bank Limited,11,PKR,11,PKR,11,PKR,11,PKR,750,-1.2567324955116748
AMTEX,Amtex Limited,4.45,PKR,4.5,PKR,4.2,PKR,4.25,PKR,3142155,-2.7459954233409634
ANL,Azgard Nine Limited,12.6,PKR,12.72,PKR,12.3,PKR,12.33,PKR,1444309,-1.3599999999999994
ANSM,Ansari Sugar Mills Limited,18.51,PKR,19.4,PKR,18,PKR,18.48,PKR,100148,-1.176470588235288
ANTM,AN Textile Mills Limited,28.7,PKR,28.75,PKR,26.3,PKR,26.84,PKR,3818,-5.559465165376501
APL,Attock Petroleum Limited,523.24,PKR,526,PKR,518.6,PKR,523.72,PKR,88114,0.09173610580231217
ARCTM,Arctic Textile Mills Limited,38.36,PKR,39,PKR,37.75,PKR,37.8,PKR,1285,-2.451612903225814
ARPAK,Arpak International Investments Ltd.,58.01,PKR,58.01,PKR,58,PKR,58,PKR,550,-0.03447087211306985
ARPL,Archroma Pakistan Limited,470,PKR,480.99,PKR,467,PKR,477.84,PKR,10892,1.665922001659536
ARUJ,Aruj Industries Ltd.,11.75,PKR,11.99,PKR,10.63,PKR,10.8,PKR,519574,-5.4290718038528825
ASC,Al Shaheer Corp. Ltd.,20.02,PKR,20.7,PKR,19.02,PKR,20.23,PKR,2897760,1.0489510489510532
ASHT,Ashfaq Textile Mills Limited,24.2,PKR,24.7,PKR,24.2,PKR,24.28,PKR,1330,0.37205456800330655
ASIC,Asia Insurance Co. Ltd. (Pakistan),18.7,PKR,18.7,PKR,15.32,PKR,17,PKR,300,0
ASL,Aisha Steel Mills Ltd.,14.14,PKR,14.64,PKR,13.8,PKR,14.4,PKR,12179092,3.1518624641833775
ASTL,Amreli Steels Ltd.,23.04,PKR,24.05,PKR,22.95,PKR,23.69,PKR,1116654,2.910512597741102
ASTM,Asim Textile Mills Ltd.,33.39,PKR,33.39,PKR,30.3,PKR,32.99,PKR,57324,1.9468479604450017
ATBA,Atlas Battery Limited,253.01,PKR,253.2,PKR,250.5,PKR,251.23,PKR,58534,-0.3411480026974547
ATIL,Atlas Insurance Limited,79,PKR,79.95,PKR,78,PKR,79.6,PKR,979,0.7594936708860687
ATLH,Atlas Honda Limited,1235,PKR,1237,PKR,1220,PKR,1235.06,PKR,10110,0.3135152696556124
ATRL,Attock Refinery Ltd,656.1,PKR,665,PKR,654,PKR,660.33,PKR,827763,0.7768146022831377
AVN,Avanceon Ltd.,48.3,PKR,48.64,PKR,48.16,PKR,48.26,PKR,855331,-0.18614270941055513
BAFL,Bank Alfalah Limited,105.89,PKR,105.94,PKR,104.02,PKR,105.76,PKR,1982148,0.8871506248211455
BAFS,Baba Farid Sugar Mills Limited,233.1,PKR,250,PKR,233.1,PKR,247,PKR,548,5.999485022744825
BAHL,Bank Al Habib Ltd.,190,PKR,192.95,PKR,185.76,PKR,192.39,PKR,826971,1.9608882293709198
BAPL,Bawany Air Products Limited.,50.47,PKR,50.5,PKR,48.02,PKR,48.71,PKR,48280,-1.3568246253543979
BATA,Bata Pakistan Limited,1539.99,PKR,1539.99,PKR,1510,PKR,1525.8,PKR,1319,0.07739633482441945
BBFL,Big Bird Foods Limited,48.25,PKR,48.45,PKR,48,PKR,48.17,PKR,1144983,0.2497398543184278
BCL,Bolan Castings Ltd.,106.94,PKR,106.94,PKR,103.02,PKR,103.47,PKR,43941,-1.278503959545848
BECO,BECO Steel Limited,18.95,PKR,20.74,PKR,18.95,PKR,20.74,PKR,9017434,10.026525198938975
BELA,Bela Automotives Ltd.,126,PKR,126.1,PKR,122.56,PKR,124.79,PKR,451,-0.8343928798474229
BERG,Berger Paints Pakistan Limited.,117,PKR,118.48,PKR,115.5,PKR,116.34,PKR,54118,-0.649017933390257
BFAGRO,Barkat Frisian Agro Limited,43.79,PKR,44.8,PKR,43.5,PKR,44.5,PKR,2048395,1.4591883264933894
BFBIO,BF Biosciences Ltd,169,PKR,169.8,PKR,165,PKR,165.81,PKR,654401,-1.3094458663174744
BFMOD,BF Modaraba,13.2,PKR,13.26,PKR,12.8,PKR,12.89,PKR,19414,-2.790346907993961
BGL,Balochistan Glass Ltd.,15.05,PKR,15.72,PKR,15,PKR,15.72,PKR,5355450,10.006997900629822
BHAT,Bhanero Textile Mills Limited.,932,PKR,969,PKR,925.1,PKR,955.9,PKR,515,0.621052631578945
BIFO,Biafo Industries Limited,185.4,PKR,185.4,PKR,182,PKR,183.01,PKR,61278,-0.3267795871684672
BILF,Bilal Fibres Limited,24.4,PKR,24.4,PKR,23.7,PKR,23.95,PKR,246815,-0.20833333333333628
BIPL,BankIslami Pakistan Limited,37.5,PKR,37.6,PKR,36.89,PKR,37.1,PKR,2522207,-0.026946914578275423
BML,Bank Makramah Limited,6.23,PKR,6.38,PKR,6.15,PKR,6.24,PKR,11793272,-0.47846889952152094
BNL,Bunny's Ltd.,110.99,PKR,116,PKR,110.5,PKR,112.89,PKR,3138413,2.645935624659026
BNWM,Bannu Woollen Mills Limited,77.77,PKR,77.77,PKR,75.5,PKR,77.14,PKR,25692,-0.09066183136898483
BOK,Bank of Khyber,25.56,PKR,26.5,PKR,25.56,PKR,25.98,PKR,125368,1.6431924882629174
BOP,Bank of Punjab,20,PKR,20.06,PKR,19.56,PKR,19.65,PKR,71442268,-0.2031488065007755
BPL,Burshane LPG (Pakistan) Limited,35.5,PKR,35.75,PKR,34.75,PKR,35.15,PKR,2961,-0.9859154929577505
BRRG,B.R.R. Guardian limited,32.6,PKR,32.6,PKR,30.1,PKR,31.34,PKR,7251,-3.122102009273575
BTL,Blessed Textiles Limited,308.1,PKR,308.1,PKR,290.11,PKR,299.94,PKR,1906,-2.2996742671009778
BUXL,Buxly Paints Limited,173.7,PKR,177.95,PKR,168.6,PKR,169.05,PKR,2520,-2.034075104311538
BWCL,Bestway Cement Limited,578,PKR,583,PKR,575,PKR,577.94,PKR,11947,0.41874446162668877
BWHL,Baluchistan Wheels Limited,189,PKR,201.52,PKR,185,PKR,201.39,PKR,1413464,9.929039301310043
CASH,CALCORP Limited,43,PKR,48.9,PKR,40.15,PKR,45.16,PKR,13196,1.5973003374578034
CCM,Crescent Cotton Mills Limited,60,PKR,60,PKR,53,PKR,55.43,PKR,5855,-3.6335187760778918
CENI,"Century Insurance Co., Ltd.",49.5,PKR,49.5,PKR,47.53,PKR,48.87,PKR,818,-0.6101281269066591
CEPB,Century Paper & Board Mills Limited,27.85,PKR,27.85,PKR,26.52,PKR,27.21,PKR,642039,-1.1264534883720885
CFL,Crescent Fibres Limited,64.21,PKR,64.21,PKR,64.21,PKR,64.21,PKR,1100,10.005139626520467
CHAS,Chashma Sugar Mills Limited,64.51,PKR,67.99,PKR,61.16,PKR,67.47,PKR,4998,1.0483750187209868
CHBL,Chenab Limited,24.4,PKR,24.99,PKR,22.26,PKR,23.88,PKR,220856,-2.2513303315595605
CHCC,Cherat Cement Co. Ltd.,372,PKR,390,PKR,370,PKR,372.21,PKR,821443,0.48866090712743043
CJPL,Crescent Jute Products Ltd.,11.02,PKR,11.5,PKR,10.51,PKR,11.43,PKR,120231,2.7877697841726663
CLOV,Clover Pakistan Limited,43.42,PKR,44.8,PKR,43.16,PKR,43.97,PKR,501256,1.266697374481799
CLVL,Cordoba Logistics & Ventures Limited,19.08,PKR,19.08,PKR,18.27,PKR,18.98,PKR,4999,-1.5049299429164462
CNERGY,Cnergyico Pk Limited,7.22,PKR,7.3,PKR,7.17,PKR,7.22,PKR,15141680,-0.6877579092159536
COLG,Colgate-Palmolive (Pakistan) Limited,1302.01,PKR,1305,PKR,1295,PKR,1301.37,PKR,11345,0.02305794461481354
CPHL,Citi Pharma Ltd.,97,PKR,97.75,PKR,96,PKR,96.21,PKR,4380095,0.031191515907659517
CPPL,Cherat Packaging Limited,108.12,PKR,112,PKR,106.1,PKR,111.26,PKR,1282662,3.1235517656872784
CRTM,Crescent Textile Mills Ltd.,22.7,PKR,23.2,PKR,22.2,PKR,22.67,PKR,632959,0.30973451327433754
CSAP,Crescent Steel & Allied Products Ltd,102.75,PKR,105.6,PKR,102.5,PKR,104.68,PKR,537861,1.690305032057518
CSIL,Crescent Star Insurance Co. Ltd.,4.3,PKR,4.3,PKR,4.11,PKR,4.21,PKR,1256265,0
CTM,Colony Textile Mills Ltd.,6.75,PKR,6.75,PKR,6.4,PKR,6.46,PKR,167366,-0.7680491551459266
CWSM,Chakwal Spinning Mills Limited,34.5,PKR,34.88,PKR,34,PKR,34.09,PKR,394465,-0.4089979550102059
CYAN,CYAN Ltd,37.5,PKR,37.5,PKR,36.5,PKR,36.94,PKR,115067,-0.9651474530831085
DAAG,Data Agro Ltd.,108,PKR,108,PKR,105,PKR,105.52,PKR,4137,-1.2909260991581006
DADX,Dadex Eternit Limited,65.1,PKR,66.75,PKR,64.2,PKR,64.21,PKR,9526,-2.490508731966592
DBCI,Dadabhoy Cement Industries Limited,7.5,PKR,8.03,PKR,7.5,PKR,7.71,PKR,767237,2.254641909814323
DCL,Dewan Cement Ltd.,13.89,PKR,15.13,PKR,13.82,PKR,14.78,PKR,63920090,7.490909090909086
DEL,Dawood Equities Limited,16.9,PKR,17.3,PKR,16.89,PKR,16.9,PKR,20750,0.35629453681709455
DFML,Dewan Farooque Motors Limited,34.9,PKR,35.13,PKR,34.12,PKR,34.39,PKR,2035960,-1.2916188289322699
DFSM,Dewan Farooque Spinning Mills Limited,6.15,PKR,6.22,PKR,6,PKR,6.11,PKR,406461,-0.6504065040650412
DGKC,D.G. Khan Cement Co. Ltd.,241.99,PKR,248.43,PKR,235.05,PKR,237.67,PKR,10727141,0.1095151847015673
DHPL,DH Partners Limited,43.6,PKR,44.15,PKR,43.23,PKR,43.91,PKR,635796,1.5964831096714431
DIIL,Diamond Industries Limited,36.8,PKR,36.8,PKR,36.8,PKR,36.8,PKR,799,0
DINT,Din Textile Mills Limited,78.11,PKR,80,PKR,77.5,PKR,77.66,PKR,821,-1.5716096324461457
