Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 Investments Limited,16.89,PKR,17.08,PKR,15.21,PKR,15.76,PKR,1586958,1.4810045074050253
AABS,Al-Abbas Sugar Mills Ltd.,1052.5,PKR,1057.95,PKR,1049,PKR,1056.07,PKR,574,-1.5429509052600134
AATM,Ali Asghar Textile Mills Limited,52.19,PKR,53.8,PKR,50.31,PKR,50.79,PKR,5923,-2.6825062272465963
ABL,Allied Bank Limited,175.99,PKR,176,PKR,173.5,PKR,173.67,PKR,129489,-0.20686088605413644
ABOT,Abbott Laboratories Pakistan Limited,1200,PKR,1200,PKR,1168,PKR,1177.58,PKR,22207,-0.3596117884974997
ACPL,Attock Cement Pakistan Limited,291.5,PKR,291.5,PKR,283.73,PKR,284.27,PKR,217226,-1.2025162478712808
ADAMS,Adam Sugar Mills Limited,75.5,PKR,75.5,PKR,70.17,PKR,72.39,PKR,1529,-2.9104077253218907
ADMM,Artistic Denim Mills Limited,60.49,PKR,60.49,PKR,58.34,PKR,58.54,PKR,24949,-2.8381742738589226
AGHA,Agha Steel Industries Ltd.,9.29,PKR,9.3,PKR,9.05,PKR,9.1,PKR,2208191,-0.9793253536452652
AGIC,Askari General Insurance Co. Ltd.,45.07,PKR,45.97,PKR,45.07,PKR,45.15,PKR,3477,-0.7474170147285192
AGIL,Agriauto Industries Limited,143.8,PKR,144.94,PKR,140.31,PKR,142.02,PKR,29264,0.014084507042260726
AGL,Agritech Limited,73.5,PKR,74.48,PKR,72,PKR,72.9,PKR,1630541,-0.8433079434167443
AGP,AGP Limited,188,PKR,189.89,PKR,187.51,PKR,189.31,PKR,143618,1.267786455547237
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,9.17,PKR,9.2,PKR,8.95,PKR,9.07,PKR,541327,-1.0905125408942165
AGTL,Al-Ghazi Tractors Ltd.,396.99,PKR,396.99,PKR,391,PKR,391.62,PKR,13269,-0.596492118689246
AHCL,Arif Habib Corporation Limited,13.39,PKR,13.4,PKR,13.1,PKR,13.28,PKR,2967060,0
AHL,Arif Habib Limited,96.98,PKR,96.98,PKR,95.07,PKR,95.56,PKR,138352,-0.28174893039757487
