Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 Investments Limited,15.76,PKR,16.04,PKR,14.41,PKR,15.05,PKR,136856,-4.505076142131974
AABS,Al-Abbas Sugar Mills Ltd.,1063,PKR,1063,PKR,1055,PKR,1055,PKR,157,-0.10131904135141954
AATM,Ali Asghar Textile Mills Limited,52.98,PKR,52.98,PKR,48.05,PKR,50.08,PKR,8566,-1.3979129749950794
ABL,Allied Bank Limited,173.99,PKR,175.48,PKR,173,PKR,173.34,PKR,40298,-0.1900155467265412
ABOT,Abbott Laboratories Pakistan Limited,1168.25,PKR,1190,PKR,1150,PKR,1184,PKR,45133,0.5451858897060134
ACPL,Attock Cement Pakistan Limited,285,PKR,287,PKR,284,PKR,284.93,PKR,104119,0.2321736377387783
ADAMS,Adam Sugar Mills Limited,74.85,PKR,74.85,PKR,70.15,PKR,72.39,PKR,260,0
ADMM,Artistic Denim Mills Limited,58.5,PKR,60,PKR,57.35,PKR,58.79,PKR,39206,0.4270584215920738
AGHA,Agha Steel Industries Ltd.,9.02,PKR,9.14,PKR,9,PKR,9.06,PKR,1921684,-0.43956043956043017
AGIC,Askari General Insurance Co. Ltd.,45.04,PKR,45.8,PKR,45.02,PKR,45.34,PKR,11940,0.4208194905869432
AGIL,Agriauto Industries Limited,143.35,PKR,145,PKR,140.5,PKR,143.25,PKR,51418,0.8660752006759538
AGL,Agritech Limited,72.5,PKR,73.3,PKR,72,PKR,72.19,PKR,277692,-0.9739368998628366
AGP,AGP Limited,189.99,PKR,189.99,PKR,187.15,PKR,188.88,PKR,67004,-0.2271406687443911
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,9.24,PKR,9.24,PKR,8.8,PKR,9.02,PKR,657472,-0.5512679162072845
AGTL,Al-Ghazi Tractors Ltd.,390,PKR,394.88,PKR,390,PKR,393.75,PKR,9593,0.5438945916960307
AHCL,Arif Habib Corporation Limited,13.2,PKR,13.39,PKR,13.19,PKR,13.27,PKR,1329477,-0.0753012048192755
AHL,Arif Habib Limited,95.57,PKR,96.48,PKR,94.89,PKR,95.44,PKR,97917,-0.125575554625371
AHTM,Ahmed Hassan Textile Mills Ltd.,77,PKR,77,PKR,77,PKR,77.44,PKR,175,0
AICL,Adamjee Insurance Co. Limited,73.75,PKR,74.8,PKR,72.18,PKR,72.63,PKR,616070,-0.9680938096536787
AIRLINK,Air Link Communication Ltd.,157.01,PKR,158.7,PKR,154.8,PKR,155.63,PKR,1692447,-1.1935750111104029
AKBL,Askari Bank Limited,83.65,PKR,86.5,PKR,83,PKR,85.38,PKR,7829038,2.374100719424448
AKDHL,AKD Hospitality Limited,174.95,PKR,174.95,PKR,165,PKR,168.17,PKR,6945,-1.320267574228377
AKDSL,AKD Securities Limited,32.86,PKR,33.67,PKR,32.49,PKR,32.62,PKR,279054,-1.3607499244027905
AKGL,Al-Khair Gadoon Limited,55.05,PKR,56.5,PKR,55.05,PKR,55.05,PKR,443,0
ALAC,Askari Life Assurance Co. Ltd.,12,PKR,12.39,PKR,11.7,PKR,11.81,PKR,850859,-1.8287614297589267
ALIFE,Adamjee Life Assurance Company Limited,34,PKR,34,PKR,34,PKR,34,PKR,1770,-1.3062409288824466
ALNRS,Al-Noor Sugar Mills Limited,105,PKR,105.05,PKR,92.21,PKR,104.97,PKR,9263,4.969999999999999
ALTN,Altern Energy Limited,12.53,PKR,12.82,PKR,12.3,PKR,12.56,PKR,914850,0.8025682182985525
AMBL,Apna Microfinance Bank Limited,11.6,PKR,11.6,PKR,11,PKR,11,PKR,96,0
AMTEX,Amtex Limited,4.14,PKR,4.14,PKR,3.95,PKR,4.01,PKR,998932,-1.2315270935960547
ANL,Azgard Nine Limited,12.09,PKR,12.3,PKR,12.04,PKR,12.16,PKR,526653,0.16474464579900802
ANSM,Ansari Sugar Mills Limited,19.02,PKR,19.76,PKR,19,PKR,19.13,PKR,41285,-3.3838383838383925
ANTM,AN Textile Mills Limited,29,PKR,29,PKR,25.34,PKR,27.49,PKR,258,0
APL,Attock Petroleum Limited,524,PKR,528.75,PKR,520.26,PKR,524.63,PKR,31069,0.18523469426727787
ARCTM,Arctic Textile Mills Limited,36.5,PKR,38.9,PKR,36.5,PKR,37.59,PKR,3655,-2.89330922242314
ARPAK,Arpak International Investments Ltd.,58.01,PKR,58.01,PKR,58,PKR,58,PKR,550,-0.03447087211306985
ARPL,Archroma Pakistan Limited,478,PKR,480,PKR,465.01,PKR,478.72,PKR,5017,-0.1605872906629923
ARUJ,Aruj Industries Ltd.,10.16,PKR,10.79,PKR,10.02,PKR,10.2,PKR,74415,-4.225352112676066
ASC,Al Shaheer Corp. Ltd.,20,PKR,20,PKR,19.41,PKR,19.62,PKR,975760,-1.6048144433299913
ASHT,Ashfaq Textile Mills Limited,24.45,PKR,24.45,PKR,22.53,PKR,23.34,PKR,1029,0.8207343412527053
ASIC,Asia Insurance Co. Ltd. (Pakistan),18.7,PKR,18.7,PKR,15.32,PKR,17,PKR,300,0
ASL,Aisha Steel Mills Ltd.,13.65,PKR,13.85,PKR,13.25,PKR,13.54,PKR,13157609,-3.835227272727279
ASTL,Amreli Steels Ltd.,23.25,PKR,23.34,PKR,22.92,PKR,23.11,PKR,182142,-0.516573396470086
ASTM,Asim Textile Mills Ltd.,32.03,PKR,32.76,PKR,31.3,PKR,32.31,PKR,2094,-2.061230675962412
ATBA,Atlas Battery Limited,252,PKR,276.06,PKR,252,PKR,276.06,PKR,176004,10.001593879502707
ATIL,Atlas Insurance Limited,78.5,PKR,79.99,PKR,78.5,PKR,79,PKR,7433,1.230138390568931
ATLH,Atlas Honda Limited,1230,PKR,1237,PKR,1201,PKR,1221.18,PKR,12190,-0.7162659859023199
ATRL,Attock Refinery Ltd,661.1,PKR,665,PKR,655.11,PKR,662.83,PKR,656768,0.617827433359653
AVN,Avanceon Ltd.,48.2,PKR,49.14,PKR,47.89,PKR,48.71,PKR,2619720,1.4580295771714287
BAFL,Bank Alfalah Limited,105,PKR,106.88,PKR,103.92,PKR,104.94,PKR,1343706,-0.5873436907919709
BAFS,Baba Farid Sugar Mills Limited,222.2,PKR,244.85,PKR,222.2,PKR,229,PKR,1143,-3.416280050611554
BAHL,Bank Al Habib Ltd.,190.56,PKR,193.98,PKR,190,PKR,193.49,PKR,2064429,1.5375734676742268
BAPL,Bawany Air Products Limited.,48.02,PKR,48.49,PKR,47.05,PKR,47.75,PKR,21343,-1.1387163561076548
