Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 Investments Limited,14.99,PKR,14.99,PKR,13.8,PKR,14.11,PKR,717521,-6.245847176079742
AABS,Al-Abbas Sugar Mills Ltd.,1054.9,PKR,1055,PKR,1025,PKR,1049.33,PKR,546,-0.5374407582938457
AATM,Ali Asghar Textile Mills Limited,49.75,PKR,51.97,PKR,49.75,PKR,50.09,PKR,9717,0.01996805111822108
ABL,Allied Bank Limited,173.34,PKR,175.32,PKR,172,PKR,172.35,PKR,65307,-0.5711318795430997
ABOT,Abbott Laboratories Pakistan Limited,1179,PKR,1195,PKR,1175,PKR,1179.99,PKR,29090,-0.3386824324324317
ACPL,Attock Cement Pakistan Limited,286.99,PKR,286.99,PKR,283,PKR,284,PKR,222573,-0.32639595690169754
ADAMS,Adam Sugar Mills Limited,70.05,PKR,73.95,PKR,70.05,PKR,73.9,PKR,492,2.0859234700925615
ADMM,Artistic Denim Mills Limited,59.99,PKR,59.99,PKR,58.5,PKR,58.55,PKR,13810,-0.4082326926348052
AGHA,Agha Steel Industries Ltd.,9.14,PKR,9.92,PKR,9.04,PKR,9.77,PKR,113014099,7.836644591611469
AGIC,Askari General Insurance Co. Ltd.,45.27,PKR,46.15,PKR,45.05,PKR,45.15,PKR,8964,-0.4190560211733675
AGIL,Agriauto Industries Limited,143,PKR,144.7,PKR,141,PKR,142.74,PKR,63730,-0.3560209424083706
AGL,Agritech Limited,72.99,PKR,73,PKR,71.36,PKR,71.73,PKR,427467,-0.6372073694417423
AGP,AGP Limited,188.88,PKR,192,PKR,188,PKR,190.01,PKR,305403,0.5982634476916537
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,9.09,PKR,9.2,PKR,8.95,PKR,8.98,PKR,491001,-0.4434589800443364
AGTL,Al-Ghazi Tractors Ltd.,394.99,PKR,395.25,PKR,390,PKR,393.2,PKR,20833,-0.13968253968254257
AHCL,Arif Habib Corporation Limited,13.35,PKR,14.05,PKR,13.25,PKR,13.63,PKR,12431911,2.712886209495111
AHL,Arif Habib Limited,95.25,PKR,96.4,PKR,95,PKR,95.77,PKR,150368,0.34576697401508627
AHTM,Ahmed Hassan Textile Mills Ltd.,74,PKR,74.8,PKR,74,PKR,77.44,PKR,22,0
AICL,Adamjee Insurance Co. Limited,73,PKR,73.45,PKR,69.52,PKR,70.67,PKR,848178,-2.698609390059196
AIRLINK,Air Link Communication Ltd.,155.75,PKR,158,PKR,155,PKR,155.64,PKR,1004094,0.006425496369588707
AKBL,Askari Bank Limited,86.47,PKR,86.5,PKR,84,PKR,84.1,PKR,2040884,-1.499180135863201
AKDHL,AKD Hospitality Limited,165.2,PKR,169.99,PKR,165.2,PKR,169.99,PKR,655,1.0822382113337823
AKDSL,AKD Securities Limited,32.9,PKR,33.1,PKR,32.3,PKR,32.35,PKR,217957,-0.8277130594727041
AKGL,Al-Khair Gadoon Limited,49.6,PKR,60.56,PKR,49.6,PKR,59.94,PKR,1355,8.882833787465943
ALAC,Askari Life Assurance Co. Ltd.,12.1,PKR,12.3,PKR,11.7,PKR,12.07,PKR,1427565,2.201524132091446
ALIFE,Adamjee Life Assurance Company Limited,33.99,PKR,34,PKR,33.99,PKR,34,PKR,23000,0
ALNRS,Al-Noor Sugar Mills Limited,104.97,PKR,108.99,PKR,97,PKR,99.79,PKR,2401,-4.934743259979035
ALTN,Altern Energy Limited,12.57,PKR,12.78,PKR,12.45,PKR,12.54,PKR,919445,-0.15923566878981965
AMBL,Apna Microfinance Bank Limited,11,PKR,11,PKR,11,PKR,11,PKR,2003,0
AMTEX,Amtex Limited,4.1,PKR,4.35,PKR,4.06,PKR,4.11,PKR,2990284,2.493765586034926
ANL,Azgard Nine Limited,12.22,PKR,12.4,PKR,12.06,PKR,12.25,PKR,1285351,0.7401315789473673
ANSM,Ansari Sugar Mills Limited,19.8,PKR,19.8,PKR,18.5,PKR,18.55,PKR,98830,-3.0318870883429083
ANTM,AN Textile Mills Limited,27,PKR,28.99,PKR,27,PKR,27.87,PKR,1003,1.3823208439432615
APL,Attock Petroleum Limited,527.89,PKR,527.89,PKR,520.32,PKR,521.7,PKR,14983,-0.5584888397537217
ARCTM,Arctic Textile Mills Limited,37.49,PKR,38.39,PKR,37,PKR,38,PKR,7724,1.0907156158552715
ARPAK,Arpak International Investments Ltd.,58,PKR,60.99,PKR,58,PKR,58,PKR,1300,0
ARPL,Archroma Pakistan Limited,470.05,PKR,477.99,PKR,470.04,PKR,472.96,PKR,3949,-1.2032085561497425
ARUJ,Aruj Industries Ltd.,10.02,PKR,10.55,PKR,10.02,PKR,10.35,PKR,103936,1.4705882352941213
ASC,Al Shaheer Corp. Ltd.,19.35,PKR,19.99,PKR,19.25,PKR,19.59,PKR,892332,-0.1529051987767642
