Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 Investments Limited,14.4,PKR,14.4,PKR,12.58,PKR,12.84,PKR,305677,-8.154506437768244
AABS,Al-Abbas Sugar Mills Ltd.,1045.02,PKR,1055,PKR,1045.02,PKR,1049.97,PKR,637,0.48809899796148204
AATM,Ali Asghar Textile Mills Limited,53.99,PKR,53.99,PKR,52.01,PKR,52.45,PKR,2948,-1.6685414323209606
ABL,Allied Bank Limited,172,PKR,172,PKR,170.5,PKR,171,PKR,64234,-0.34384288128679025
ABOT,Abbott Laboratories Pakistan Limited,1181.99,PKR,1181.99,PKR,1158.1,PKR,1168.2,PKR,5536,0.00684861144404296
ACPL,Attock Cement Pakistan Limited,289.5,PKR,289.5,PKR,282,PKR,282.58,PKR,532527,-2.2113022113022263
ADAMS,Adam Sugar Mills Limited,74.4,PKR,74.59,PKR,71,PKR,71,PKR,1649,-1.3888888888888888
ADMM,Artistic Denim Mills Limited,59.02,PKR,59.89,PKR,58.31,PKR,58.68,PKR,18214,-0.9285834880972432
AGHA,Agha Steel Industries Ltd.,9.8,PKR,9.97,PKR,9.63,PKR,9.7,PKR,5118070,-1.121304791029574
AGIC,Askari General Insurance Co. Ltd.,46.24,PKR,46.24,PKR,45.5,PKR,45.64,PKR,20949,-0.804173005868284
AGIL,Agriauto Industries Limited,144.67,PKR,144.67,PKR,141.04,PKR,142.49,PKR,4837,0.12648443538753906
AGL,Agritech Limited,71.99,PKR,76.99,PKR,71.53,PKR,75.65,PKR,2922670,5.848607807471676
AGP,AGP Limited,187.49,PKR,189.5,PKR,186,PKR,188.83,PKR,104703,0.8545639053570596
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,9.24,PKR,9.24,PKR,9.01,PKR,9.12,PKR,665690,-0.21881838074399723
AGTL,Al-Ghazi Tractors Ltd.,397.99,PKR,408,PKR,395.01,PKR,405.19,PKR,26782,1.8577174459527366
AHCL,Arif Habib Corporation Limited,13.65,PKR,13.74,PKR,13.48,PKR,13.54,PKR,2721648,-0.5143277002204283
AHL,Arif Habib Limited,96.5,PKR,96.65,PKR,96,PKR,96.46,PKR,59189,0.34328513471340716
AHTM,Ahmed Hassan Textile Mills Ltd.,75.01,PKR,78.99,PKR,70.11,PKR,77.51,PKR,224,0
