Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 Investments Limited,13.25,PKR,13.34,PKR,12.84,PKR,13.02,PKR,145409,1.4018691588785024
AABS,Al-Abbas Sugar Mills Ltd.,1011.11,PKR,1050,PKR,1011.11,PKR,1049.99,PKR,387,0.0019048163280838317
AATM,Ali Asghar Textile Mills Limited,54.5,PKR,54.5,PKR,52.01,PKR,52.54,PKR,2455,0.1715919923736822
ABL,Allied Bank Limited,171.5,PKR,171.5,PKR,170.05,PKR,170.89,PKR,41051,-0.06432748538012495
ABOT,Abbott Laboratories Pakistan Limited,1170,PKR,1171,PKR,1160,PKR,1162.52,PKR,4651,-0.48621811333676285
ACPL,Attock Cement Pakistan Limited,284.98,PKR,285.6,PKR,281.8,PKR,282.07,PKR,159784,-0.18047986410927558
ADAMS,Adam Sugar Mills Limited,77.9,PKR,77.9,PKR,71.41,PKR,73.88,PKR,8735,4.056338028169008
ADMM,Artistic Denim Mills Limited,59.5,PKR,59.7,PKR,58.52,PKR,59.02,PKR,16081,0.5794137695978245
AGHA,Agha Steel Industries Ltd.,9.8,PKR,10.15,PKR,9.67,PKR,10.06,PKR,18493841,3.7113402061855796
AGIC,Askari General Insurance Co. Ltd.,45.52,PKR,46.25,PKR,45.52,PKR,45.53,PKR,65803,-0.2410166520595956
AGIL,Agriauto Industries Limited,144.7,PKR,144.7,PKR,140,PKR,142.49,PKR,13247,0
AGL,Agritech Limited,76,PKR,76,PKR,72.9,PKR,73.31,PKR,1319529,-3.093192333113025
AGP,AGP Limited,189.49,PKR,192.5,PKR,187.12,PKR,191.67,PKR,214090,1.5039983053540087
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,9.05,PKR,9.4,PKR,8.95,PKR,8.99,PKR,1190017,-1.4254385964912173
AGTL,Al-Ghazi Tractors Ltd.,406,PKR,406,PKR,400.11,PKR,400.62,PKR,15669,-1.1278659394358186
AHCL,Arif Habib Corporation Limited,13.55,PKR,13.65,PKR,13.2,PKR,13.47,PKR,4277539,-0.516986706056119
AHL,Arif Habib Limited,99.87,PKR,106.11,PKR,97.5,PKR,106.11,PKR,528557,10.004146796599633
AHTM,Ahmed Hassan Textile Mills Ltd.,74,PKR,79.99,PKR,74,PKR,77.51,PKR,134,0
AICL,Adamjee Insurance Co. Limited,71,PKR,72.1,PKR,70.7,PKR,71.37,PKR,671481,0.9048494273999724
AIRLINK,Air Link Communication Ltd.,164.9,PKR,165,PKR,160.01,PKR,161.32,PKR,1969515,-1.4899853444064473
AKBL,Askari Bank Limited,82.61,PKR,83.24,PKR,79.97,PKR,80.94,PKR,1538103,-1.9384540828689223
AKDHL,AKD Hospitality Limited,171.49,PKR,174,PKR,170,PKR,171.52,PKR,32311,0.5098154116612976
AKDSL,AKD Securities Limited,32.85,PKR,33.11,PKR,32.2,PKR,32.98,PKR,64500,0.6101281269066373
AKGL,Al-Khair Gadoon Limited,56,PKR,57,PKR,56,PKR,55.5,PKR,327,0
ALAC,Askari Life Assurance Co. Ltd.,15.27,PKR,16.54,PKR,14.39,PKR,16.54,PKR,9332170,9.97340425531915
ALIFE,Adamjee Life Assurance Company Limited,34.4,PKR,34.4,PKR,34.39,PKR,34.39,PKR,2376,0.5555555555555489
ALNRS,Al-Noor Sugar Mills Limited,95.68,PKR,98,PKR,95.68,PKR,96.9,PKR,889,1.2750836120401325
ALTN,Altern Energy Limited,12.46,PKR,12.74,PKR,12.46,PKR,12.51,PKR,734025,0.0799999999999983
AMBL,Apna Microfinance Bank Limited,10.22,PKR,11.8,PKR,9.9,PKR,10.27,PKR,1392,-6.63636363636364
AMTEX,Amtex Limited,4.24,PKR,4.44,PKR,4.18,PKR,4.37,PKR,5570993,4.796163069544368
ANL,Azgard Nine Limited,12.26,PKR,12.43,PKR,12.01,PKR,12.12,PKR,1552329,-1.0612244897959247
ANSM,Ansari Sugar Mills Limited,18.49,PKR,19.47,PKR,17.5,PKR,18.24,PKR,752317,3.050847457627114
ANTM,AN Textile Mills Limited,32.15,PKR,34.8,PKR,30.55,PKR,31.35,PKR,58560,-2.336448598130841
APL,Attock Petroleum Limited,524.49,PKR,525,PKR,519.7,PKR,520.05,PKR,35778,-0.7405569446300071
ARCTM,Arctic Textile Mills Limited,38.25,PKR,38.5,PKR,38,PKR,38.1,PKR,700,-0.8844953173777219
ARPAK,Arpak International Investments Ltd.,62.5,PKR,68.95,PKR,62.5,PKR,66.76,PKR,201,0
ARPL,Archroma Pakistan Limited,472,PKR,472,PKR,465,PKR,465.07,PKR,9115,-0.9182325621032005
ARUJ,Aruj Industries Ltd.,11,PKR,11.19,PKR,10.08,PKR,10.53,PKR,87405,-2.5000000000000124
ASC,Al Shaheer Corp. Ltd.,18.9,PKR,19.4,PKR,18.42,PKR,19.1,PKR,502225,1.5957446808510676
ASHT,Ashfaq Textile Mills Limited,31.94,PKR,31.94,PKR,26.6,PKR,28.71,PKR,91011,-1.1363636363636305
ASIC,Asia Insurance Co. Ltd. (Pakistan),15.35,PKR,15.35,PKR,15.35,PKR,17,PKR,100,0
ASL,Aisha Steel Mills Ltd.,14.5,PKR,15.1,PKR,14.3,PKR,14.78,PKR,8233760,2.3545706371191124
ASTL,Amreli Steels Ltd.,27.98,PKR,27.98,PKR,26.85,PKR,26.96,PKR,646461,-2.177068214804056
ASTM,Asim Textile Mills Ltd.,31.48,PKR,32.33,PKR,31.48,PKR,31.88,PKR,4684,1.1100539169045287
ATBA,Atlas Battery Limited,267.83,PKR,267.83,PKR,263.5,PKR,264.22,PKR,19622,-0.36953242835594324
ATIL,Atlas Insurance Limited,80.21,PKR,80.5,PKR,79.05,PKR,80.01,PKR,7106,-0.2493454681461023
ATLH,Atlas Honda Limited,1328.21,PKR,1343,PKR,1328.2,PKR,1340.47,PKR,9254,0.931405767637988
ATRL,Attock Refinery Ltd,664.44,PKR,667.8,PKR,660,PKR,660.44,PKR,712958,0.1486064355684982
AVN,Avanceon Ltd.,52.83,PKR,53.39,PKR,52.08,PKR,52.64,PKR,2926500,-0.22744503411675027
BAFL,Bank Alfalah Limited,101.63,PKR,103.48,PKR,101.01,PKR,101.69,PKR,292844,0.05903768572272191
BAFS,Baba Farid Sugar Mills Limited,243,PKR,248.5,PKR,225,PKR,232.87,PKR,1015,-1.7840573597638083
BAHL,Bank Al Habib Ltd.,188.7,PKR,190.89,PKR,188.55,PKR,188.66,PKR,43656,-0.015899093751656757
BAPL,Bawany Air Products Limited.,59.9,PKR,62.11,PKR,50.81,PKR,50.86,PKR,1708959,-9.918526390364862
BATA,Bata Pakistan Limited,1530,PKR,1530,PKR,1519,PKR,1520.29,PKR,1155,-0.2172486216854782
BBFL,Big Bird Foods Limited,52.48,PKR,57.15,PKR,51.71,PKR,56.09,PKR,15819288,7.349282296650725
BCL,Bolan Castings Ltd.,108,PKR,108,PKR,102.01,PKR,103.01,PKR,193220,-3.899617501632608
BECO,BECO Steel Limited,24.5,PKR,24.89,PKR,23.63,PKR,23.9,PKR,5848835,0.8013496415014665
BELA,Bela Automotives Ltd.,127,PKR,130,PKR,120,PKR,123.82,PKR,543,-2.4347963123473355
BERG,Berger Paints Pakistan Limited.,117.51,PKR,118.99,PKR,116.01,PKR,116.55,PKR,100732,-0.46968403074295234
BFAGRO,Barkat Frisian Agro Limited,42.76,PKR,46.97,PKR,42.5,PKR,46.97,PKR,7116089,9.99999999999999
BFBIO,BF Biosciences Ltd,167.87,PKR,168.5,PKR,166.82,PKR,167.16,PKR,315117,-0.422946327515344
BFMOD,BF Modaraba,14.45,PKR,15.73,PKR,13.8,PKR,15.73,PKR,326616,9.999999999999998
BGL,Balochistan Glass Ltd.,15.3,PKR,15.3,PKR,14.82,PKR,14.96,PKR,1059317,-0.5319148936170099
BHAT,Bhanero Textile Mills Limited.,943.2,PKR,970.5,PKR,931.01,PKR,931.43,PKR,305,-2.9750309899061507
