Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 Investments Limited,12.96,PKR,14.29,PKR,12.96,PKR,14.1,PKR,305244,8.294930875576037
AABS,Al-Abbas Sugar Mills Ltd.,1050,PKR,1051,PKR,1035,PKR,1041.46,PKR,963,-0.8123886894160871
AATM,Ali Asghar Textile Mills Limited,52,PKR,54.85,PKR,52,PKR,52.76,PKR,4320,0.4187285877426701
ABL,Allied Bank Limited,171,PKR,172.5,PKR,170.55,PKR,171.68,PKR,76218,0.4622856808473407
ABOT,Abbott Laboratories Pakistan Limited,1169.9,PKR,1169.9,PKR,1150,PKR,1162.39,PKR,7058,-0.01118260331004041
ACPL,Attock Cement Pakistan Limited,284.99,PKR,286.9,PKR,280.99,PKR,284.77,PKR,545213,0.9572092033892257
ADAMS,Adam Sugar Mills Limited,78.94,PKR,78.94,PKR,72.21,PKR,74.49,PKR,1443,0.8256632376827281
ADMM,Artistic Denim Mills Limited,58.6,PKR,59.8,PKR,57.15,PKR,58.93,PKR,24425,-0.15249068112504813
AGHA,Agha Steel Industries Ltd.,10.12,PKR,10.81,PKR,10.12,PKR,10.6,PKR,39661132,5.367793240556652
AGIC,Askari General Insurance Co. Ltd.,46.45,PKR,46.45,PKR,45.55,PKR,46,PKR,7391,1.032286404568414
AGIL,Agriauto Industries Limited,144.25,PKR,144.25,PKR,141.03,PKR,144,PKR,21319,1.0597234893676686
AGL,Agritech Limited,73.3,PKR,75.25,PKR,72.4,PKR,72.64,PKR,1617276,-0.9139271586413882
AGP,AGP Limited,194,PKR,196,PKR,191,PKR,194.48,PKR,444724,1.4660614598007005
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,9.19,PKR,9.8,PKR,9.1,PKR,9.65,PKR,2608781,7.341490545050057
AGTL,Al-Ghazi Tractors Ltd.,400.2,PKR,402.1,PKR,396,PKR,399.72,PKR,5136,-0.22465178972591915
AHCL,Arif Habib Corporation Limited,13.58,PKR,14.82,PKR,13.49,PKR,14.48,PKR,21239841,7.498144023756494
AHL,Arif Habib Limited,108.72,PKR,115.5,PKR,107.72,PKR,110.42,PKR,665354,4.0618226368862524
AHTM,Ahmed Hassan Textile Mills Ltd.,77.5,PKR,77.5,PKR,74.01,PKR,77.51,PKR,17,0
AICL,Adamjee Insurance Co. Limited,71.51,PKR,72.65,PKR,71.04,PKR,72.31,PKR,583291,1.3170800056045924
AIRLINK,Air Link Communication Ltd.,163,PKR,165,PKR,160,PKR,160.79,PKR,1564969,-0.3285395487230357
AKBL,Askari Bank Limited,81.74,PKR,84.1,PKR,81.25,PKR,83.74,PKR,3498549,3.4593526068692824
AKDHL,AKD Hospitality Limited,169.01,PKR,172,PKR,169.01,PKR,172,PKR,1500,0.2798507462686507
AKDSL,AKD Securities Limited,33.16,PKR,33.28,PKR,32.11,PKR,33.17,PKR,663395,0.5761067313523495
AKGL,Al-Khair Gadoon Limited,56,PKR,57,PKR,56,PKR,55.5,PKR,327,0
ALAC,Askari Life Assurance Co. Ltd.,16.75,PKR,17.6,PKR,16.5,PKR,16.72,PKR,4862986,1.0882708585247867
ALIFE,Adamjee Life Assurance Company Limited,34.35,PKR,37.75,PKR,34.12,PKR,36.81,PKR,43253,7.036929339924401
ALNRS,Al-Noor Sugar Mills Limited,93,PKR,102.35,PKR,93,PKR,98.93,PKR,5071,2.0949432404540773
ALTN,Altern Energy Limited,12.54,PKR,12.75,PKR,12.5,PKR,12.61,PKR,1325250,0.7993605115907246
AMBL,Apna Microfinance Bank Limited,11.3,PKR,11.3,PKR,11,PKR,11,PKR,7803,7.1080817916261
