Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 Investments Limited,14.12,PKR,15.51,PKR,14.11,PKR,14.76,PKR,496027,4.680851063829788
AABS,Al-Abbas Sugar Mills Ltd.,1049.97,PKR,1055,PKR,1035,PKR,1050.23,PKR,301,0.8420870700747011
AATM,Ali Asghar Textile Mills Limited,53.98,PKR,53.98,PKR,52,PKR,52.26,PKR,7900,-0.9476876421531463
ABL,Allied Bank Limited,172.5,PKR,172.5,PKR,169.8,PKR,170.06,PKR,161660,-0.9436160298229289
ABOT,Abbott Laboratories Pakistan Limited,1162.39,PKR,1168,PKR,1151.11,PKR,1164.69,PKR,7630,0.19786818537667686
ACPL,Attock Cement Pakistan Limited,279.9,PKR,280.95,PKR,275.5,PKR,279.49,PKR,224256,-1.8541278926853155
ADAMS,Adam Sugar Mills Limited,72.1,PKR,78.99,PKR,71,PKR,75.5,PKR,408,1.3558866962008391
ADMM,Artistic Denim Mills Limited,59.48,PKR,60.88,PKR,57.9,PKR,58.27,PKR,34877,-1.1199728491430452
AGHA,Agha Steel Industries Ltd.,10.7,PKR,10.85,PKR,10.2,PKR,10.27,PKR,12672462,-3.113207547169812
AGIC,Askari General Insurance Co. Ltd.,46.49,PKR,46.49,PKR,44.25,PKR,45.62,PKR,24913,-0.8260869565217446
AGIL,Agriauto Industries Limited,144,PKR,147,PKR,140,PKR,145.39,PKR,30229,0.9652777777777684
AGL,Agritech Limited,73,PKR,73.4,PKR,71.2,PKR,71.43,PKR,879433,-1.6657488986784055
AGP,AGP Limited,195,PKR,195.2,PKR,191.5,PKR,193.1,PKR,98165,-0.7095845331139425
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,10.4,PKR,10.4,PKR,9.71,PKR,9.89,PKR,2144956,2.4870466321243545
AGTL,Al-Ghazi Tractors Ltd.,400,PKR,403.15,PKR,396.11,PKR,399.58,PKR,10330,-0.03502451716202422
AHCL,Arif Habib Corporation Limited,14.65,PKR,14.89,PKR,14.1,PKR,14.65,PKR,17067018,1.17403314917127
AHL,Arif Habib Limited,111,PKR,112.5,PKR,108,PKR,109.1,PKR,193371,-1.1954356094910408
AHTM,Ahmed Hassan Textile Mills Ltd.,84.99,PKR,84.99,PKR,73.01,PKR,77.51,PKR,111,0
AICL,Adamjee Insurance Co. Limited,73,PKR,73.5,PKR,71.13,PKR,72.25,PKR,240865,-0.08297607523164469
AIRLINK,Air Link Communication Ltd.,160.79,PKR,162.2,PKR,157.81,PKR,158.22,PKR,1579201,-1.5983581068474366
AKBL,Askari Bank Limited,84.01,PKR,84.5,PKR,81,PKR,82.67,PKR,858701,-1.2777645091951197
AKDHL,AKD Hospitality Limited,169.01,PKR,172,PKR,169.01,PKR,172,PKR,1500,0.2798507462686507
AKDSL,AKD Securities Limited,33.01,PKR,33.19,PKR,32.5,PKR,32.72,PKR,179578,-1.3566475731082388
AKGL,Al-Khair Gadoon Limited,56,PKR,56,PKR,55,PKR,55.05,PKR,1568,-0.8108108108108159
ALAC,Askari Life Assurance Co. Ltd.,16.72,PKR,16.72,PKR,15.05,PKR,15.3,PKR,3298516,-8.492822966507168
ALIFE,Adamjee Life Assurance Company Limited,38,PKR,38,PKR,34.68,PKR,35.43,PKR,8033,-3.7489812550937316
ALNRS,Al-Noor Sugar Mills Limited,94.1,PKR,103.5,PKR,94.1,PKR,97,PKR,1971,-1.95087435560498
ALTN,Altern Energy Limited,12.71,PKR,13.87,PKR,12.5,PKR,13.87,PKR,9113108,9.992069785884219
AMBL,Apna Microfinance Bank Limited,11.88,PKR,11.88,PKR,11.79,PKR,11,PKR,352,0
AMTEX,Amtex Limited,4.63,PKR,4.9,PKR,4.44,PKR,4.53,PKR,8140927,-2.5806451612903247
ANL,Azgard Nine Limited,12.76,PKR,12.9,PKR,12.5,PKR,12.62,PKR,2559736,-0.6299212598425202
ANSM,Ansari Sugar Mills Limited,18.18,PKR,18.45,PKR,17.65,PKR,17.79,PKR,43468,-0.8913649025069647
ANTM,AN Textile Mills Limited,30.1,PKR,30.98,PKR,27.61,PKR,29.9,PKR,11521,-0.6644518272425343
APL,Attock Petroleum Limited,522.84,PKR,525,PKR,520.11,PKR,522.41,PKR,17988,-0.0803320390949396
ARCTM,Arctic Textile Mills Limited,35.01,PKR,39.01,PKR,35.01,PKR,36.7,PKR,1270,-4.897641876133715
ARPAK,Arpak International Investments Ltd.,66.77,PKR,67.75,PKR,60.6,PKR,60.8,PKR,10532,-11.820159535895584
ARPL,Archroma Pakistan Limited,473.52,PKR,477,PKR,468,PKR,470,PKR,3214,-0.743368812299371
ARUJ,Aruj Industries Ltd.,11.37,PKR,11.5,PKR,10.98,PKR,11.11,PKR,61101,-0.17969451931717292
ASC,Al Shaheer Corp. Ltd.,19.17,PKR,19.38,PKR,18.5,PKR,18.73,PKR,505730,-2.295252999478358
ASHT,Ashfaq Textile Mills Limited,28,PKR,29.85,PKR,25.3,PKR,26,PKR,32707,-7.142857142857142
ASIC,Asia Insurance Co. Ltd. (Pakistan),16.83,PKR,16.83,PKR,16.83,PKR,15.44,PKR,5,0.9150326797385542
ASL,Aisha Steel Mills Ltd.,15.34,PKR,15.58,PKR,14.87,PKR,14.99,PKR,11040234,-0.46480743691899257
ASTL,Amreli Steels Ltd.,27.2,PKR,28.55,PKR,26.85,PKR,28.36,PKR,2506892,4.765422977465826
ASTM,Asim Textile Mills Ltd.,29.44,PKR,30.95,PKR,28.9,PKR,29.26,PKR,20398,0.8617718028266115
ATBA,Atlas Battery Limited,264.1,PKR,264.13,PKR,259.5,PKR,261.82,PKR,31307,-0.8445370195038887
ATIL,Atlas Insurance Limited,84.99,PKR,84.99,PKR,80,PKR,84,PKR,2352,2.6267562614538864
ATLH,Atlas Honda Limited,1359.35,PKR,1370,PKR,1349,PKR,1350,PKR,7730,-0.6666372345591767
ATRL,Attock Refinery Ltd,675,PKR,681,PKR,667,PKR,669.23,PKR,1984622,-0.6251484913281118
AVN,Avanceon Ltd.,52.8,PKR,53.19,PKR,51,PKR,52.08,PKR,3667816,-1.063829787234047
BAFL,Bank Alfalah Limited,102.59,PKR,104,PKR,102.1,PKR,103.06,PKR,1065506,0.4581343210839252
BAFS,Baba Farid Sugar Mills Limited,230,PKR,255,PKR,211.33,PKR,245.68,PKR,3707,4.629274732762661
BAHL,Bank Al Habib Ltd.,192,PKR,192,PKR,189,PKR,189.78,PKR,193603,-0.5450162456765497
BAPL,Bawany Air Products Limited.,48.35,PKR,49.9,PKR,48.1,PKR,48.58,PKR,131973,0.49648324369051483
BATA,Bata Pakistan Limited,1525.09,PKR,1539.95,PKR,1517.16,PKR,1520.15,PKR,616,-0.29187983733437084
BBFL,Big Bird Foods Limited,55.3,PKR,55.35,PKR,53.21,PKR,54.1,PKR,6303280,-1.4033169309276399
BCL,Bolan Castings Ltd.,104.79,PKR,106,PKR,101.11,PKR,102.42,PKR,100052,-0.5727599262207586
BECO,BECO Steel Limited,28.92,PKR,28.92,PKR,28.92,PKR,28.92,PKR,3661179,10.00380372765311
BELA,Bela Automotives Ltd.,130,PKR,130,PKR,120,PKR,120.3,PKR,4235,-5.2755905511811045
BERG,Berger Paints Pakistan Limited.,118,PKR,122,PKR,116,PKR,120,PKR,635033,2.6957637997432657
BFAGRO,Barkat Frisian Agro Limited,48.48,PKR,48.48,PKR,46,PKR,46.32,PKR,3059358,-3.560274828232356
BFBIO,BF Biosciences Ltd,168.5,PKR,168.94,PKR,165,PKR,166.87,PKR,465723,-0.8555641376032307
BFMOD,BF Modaraba,17.4,PKR,18.99,PKR,15.6,PKR,16.25,PKR,145479,-6.069364161849715
BGL,Balochistan Glass Ltd.,15,PKR,16.44,PKR,15,PKR,16.08,PKR,9020740,6.631299734747999
BHAT,Bhanero Textile Mills Limited.,945.1,PKR,982.8,PKR,932.2,PKR,964.49,PKR,188,0.5012087362454214
BIFO,Biafo Industries Limited,186.2,PKR,191.95,PKR,186.2,PKR,187.81,PKR,135862,0.5406852248393955
BILF,Bilal Fibres Limited,28.9,PKR,31.15,PKR,28,PKR,31.15,PKR,134978,9.992937853107337
BIPL,BankIslami Pakistan Limited,36.18,PKR,37.2,PKR,36.08,PKR,37.02,PKR,1934262,2.6053215077605456
BML,Bank Makramah Limited,7.2,PKR,8.14,PKR,7.14,PKR,7.72,PKR,89929046,8.12324929971989
BNL,Bunny's Ltd.,141,PKR,142,PKR,132,PKR,140.46,PKR,2125223,-2.512493059411441
BNWM,Bannu Woollen Mills Limited,76.05,PKR,77.88,PKR,76,PKR,76.03,PKR,29640,-0.8476786645800803
BOK,Bank of Khyber,31.58,PKR,32.04,PKR,31,PKR,31.99,PKR,324357,9.81805698592516
BOP,Bank of Punjab,26.26,PKR,26.27,PKR,24.85,PKR,26.26,PKR,167285267,9.966499162479073
BPL,Burshane LPG (Pakistan) Limited,34.26,PKR,34.99,PKR,34.01,PKR,34.02,PKR,7602,-2.7722206344669873
BRRG,B.R.R. Guardian limited,35,PKR,35.9,PKR,33.01,PKR,33.66,PKR,31287,2.0309184601394197
BTL,Blessed Textiles Limited,301.27,PKR,329.94,PKR,301.23,PKR,319.12,PKR,407678,-1.1828822691521623
BUXL,Buxly Paints Limited,174.65,PKR,179,PKR,170.15,PKR,171.28,PKR,2570,0.7647958583362816
BWCL,Bestway Cement Limited,571,PKR,575,PKR,566.01,PKR,568.71,PKR,15618,-0.05623605082331974
BWHL,Baluchistan Wheels Limited,191.9,PKR,191.9,PKR,189.97,PKR,190.88,PKR,67187,0.11538864995279496
CASH,CALCORP Limited,43.99,PKR,45.94,PKR,41.76,PKR,44.2,PKR,7746,5.842911877394648
CCM,Crescent Cotton Mills Limited,56.16,PKR,61.78,PKR,50.6,PKR,61.78,PKR,31869,10.007122507122517
CENI,"Century Insurance Co., Ltd.",48.5,PKR,49.5,PKR,48.5,PKR,49.14,PKR,860,2.2471910112359517
CEPB,Century Paper & Board Mills Limited,28.61,PKR,29.34,PKR,28.5,PKR,28.86,PKR,941382,0.5574912891986068
CFL,Crescent Fibres Limited,73.15,PKR,79,PKR,73.13,PKR,77.24,PKR,1059,5.360796617105432
CHAS,Chashma Sugar Mills Limited,66.05,PKR,66.05,PKR,64,PKR,66,PKR,15477,-0.075700227100677
CHBL,Chenab Limited,23.92,PKR,24.4,PKR,22.11,PKR,23.34,PKR,100873,-3.6731324803962053
CHCC,Cherat Cement Co. Ltd.,356.8,PKR,358.5,PKR,353,PKR,356.63,PKR,111241,0.1769662921348302
CJPL,Crescent Jute Products Ltd.,11.08,PKR,11.33,PKR,10.9,PKR,11.01,PKR,107670,-1.2556053811659242
CLOV,Clover Pakistan Limited,45.6,PKR,45.9,PKR,45.07,PKR,45.47,PKR,539074,0.8875083203905004
CLVL,Cordoba Logistics & Ventures Limited,18.52,PKR,19.89,PKR,18.3,PKR,19.05,PKR,15981,-0.6777893639207456
CNERGY,Cnergyico Pk Limited,8.69,PKR,8.84,PKR,7.81,PKR,8.12,PKR,170300468,-3.4482758620689764
COLG,Colgate-Palmolive (Pakistan) Limited,1285,PKR,1285,PKR,1270.01,PKR,1278.83,PKR,14358,0.010948705315586473
CPHL,Citi Pharma Ltd.,99.13,PKR,99.15,PKR,96.35,PKR,96.88,PKR,5068300,-2.12164073550213
CPPL,Cherat Packaging Limited,117.03,PKR,117.59,PKR,114,PKR,114.75,PKR,191326,-1.687799862919807
CRTM,Crescent Textile Mills Ltd.,22.3,PKR,24.1,PKR,22.3,PKR,23.01,PKR,3854749,3.601981089599283
CSAP,Crescent Steel & Allied Products Ltd,110,PKR,110.5,PKR,106,PKR,107.2,PKR,532425,-3.100424839555268
CSIL,Crescent Star Insurance Co. Ltd.,6.37,PKR,6.37,PKR,6.25,PKR,6.37,PKR,12178959,18.6219739292365
CTM,Colony Textile Mills Ltd.,7.6,PKR,7.7,PKR,7.01,PKR,7.3,PKR,1057795,-3.947368421052629
CWSM,Chakwal Spinning Mills Limited,35.02,PKR,35.9,PKR,34.01,PKR,34.33,PKR,565142,-1.9703026841804818
CYAN,CYAN Ltd,40.95,PKR,41.7,PKR,40.05,PKR,40.31,PKR,63158,-1.5628815628815642
DAAG,Data Agro Ltd.,106.18,PKR,108,PKR,103.04,PKR,106.29,PKR,682,0.10359766434356699
DADX,Dadex Eternit Limited,64.98,PKR,64.98,PKR,62.6,PKR,64.5,PKR,2002,1.03383458646616
DBCI,Dadabhoy Cement Industries Limited,8.14,PKR,8.29,PKR,7.6,PKR,7.64,PKR,632242,-6.0270602706027185
DCL,Dewan Cement Ltd.,15.6,PKR,15.76,PKR,14.81,PKR,15.15,PKR,16850682,-2.6974951830443157
DEL,Dawood Equities Limited,17.88,PKR,17.9,PKR,16,PKR,16.16,PKR,306918,-5.662580268534728
DFML,Dewan Farooque Motors Limited,36.51,PKR,36.88,PKR,35.5,PKR,35.57,PKR,3950250,-2.414266117969828
DFSM,Dewan Farooque Spinning Mills Limited,6.76,PKR,6.9,PKR,6.05,PKR,6.48,PKR,1249225,-3.5714285714285614
DGKC,D.G. Khan Cement Co. Ltd.,247,PKR,248,PKR,241.97,PKR,244.58,PKR,1667959,-0.6055187548258547
DHPL,DH Partners Limited,44.65,PKR,44.88,PKR,43.95,PKR,43.99,PKR,648423,-1.1682767917321861
DIIL,Diamond Industries Limited,56,PKR,57.01,PKR,46.65,PKR,56.85,PKR,2998,9.685510322207222
DINT,Din Textile Mills Limited,74.01,PKR,74.01,PKR,72.51,PKR,74.01,PKR,3,0
