Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 Investments Limited,15.83,PKR,16.12,PKR,14.16,PKR,14.98,PKR,243448,-4.767959313413859
AABS,Al-Abbas Sugar Mills Ltd.,1041.2,PKR,1053,PKR,1041.2,PKR,1052,PKR,51,0.192384616849843
AATM,Ali Asghar Textile Mills Limited,48.51,PKR,52.97,PKR,48.51,PKR,51,PKR,15072,-1.1819414842084857
ABL,Allied Bank Limited,170.99,PKR,171.68,PKR,165.01,PKR,167.75,PKR,199810,-0.7924773789106413
ABOT,Abbott Laboratories Pakistan Limited,1200,PKR,1245,PKR,1200,PKR,1226.93,PKR,30492,3.105960654470284
ACPL,Attock Cement Pakistan Limited,278,PKR,278.5,PKR,274,PKR,274.77,PKR,178469,-0.6436449105044403
ADAMS,Adam Sugar Mills Limited,72.4,PKR,73.45,PKR,72,PKR,72.5,PKR,2207,0.12429222483082919
ADMM,Artistic Denim Mills Limited,64.1,PKR,66.5,PKR,62.76,PKR,63.12,PKR,192275,-1.5288611544461732
AGHA,Agha Steel Industries Ltd.,10.16,PKR,10.41,PKR,10.1,PKR,10.2,PKR,7554439,0.49261083743841316
AGIC,Askari General Insurance Co. Ltd.,45.52,PKR,46.22,PKR,45.25,PKR,45.71,PKR,5690,0
AGIL,Agriauto Industries Limited,146,PKR,147,PKR,143.06,PKR,144.2,PKR,31443,-0.013867702121765519
AGL,Agritech Limited,71.5,PKR,72.46,PKR,71.15,PKR,71.77,PKR,528982,0.5322874352150098
AGP,AGP Limited,198,PKR,201,PKR,195,PKR,200,PKR,599751,1.801893515219379
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,9.91,PKR,10,PKR,9.7,PKR,9.81,PKR,495117,-0.20345879959307805
AGTL,Al-Ghazi Tractors Ltd.,399.06,PKR,400,PKR,390,PKR,398.87,PKR,19851,-0.04761188793665056
AHCL,Arif Habib Corporation Limited,14.9,PKR,15.2,PKR,14.3,PKR,14.82,PKR,40162668,0.6109979633401212
AHL,Arif Habib Limited,114,PKR,125.39,PKR,112,PKR,125.39,PKR,466988,10.000877269935964
AHTM,Ahmed Hassan Textile Mills Ltd.,73.02,PKR,82.49,PKR,73.02,PKR,77.51,PKR,305,0
AICL,Adamjee Insurance Co. Limited,71.94,PKR,71.94,PKR,70.7,PKR,71.03,PKR,276913,-0.3227617176536682
AIRLINK,Air Link Communication Ltd.,163,PKR,163,PKR,159.5,PKR,160.04,PKR,2005218,-0.6887992553521649
AKBL,Askari Bank Limited,81.2,PKR,83.4,PKR,80.9,PKR,81.43,PKR,996573,0.6924693953258344
AKDHL,AKD Hospitality Limited,174.49,PKR,174.49,PKR,170.03,PKR,174.01,PKR,131,0
AKDSL,AKD Securities Limited,33.25,PKR,34,PKR,32,PKR,32.8,PKR,1004815,-0.06093845216332457
AKGL,Al-Khair Gadoon Limited,56,PKR,56,PKR,55,PKR,55.05,PKR,1568,-0.8108108108108159
ALAC,Askari Life Assurance Co. Ltd.,18.51,PKR,18.51,PKR,17.51,PKR,18.51,PKR,9239857,9.982174688057063
