Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 Investments Limited,15.1,PKR,15.7,PKR,14.25,PKR,14.36,PKR,106365,-4.138851802403211
AABS,Al-Abbas Sugar Mills Ltd.,1041.2,PKR,1053,PKR,1041.2,PKR,1052,PKR,51,0.192384616849843
AATM,Ali Asghar Textile Mills Limited,53.98,PKR,53.98,PKR,51.21,PKR,51.63,PKR,10351,1.2352941176470638
ABL,Allied Bank Limited,167.8,PKR,169.94,PKR,167.5,PKR,168.33,PKR,108012,0.3457526080476975
ABOT,Abbott Laboratories Pakistan Limited,1245,PKR,1245,PKR,1202.1,PKR,1223.15,PKR,19664,-0.30808603587816524
ACPL,Attock Cement Pakistan Limited,277.9,PKR,278,PKR,273,PKR,273.79,PKR,402713,-0.35666193543689684
ADAMS,Adam Sugar Mills Limited,75,PKR,75,PKR,71,PKR,72.95,PKR,665,0.6206896551724177
ADMM,Artistic Denim Mills Limited,63.02,PKR,63.49,PKR,61,PKR,61.07,PKR,36131,-3.24778200253485
AGHA,Agha Steel Industries Ltd.,10.26,PKR,10.35,PKR,10.1,PKR,10.16,PKR,7576935,-0.3921568627450897
AGIC,Askari General Insurance Co. Ltd.,46,PKR,46,PKR,45.26,PKR,45.64,PKR,22737,-0.153139356814702
AGIL,Agriauto Industries Limited,143,PKR,147,PKR,141.04,PKR,143.76,PKR,17057,-0.30513176144243953
AGL,Agritech Limited,72.34,PKR,72.34,PKR,71.01,PKR,71.2,PKR,256979,-0.7942037062839531
AGP,AGP Limited,200,PKR,200,PKR,197,PKR,199.51,PKR,169230,-0.24500000000000455
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,9.72,PKR,9.84,PKR,9.3,PKR,9.43,PKR,1098124,-3.8735983690112206
AGTL,Al-Ghazi Tractors Ltd.,396,PKR,399.5,PKR,395.01,PKR,398.73,PKR,12881,-0.03509915511319135
AHCL,Arif Habib Corporation Limited,15.15,PKR,15.2,PKR,14.38,PKR,14.47,PKR,23895980,-2.361673414304991
AHL,Arif Habib Limited,130,PKR,133,PKR,116.23,PKR,124.98,PKR,482118,-0.3269798229523858
AHTM,Ahmed Hassan Textile Mills Ltd.,77.51,PKR,77.51,PKR,74,PKR,77.51,PKR,27,0
