Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 Investments Limited,14.21,PKR,14.6,PKR,12.92,PKR,14.32,PKR,117833,-0.27855153203342026
AABS,Al-Abbas Sugar Mills Ltd.,1040,PKR,1059,PKR,1040,PKR,1048.22,PKR,96,-0.3593155893536096
AATM,Ali Asghar Textile Mills Limited,51.75,PKR,52.1,PKR,51,PKR,51,PKR,17795,-1.220220801859389
ABL,Allied Bank Limited,169,PKR,169.74,PKR,167,PKR,168.37,PKR,33526,0.023762846789040597
ABOT,Abbott Laboratories Pakistan Limited,1211,PKR,1240,PKR,1180,PKR,1234.52,PKR,15564,0.9295671013367037
ACPL,Attock Cement Pakistan Limited,275.5,PKR,293,PKR,273.79,PKR,291.28,PKR,1583643,6.388107673764547
ADAMS,Adam Sugar Mills Limited,72.95,PKR,72.95,PKR,71.65,PKR,72.95,PKR,134,0
ADMM,Artistic Denim Mills Limited,62.2,PKR,63.14,PKR,60.01,PKR,60.86,PKR,8686,-0.3438676928115292
AGHA,Agha Steel Industries Ltd.,10.35,PKR,10.45,PKR,9.95,PKR,10.02,PKR,9890741,-1.3779527559055174
AGIC,Askari General Insurance Co. Ltd.,45.85,PKR,45.97,PKR,45.69,PKR,45.89,PKR,14527,0.5477651183172656
AGIL,Agriauto Industries Limited,144.7,PKR,145.5,PKR,143,PKR,143.87,PKR,32153,0.07651641624931389
AGL,Agritech Limited,71.9,PKR,71.9,PKR,70.85,PKR,70.95,PKR,398038,-0.35112359550561795
AGP,AGP Limited,198,PKR,200,PKR,197.02,PKR,198.03,PKR,186500,-0.741817452759255
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,9.57,PKR,9.57,PKR,9.35,PKR,9.36,PKR,173080,-0.7423117709437994
AGTL,Al-Ghazi Tractors Ltd.,399.97,PKR,400,PKR,397.5,PKR,398.1,PKR,8663,-0.15800165525543486
AHCL,Arif Habib Corporation Limited,14.7,PKR,14.8,PKR,14.45,PKR,14.58,PKR,13645894,0.7601935038009635
AHL,Arif Habib Limited,125,PKR,128,PKR,122.8,PKR,127.42,PKR,129303,1.9523123699791947
AHTM,Ahmed Hassan Textile Mills Ltd.,74,PKR,84.82,PKR,74,PKR,77.51,PKR,36,0
AICL,Adamjee Insurance Co. Limited,71.75,PKR,72.25,PKR,71.02,PKR,71.9,PKR,200274,0.2090592334494853
AIRLINK,Air Link Communication Ltd.,158,PKR,162.3,PKR,157.54,PKR,159.67,PKR,2776316,1.1465855821613922
AKBL,Askari Bank Limited,83.19,PKR,83.4,PKR,81.9,PKR,82.24,PKR,2136970,0.060834651417443916
AKDHL,AKD Hospitality Limited,170.54,PKR,174.72,PKR,169.52,PKR,171.3,PKR,582,-1.50643974241029
AKDSL,AKD Securities Limited,33.49,PKR,35.1,PKR,33.49,PKR,34.94,PKR,1226835,5.019537120528988
AKGL,Al-Khair Gadoon Limited,49.6,PKR,55,PKR,49.6,PKR,51.27,PKR,1001,-6.866485013623967
ALAC,Askari Life Assurance Co. Ltd.,17.9,PKR,17.98,PKR,16.55,PKR,16.8,PKR,3048372,-4.653802497162316
ALIFE,Adamjee Life Assurance Company Limited,36,PKR,36.8,PKR,36,PKR,36,PKR,4201,-0.05552470849528908
ALNRS,Al-Noor Sugar Mills Limited,105,PKR,105,PKR,98,PKR,104.32,PKR,352,-0.439015079213598
