Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 Investments Limited,14.8,PKR,15.86,PKR,14.8,PKR,14.86,PKR,152855,0.40540540540539677
AABS,Al-Abbas Sugar Mills Ltd.,1041.51,PKR,1049.99,PKR,1035,PKR,1040.47,PKR,120,-0.8981807791218271
AATM,Ali Asghar Textile Mills Limited,51.5,PKR,51.99,PKR,50.1,PKR,51.16,PKR,14399,0.8277493102088975
ABL,Allied Bank Limited,170,PKR,177.5,PKR,170,PKR,171.93,PKR,430926,1.093667313459172
ABOT,Abbott Laboratories Pakistan Limited,1279.9,PKR,1286,PKR,1252,PKR,1262.82,PKR,15612,-0.5911849676855614
ACPL,Attock Cement Pakistan Limited,294.5,PKR,299,PKR,289,PKR,294.73,PKR,584020,0.7692833698030633
ADAMS,Adam Sugar Mills Limited,70,PKR,74,PKR,70,PKR,70.47,PKR,1166,-2.1250000000000013
ADMM,Artistic Denim Mills Limited,56.25,PKR,58.4,PKR,54.83,PKR,55.11,PKR,521796,-9.537097833223903
AGHA,Agha Steel Industries Ltd.,10.24,PKR,10.65,PKR,9.95,PKR,10.05,PKR,17363948,-0.9852216748768439
AGIC,Askari General Insurance Co. Ltd.,46.31,PKR,47,PKR,46.31,PKR,46.97,PKR,1605,-0.06382978723404496
AGIL,Agriauto Industries Limited,144.9,PKR,146,PKR,143.1,PKR,145.38,PKR,15027,1.2748171368860912
AGL,Agritech Limited,70.5,PKR,72.98,PKR,70.5,PKR,71.46,PKR,178297,-0.9975062344139831
AGP,AGP Limited,199.92,PKR,200.48,PKR,197,PKR,199.97,PKR,191633,0.02501000400160633
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,9.39,PKR,9.39,PKR,9,PKR,9.27,PKR,201343,2.430939226519324
AGTL,Al-Ghazi Tractors Ltd.,390,PKR,399,PKR,381.03,PKR,389.2,PKR,29478,-0.883693686810815
AHCL,Arif Habib Corporation Limited,15.3,PKR,15.35,PKR,15.05,PKR,15.15,PKR,12819699,-0.06596306068601442
AHL,Arif Habib Limited,129.95,PKR,130.3,PKR,127.2,PKR,128.13,PKR,84881,-0.8972078273648363
AHTM,Ahmed Hassan Textile Mills Ltd.,80,PKR,80,PKR,80,PKR,77.51,PKR,150,0
AICL,Adamjee Insurance Co. Limited,72.6,PKR,72.8,PKR,71.5,PKR,71.54,PKR,315338,-1.0922162311627153
AIRLINK,Air Link Communication Ltd.,175,PKR,177.5,PKR,167,PKR,169.76,PKR,11440752,-2.3413680032215503
AKBL,Askari Bank Limited,83.8,PKR,86.55,PKR,83.75,PKR,84.1,PKR,5209914,0.7065022153035435
AKDHL,AKD Hospitality Limited,172.5,PKR,175.99,PKR,169.51,PKR,175.77,PKR,490,2.370413511939442
AKDSL,AKD Securities Limited,37.5,PKR,38.84,PKR,37.13,PKR,38.04,PKR,1330970,1.629708789740848
AKGL,Al-Khair Gadoon Limited,57.8,PKR,57.8,PKR,57.3,PKR,55.7,PKR,274,0
ALAC,Askari Life Assurance Co. Ltd.,15.17,PKR,15.35,PKR,14.75,PKR,14.93,PKR,2810948,-1.7116524028966411
ALIFE,Adamjee Life Assurance Company Limited,36,PKR,36,PKR,36,PKR,36,PKR,1122,-0.027770063871141382
ALNRS,Al-Noor Sugar Mills Limited,104,PKR,104,PKR,97.04,PKR,104.32,PKR,82,0
ALTN,Altern Energy Limited,13.8,PKR,14,PKR,13.41,PKR,13.54,PKR,1343639,-1.8129079042784628
AMBL,Apna Microfinance Bank Limited,11.35,PKR,11.9,PKR,11.35,PKR,11.35,PKR,569,0.353669319186553
AMTEX,Amtex Limited,4.21,PKR,4.33,PKR,4.14,PKR,4.17,PKR,467671,-0.9501187648456066
ANL,Azgard Nine Limited,12.48,PKR,13.29,PKR,12.15,PKR,12.55,PKR,5996893,2.2819885900570593
ANSM,Ansari Sugar Mills Limited,17,PKR,17,PKR,15.55,PKR,15.79,PKR,26426,-3.8367844092570187
ANTM,AN Textile Mills Limited,32.59,PKR,33.19,PKR,29.71,PKR,31.96,PKR,79084,-1.93310831543419
APL,Attock Petroleum Limited,519.91,PKR,523,PKR,517.25,PKR,517.68,PKR,52807,0.05605056147199668
ARCTM,Arctic Textile Mills Limited,36.89,PKR,36.99,PKR,35.63,PKR,36.22,PKR,1832,-0.5491488193300462
ARPAK,Arpak International Investments Ltd.,68.99,PKR,68.99,PKR,68.99,PKR,66.99,PKR,802,0
ARPL,Archroma Pakistan Limited,471,PKR,471,PKR,464.7,PKR,464.7,PKR,4294,-1.1991325424161217
ARUJ,Aruj Industries Ltd.,11.59,PKR,12.4,PKR,11.5,PKR,11.77,PKR,49931,2.258905299739355
ASC,Al Shaheer Corp. Ltd.,17.6,PKR,17.85,PKR,16.7,PKR,17,PKR,534122,-3.3541785105173387
ASHT,Ashfaq Textile Mills Limited,26.95,PKR,27.5,PKR,22.81,PKR,24.66,PKR,26787,-2.645084879589412
ASIC,Asia Insurance Co. Ltd. (Pakistan),16.98,PKR,16.98,PKR,16.98,PKR,15.44,PKR,25,-9.069493521790346
ASL,Aisha Steel Mills Ltd.,14.8,PKR,14.84,PKR,14.5,PKR,14.69,PKR,3385230,-0.3392130257801948
ASTL,Amreli Steels Ltd.,25.1,PKR,25.53,PKR,24.7,PKR,24.84,PKR,3309028,-0.7590890930882991
ASTM,Asim Textile Mills Ltd.,29.4,PKR,29.4,PKR,28.73,PKR,28.81,PKR,16328,-2.2727272727272783
ATBA,Atlas Battery Limited,258.01,PKR,260,PKR,255,PKR,258.7,PKR,45459,0.011597788688279551
ATIL,Atlas Insurance Limited,89,PKR,95.9,PKR,89,PKR,93.92,PKR,49360,4.879955332216644
ATLH,Atlas Honda Limited,1335.1,PKR,1356,PKR,1335,PKR,1342.3,PKR,8092,0.11784712691687506
ATRL,Attock Refinery Ltd,710,PKR,713.9,PKR,692,PKR,695.09,PKR,1732686,-1.8844221105527668
AVN,Avanceon Ltd.,50.42,PKR,50.65,PKR,49.8,PKR,49.89,PKR,1029290,-1.0511701705672374
AWTX,Allawasaya Textile & Finishing Mills Limited,1550.52,PKR,1550.52,PKR,1550.52,PKR,1409.56,PKR,1,-9.091143616335168
BAFL,Bank Alfalah Limited,108,PKR,111.9,PKR,107.75,PKR,109.34,PKR,9463215,1.54160475482912
BAFS,Baba Farid Sugar Mills Limited,262,PKR,284.35,PKR,251,PKR,270.85,PKR,30587,4.777562862669255
BAHL,Bank Al Habib Ltd.,196.16,PKR,207,PKR,196.16,PKR,203.83,PKR,825648,3.9047764693888083
BAPL,Bawany Air Products Limited.,48.75,PKR,49.1,PKR,46.7,PKR,47.27,PKR,135528,-1.3770081368662561
BATA,Bata Pakistan Limited,1501.51,PKR,1520,PKR,1480,PKR,1495.83,PKR,3991,-0.30790762771169433
BBFL,Big Bird Foods Limited,55.01,PKR,55.59,PKR,54.9,PKR,55.01,PKR,3185584,0
BCL,Bolan Castings Ltd.,100.9,PKR,101,PKR,99,PKR,99.88,PKR,42423,-0.4088144381294354
BECO,BECO Steel Limited,37,PKR,37.74,PKR,35,PKR,35.79,PKR,4284884,-3.1393775372124586
BELA,Bela Automotives Ltd.,120.01,PKR,125,PKR,120.01,PKR,120.19,PKR,2105,-0.25726141078838366
BERG,Berger Paints Pakistan Limited.,118.5,PKR,119.33,PKR,117.03,PKR,117.78,PKR,168995,-1.066778664426708
BFAGRO,Barkat Frisian Agro Limited,45.19,PKR,45.2,PKR,44.15,PKR,44.32,PKR,1118209,-1.1376310506357306
BFBIO,BF Biosciences Ltd,159.13,PKR,168,PKR,159.13,PKR,163.44,PKR,1204467,3.0907026617888267
