Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 Investments Limited,10.99,PKR,11.6,PKR,10.97,PKR,11.44,PKR,51262,3.529411764705871
AABS,Al-Abbas Sugar Mills Ltd.,1080,PKR,1119,PKR,1080,PKR,1087.42,PKR,143,0.906602329142113
AATM,Ali Asghar Textile Mills Limited,55.98,PKR,56.95,PKR,54.26,PKR,55.14,PKR,13290,1.7530909761948752
ABL,Allied Bank Limited,177.24,PKR,179,PKR,176.5,PKR,177.26,PKR,47612,0.011284134506873059
ABOT,Abbott Laboratories Pakistan Limited,1146.17,PKR,1153,PKR,1129,PKR,1139.31,PKR,107649,-0.5993822959744646
ACPL,Attock Cement Pakistan Limited,295.9,PKR,295.9,PKR,290.1,PKR,293.41,PKR,311303,-0.6400270910937983
ADAMS,Adam Sugar Mills Limited,75.5,PKR,75.5,PKR,64.1,PKR,73.5,PKR,1921,3.3028812368236036
ADMM,Artistic Denim Mills Limited,61,PKR,61.49,PKR,59.3,PKR,59.83,PKR,46751,-1.0092653871608197
AGHA,Agha Steel Industries Ltd.,9.01,PKR,9.61,PKR,9.01,PKR,9.37,PKR,15933202,4.3429844097995405
AGIC,Askari General Insurance Co. Ltd.,47.5,PKR,47.5,PKR,46.75,PKR,46.83,PKR,23613,-1.658966820663585
AGIL,Agriauto Industries Limited,144.22,PKR,144.22,PKR,140.02,PKR,140.29,PKR,37137,-2.725003466925535
AGL,Agritech Limited,77,PKR,77.9,PKR,74,PKR,74.13,PKR,1739638,-4.2371786590879745
AGP,AGP Limited,192,PKR,193,PKR,191.01,PKR,192.02,PKR,96789,0.4078644635013601
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,9.55,PKR,9.73,PKR,9,PKR,9.52,PKR,2065344,-0.5224660397074264
AGTL,Al-Ghazi Tractors Ltd.,403,PKR,404.5,PKR,399,PKR,401.63,PKR,11447,-0.33500421857164686
AHCL,Arif Habib Corporation Limited,13.4,PKR,13.5,PKR,13.14,PKR,13.22,PKR,3193065,-0.8995502248875504
AHL,Arif Habib Limited,94.45,PKR,94.45,PKR,91.5,PKR,93,PKR,171370,0.497082342770687
AHTM,Ahmed Hassan Textile Mills Ltd.,78.53,PKR,80,PKR,70.76,PKR,80,PKR,337,1.871896090665986
AICL,Adamjee Insurance Co. Limited,69.34,PKR,71.45,PKR,69.05,PKR,69.49,PKR,2110239,0.014392630972928764
AIRLINK,Air Link Communication Ltd.,150,PKR,161.25,PKR,146,PKR,156.27,PKR,6347343,4.4585561497326305
AKBL,Askari Bank Limited,75.98,PKR,79.45,PKR,73.95,PKR,78.53,PKR,7554169,6.04996623902769
AKDHL,AKD Hospitality Limited,182.51,PKR,184.49,PKR,179.51,PKR,180.49,PKR,6106,-2.3111063000649397
AKDSL,AKD Securities Limited,32.75,PKR,33.5,PKR,32.75,PKR,33.15,PKR,175958,0.5764563106796047
AKGL,Al-Khair Gadoon Limited,53,PKR,53,PKR,53,PKR,53,PKR,24,0
ALAC,Askari Life Assurance Co. Ltd.,11.2,PKR,12.23,PKR,11,PKR,12.15,PKR,12319683,9.262589928057565
ALIFE,Adamjee Life Assurance Company Limited,34.01,PKR,35.79,PKR,33.3,PKR,34.76,PKR,51808,-4.216037475888678
ALNRS,Al-Noor Sugar Mills Limited,97.98,PKR,99,PKR,92.22,PKR,92.22,PKR,79,-6.8484848484848495
ALTN,Altern Energy Limited,13.74,PKR,14.25,PKR,12.37,PKR,12.58,PKR,9202901,-8.44250363901019
AMBL,Apna Microfinance Bank Limited,11.14,PKR,11.14,PKR,11.14,PKR,11.14,PKR,30,0
AMTEX,Amtex Limited,3.89,PKR,4.08,PKR,3.89,PKR,3.94,PKR,2400582,0
ANL,Azgard Nine Limited,12.36,PKR,12.7,PKR,12.12,PKR,12.52,PKR,1012518,1.294498381877024
ANSM,Ansari Sugar Mills Limited,20.45,PKR,20.92,PKR,19.6,PKR,20.92,PKR,255037,9.989484752891704
ANTM,AN Textile Mills Limited,31,PKR,31.35,PKR,29.6,PKR,29.81,PKR,1726,1.016604540833606
APL,Attock Petroleum Limited,519,PKR,525.9,PKR,512.05,PKR,523.83,PKR,35913,1.1547745486144672
