Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 Investments Limited,12.84,PKR,12.84,PKR,12.84,PKR,12.84,PKR,276373,10.025706940874034
AABS,Al-Abbas Sugar Mills Ltd.,1098,PKR,1098,PKR,1075,PKR,1090.05,PKR,243,1.6600606201911825
AATM,Ali Asghar Textile Mills Limited,53.5,PKR,53.55,PKR,52.55,PKR,53.03,PKR,6802,-0.655676283252157
ABL,Allied Bank Limited,175,PKR,176.5,PKR,172.31,PKR,174.09,PKR,62932,-0.28067361668003726
ABOT,Abbott Laboratories Pakistan Limited,1210,PKR,1210,PKR,1160.06,PKR,1179.85,PKR,28097,-0.9395150456743733
ACPL,Attock Cement Pakistan Limited,291,PKR,294.75,PKR,288.15,PKR,289.53,PKR,297770,0.082961733900222
ADAMS,Adam Sugar Mills Limited,73.67,PKR,76.7,PKR,71.55,PKR,71.81,PKR,6849,-2.5247726347224098
ADMM,Artistic Denim Mills Limited,59.05,PKR,60.89,PKR,59.05,PKR,59.29,PKR,10057,-0.8528428093645452
AGHA,Agha Steel Industries Ltd.,9.06,PKR,9.16,PKR,9.02,PKR,9.09,PKR,1697033,0.33112582781456246
AGIC,Askari General Insurance Co. Ltd.,47,PKR,49,PKR,47,PKR,48.71,PKR,104227,3.6162518613061114
AGIL,Agriauto Industries Limited,141,PKR,142.8,PKR,140,PKR,142.03,PKR,27654,-0.3787613102335639
AGL,Agritech Limited,74.5,PKR,75.4,PKR,72.8,PKR,74.6,PKR,966351,0.26881720430106
AGP,AGP Limited,189.6,PKR,191.4,PKR,186.66,PKR,187.31,PKR,733592,-1.2078059071729916
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,9.72,PKR,9.86,PKR,9.45,PKR,9.48,PKR,1186321,-1.455301455301443
AGTL,Al-Ghazi Tractors Ltd.,400.54,PKR,401.98,PKR,398.01,PKR,399.98,PKR,20373,-0.12235623142807428
AHCL,Arif Habib Corporation Limited,13.25,PKR,13.28,PKR,13.08,PKR,13.23,PKR,2477098,0.9923664122137463
AHL,Arif Habib Limited,93.33,PKR,93.98,PKR,92.5,PKR,92.9,PKR,192514,-0.3539633165290124
AHTM,Ahmed Hassan Textile Mills Ltd.,77,PKR,80,PKR,76,PKR,77.44,PKR,626,2.678334659241575
AICL,Adamjee Insurance Co. Limited,68.5,PKR,69.51,PKR,68.5,PKR,69.25,PKR,171455,0.8152569515213309
AIRLINK,Air Link Communication Ltd.,162,PKR,166.49,PKR,159,PKR,160.36,PKR,3433623,-0.5766011532022931
AKBL,Askari Bank Limited,80,PKR,83.45,PKR,79.6,PKR,83.2,PKR,6098603,4.339102081765748
AKDHL,AKD Hospitality Limited,180.68,PKR,180.68,PKR,180,PKR,180,PKR,247,-0.01110987668037453
AKDSL,AKD Securities Limited,33.51,PKR,34.24,PKR,32.9,PKR,33.5,PKR,171554,0
AKGL,Al-Khair Gadoon Limited,64.13,PKR,64.13,PKR,58.25,PKR,63.26,PKR,1731,8.507718696397944
ALAC,Askari Life Assurance Co. Ltd.,11.12,PKR,11.35,PKR,10.88,PKR,11.04,PKR,679285,-0.7194244604316554
ALIFE,Adamjee Life Assurance Company Limited,36,PKR,36,PKR,35.06,PKR,35.52,PKR,14010,-1.3059183106418417
ALNRS,Al-Noor Sugar Mills Limited,98,PKR,100,PKR,92.61,PKR,99.99,PKR,3256,2.145265093472259
ALTN,Altern Energy Limited,12.32,PKR,12.39,PKR,12.2,PKR,12.28,PKR,980996,0.8210180623973699
AMBL,Apna Microfinance Bank Limited,11.14,PKR,11.14,PKR,11.14,PKR,11.14,PKR,30,0
AMTEX,Amtex Limited,4.19,PKR,4.63,PKR,4.12,PKR,4.49,PKR,23203005,9.245742092457418
ANL,Azgard Nine Limited,12.7,PKR,12.84,PKR,12.6,PKR,12.69,PKR,834226,0.23696682464454472
ANSM,Ansari Sugar Mills Limited,20.99,PKR,21.09,PKR,19.26,PKR,19.42,PKR,293852,-8.48256361922713
ANTM,AN Textile Mills Limited,28.31,PKR,29.38,PKR,28.31,PKR,29.31,PKR,1649,3.5689045936395685
APL,Attock Petroleum Limited,523,PKR,523.91,PKR,519.8,PKR,520.01,PKR,22914,-0.447975495357525
ARCTM,Arctic Textile Mills Limited,37.01,PKR,38.75,PKR,37.01,PKR,38.68,PKR,916,-0.7950756604257561
ARPAK,Arpak International Investments Ltd.,58.02,PKR,58.02,PKR,58.02,PKR,58.02,PKR,450,-4.947575360419391
ARPL,Archroma Pakistan Limited,472.1,PKR,474.95,PKR,460.6,PKR,469.85,PKR,11710,-0.2441613588110355
ARUJ,Aruj Industries Ltd.,9.45,PKR,10.38,PKR,9.21,PKR,10.38,PKR,262895,10.660980810234541
ASC,Al Shaheer Corp. Ltd.,19.49,PKR,19.5,PKR,18.66,PKR,19.38,PKR,2646395,1.892744479495265
ASHT,Ashfaq Textile Mills Limited,25.01,PKR,25.8,PKR,24,PKR,24.71,PKR,2123,-1.1995201919232334
ASIC,Asia Insurance Co. Ltd. (Pakistan),18.7,PKR,18.7,PKR,15.32,PKR,17,PKR,300,0
ASL,Aisha Steel Mills Ltd.,14.07,PKR,14.4,PKR,14.01,PKR,14.15,PKR,3762426,0.5685856432125094
ASTL,Amreli Steels Ltd.,23.49,PKR,23.49,PKR,22.75,PKR,23.1,PKR,371492,-0.8583690987124433
ASTM,Asim Textile Mills Ltd.,32.49,PKR,32.49,PKR,31,PKR,31.48,PKR,4715,-0.4112622587788643
ATBA,Atlas Battery Limited,253,PKR,256,PKR,252.01,PKR,253.33,PKR,40650,0.16606698034874695
ATIL,Atlas Insurance Limited,81.44,PKR,81.44,PKR,80,PKR,79,PKR,60,0
ATLH,Atlas Honda Limited,1225.31,PKR,1236.88,PKR,1225.05,PKR,1231.19,PKR,3791,0.31777330541274607
ATRL,Attock Refinery Ltd,657,PKR,666.3,PKR,655.5,PKR,660.17,PKR,1259115,0.5544301098198081
AVN,Avanceon Ltd.,48.71,PKR,48.98,PKR,48.34,PKR,48.57,PKR,1030471,-0.28741531513036456
BAFL,Bank Alfalah Limited,106.05,PKR,107,PKR,104,PKR,105.02,PKR,2396890,-0.9338741628148373
BAFS,Baba Farid Sugar Mills Limited,215.55,PKR,236.99,PKR,214,PKR,236.23,PKR,1741,3.5143069979404853
BAHL,Bank Al Habib Ltd.,192.39,PKR,193,PKR,185,PKR,186.21,PKR,274727,-2.293000314828421
BAPL,Bawany Air Products Limited.,49.8,PKR,50.49,PKR,49,PKR,49.02,PKR,53534,-0.08153281695882418
BATA,Bata Pakistan Limited,1550,PKR,1573.9,PKR,1542.5,PKR,1547.94,PKR,655,0.021323201581803855
BBFL,Big Bird Foods Limited,48.49,PKR,48.9,PKR,47.76,PKR,47.97,PKR,1773908,-0.6832298136645928
BCL,Bolan Castings Ltd.,106,PKR,107,PKR,104.55,PKR,105.15,PKR,67906,-0.5391600454029447
BECO,BECO Steel Limited,19.25,PKR,19.66,PKR,19.05,PKR,19.15,PKR,571668,0.05224660397073151
BELA,Bela Automotives Ltd.,124,PKR,127,PKR,122.5,PKR,123.35,PKR,632,-1.3436775173958304
BERG,Berger Paints Pakistan Limited.,122.5,PKR,123.49,PKR,118.27,PKR,119.21,PKR,335306,-2.0138089758342947
BFAGRO,Barkat Frisian Agro Limited,44.85,PKR,46.88,PKR,44.13,PKR,45.68,PKR,3063043,2.605570530098824
BFBIO,BF Biosciences Ltd,171,PKR,172.95,PKR,167.8,PKR,168.77,PKR,461895,-1.008856824447181
BFMOD,BF Modaraba,13.5,PKR,13.5,PKR,13.14,PKR,13.14,PKR,32326,-2.086438152011918
