Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 Investments Limited,14.12,PKR,14.12,PKR,14.12,PKR,14.12,PKR,103637,9.968847352024918
AABS,Al-Abbas Sugar Mills Ltd.,1055,PKR,1097.99,PKR,1045.5,PKR,1065.14,PKR,772,-2.2852162744828086
AATM,Ali Asghar Textile Mills Limited,52.11,PKR,52.21,PKR,48.9,PKR,51.49,PKR,21753,-2.9040165943805376
ABL,Allied Bank Limited,175.5,PKR,176,PKR,174.15,PKR,174.64,PKR,54453,0.31592854270778503
ABOT,Abbott Laboratories Pakistan Limited,1189.9,PKR,1197.95,PKR,1179,PKR,1190.85,PKR,5803,0.9323219053269485
ACPL,Attock Cement Pakistan Limited,291.25,PKR,295,PKR,290,PKR,290.8,PKR,225626,0.4386419369322829
ADAMS,Adam Sugar Mills Limited,76,PKR,76,PKR,71,PKR,71.34,PKR,7117,-0.6545049436011682
ADMM,Artistic Denim Mills Limited,59.99,PKR,63.5,PKR,59.12,PKR,60.21,PKR,111082,1.5516950581885676
AGHA,Agha Steel Industries Ltd.,9.12,PKR,9.3,PKR,9.03,PKR,9.11,PKR,3603987,0.22002200220021534
AGIC,Askari General Insurance Co. Ltd.,47.75,PKR,47.75,PKR,44.87,PKR,45.45,PKR,51245,-6.692670909464171
AGIL,Agriauto Industries Limited,140.53,PKR,145.37,PKR,139.6,PKR,144.73,PKR,29399,1.9010068295430462
AGL,Agritech Limited,74.6,PKR,82.06,PKR,71.1,PKR,76.64,PKR,3103594,2.7345844504021533
AGP,AGP Limited,187.5,PKR,189.89,PKR,186,PKR,186.61,PKR,179316,-0.37371202818855837
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,9.69,PKR,9.69,PKR,9.2,PKR,9.3,PKR,843590,-1.898734177215187
AGTL,Al-Ghazi Tractors Ltd.,401,PKR,401,PKR,396.46,PKR,397.01,PKR,13465,-0.7425371268563496
AHCL,Arif Habib Corporation Limited,13.23,PKR,13.4,PKR,13.14,PKR,13.26,PKR,1955976,0.22675736961450763
AHL,Arif Habib Limited,93.74,PKR,96.8,PKR,92.82,PKR,95.24,PKR,354896,2.5188374596340033
AHTM,Ahmed Hassan Textile Mills Ltd.,73.01,PKR,79.99,PKR,73,PKR,77.44,PKR,249,0
AICL,Adamjee Insurance Co. Limited,69.27,PKR,76.18,PKR,69.27,PKR,75.32,PKR,6457973,8.7653429602888
AIRLINK,Air Link Communication Ltd.,161,PKR,162.6,PKR,155.13,PKR,157.17,PKR,1762457,-1.9892741332003157
AKBL,Askari Bank Limited,83.2,PKR,85.7,PKR,80.11,PKR,84.78,PKR,7979547,1.8990384615384592
AKDHL,AKD Hospitality Limited,183.4,PKR,184.49,PKR,170,PKR,174.35,PKR,13961,-3.138888888888892
AKDSL,AKD Securities Limited,33.99,PKR,34,PKR,33.5,PKR,33.5,PKR,86160,0
AKGL,Al-Khair Gadoon Limited,68.25,PKR,68.25,PKR,56.93,PKR,63.01,PKR,1178,-0.3951944356623459
ALAC,Askari Life Assurance Co. Ltd.,11.35,PKR,12.14,PKR,11.35,PKR,12.14,PKR,4814329,9.963768115942043
ALIFE,Adamjee Life Assurance Company Limited,35.06,PKR,35.74,PKR,34,PKR,34.13,PKR,59866,-3.9132882882882893
ALNRS,Al-Noor Sugar Mills Limited,91.14,PKR,107.9,PKR,91.14,PKR,96.81,PKR,4433,-3.180318031803173
ALTN,Altern Energy Limited,12.79,PKR,13.49,PKR,12.42,PKR,13.04,PKR,6173955,6.188925081433223
AMBL,Apna Microfinance Bank Limited,11.74,PKR,11.74,PKR,10.45,PKR,11.14,PKR,4,0
AMTEX,Amtex Limited,4.6,PKR,4.65,PKR,4.34,PKR,4.37,PKR,4104790,-2.672605790645882
ANL,Azgard Nine Limited,12.9,PKR,12.9,PKR,12.45,PKR,12.5,PKR,2249567,-1.4972419227738338
ANSM,Ansari Sugar Mills Limited,19.51,PKR,20.98,PKR,18.11,PKR,18.7,PKR,227519,-3.7075180226570663
ANTM,AN Textile Mills Limited,29.29,PKR,29.3,PKR,27.91,PKR,28.42,PKR,3704,-3.036506311838953
APL,Attock Petroleum Limited,520.01,PKR,525.25,PKR,520.01,PKR,523.24,PKR,17914,0.6211419011172897
ARCTM,Arctic Textile Mills Limited,39.8,PKR,39.9,PKR,37.75,PKR,38.75,PKR,2102,0.18097207859358916
ARPAK,Arpak International Investments Ltd.,58.01,PKR,58.01,PKR,58,PKR,58,PKR,550,-0.03447087211306985
ARPL,Archroma Pakistan Limited,470,PKR,479.99,PKR,465,PKR,470.01,PKR,6192,0.034053421304664926
ARUJ,Aruj Industries Ltd.,11.42,PKR,11.42,PKR,11.42,PKR,11.42,PKR,238109,10.019267822736023
ASC,Al Shaheer Corp. Ltd.,19.87,PKR,20.7,PKR,19.27,PKR,20.02,PKR,2525734,3.3023735810113553
