Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 Investments Limited,14.86,PKR,15,PKR,13.41,PKR,14.23,PKR,101824,-4.239569313593533
AABS,Al-Abbas Sugar Mills Ltd.,1040.48,PKR,1050,PKR,936.42,PKR,1050,PKR,1401,0.9159322229377083
AATM,Ali Asghar Textile Mills Limited,51.2,PKR,51.99,PKR,50.1,PKR,51,PKR,4317,-0.3127443315089848
ABL,Allied Bank Limited,173,PKR,176,PKR,172,PKR,175.26,PKR,381808,1.93683475833187
ABOT,Abbott Laboratories Pakistan Limited,1261.95,PKR,1270,PKR,1236,PKR,1251.12,PKR,18189,-0.9264978381717146
ACPL,Attock Cement Pakistan Limited,295,PKR,314,PKR,293,PKR,303.55,PKR,1804078,2.9925694703627026
ADAMS,Adam Sugar Mills Limited,70.47,PKR,70.47,PKR,70.05,PKR,70.47,PKR,500,0
ADMM,Artistic Denim Mills Limited,55.11,PKR,55.13,PKR,52.25,PKR,52.83,PKR,63511,-4.137180185084379
AGHA,Agha Steel Industries Ltd.,10.15,PKR,10.16,PKR,9.76,PKR,9.81,PKR,8523251,-2.3880597014925393
AGIC,Askari General Insurance Co. Ltd.,46.5,PKR,47,PKR,45.86,PKR,46.58,PKR,12544,-0.830317223759848
AGIL,Agriauto Industries Limited,143.2,PKR,145.74,PKR,141.51,PKR,144.03,PKR,60473,-0.9286009079653283
AGL,Agritech Limited,72,PKR,78.61,PKR,71,PKR,78.61,PKR,4950596,10.005597537083693
AGP,AGP Limited,199.97,PKR,201.49,PKR,198.5,PKR,199.95,PKR,726860,-0.010001500225038871
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,9.27,PKR,9.98,PKR,9,PKR,9.65,PKR,581273,4.0992448759439135
AGTL,Al-Ghazi Tractors Ltd.,388,PKR,390.99,PKR,384,PKR,386.92,PKR,9702,-0.5858170606371975
AHCL,Arif Habib Corporation Limited,15.28,PKR,16.49,PKR,15.11,PKR,16.06,PKR,30871882,6.006600660065995
AHL,Arif Habib Limited,128.5,PKR,130.55,PKR,128.13,PKR,128.44,PKR,102939,0.24194177788184051
AHTM,Ahmed Hassan Textile Mills Ltd.,75,PKR,85,PKR,75,PKR,84.99,PKR,1497,9.65036769449102
AICL,Adamjee Insurance Co. Limited,71.99,PKR,72.45,PKR,71,PKR,71.01,PKR,377035,-0.7408442829186485
AIRLINK,Air Link Communication Ltd.,170.44,PKR,172.5,PKR,166,PKR,170.04,PKR,5043928,0.16493873704052847
AKBL,Askari Bank Limited,84.89,PKR,85.8,PKR,83.3,PKR,85.06,PKR,2826978,1.1414982164090464
AKDHL,AKD Hospitality Limited,175.99,PKR,175.99,PKR,170.51,PKR,174.73,PKR,422,-0.5916823121124313
AKDSL,AKD Securities Limited,34.24,PKR,35.95,PKR,34.24,PKR,34.27,PKR,2840537,-9.91062039957938
AKGL,Al-Khair Gadoon Limited,50.2,PKR,57,PKR,50.2,PKR,55.7,PKR,6,0
ALAC,Askari Life Assurance Co. Ltd.,14.95,PKR,15.19,PKR,13.9,PKR,14.09,PKR,3437606,-5.626255860683187
ALIFE,Adamjee Life Assurance Company Limited,36,PKR,36,PKR,35,PKR,35.58,PKR,10611,-1.1666666666666714
ALNRS,Al-Noor Sugar Mills Limited,97.12,PKR,103.5,PKR,97.12,PKR,104.32,PKR,49,0
ALTN,Altern Energy Limited,13.6,PKR,13.75,PKR,13.45,PKR,13.51,PKR,976629,-0.22156573116690814
AMBL,Apna Microfinance Bank Limited,11.35,PKR,11.9,PKR,11.35,PKR,11.35,PKR,569,0.353669319186553
AMTEX,Amtex Limited,4.2,PKR,4.39,PKR,4.14,PKR,4.15,PKR,880261,-0.47961630695442625
ANL,Azgard Nine Limited,12.89,PKR,12.89,PKR,12.35,PKR,12.39,PKR,1369522,-1.2749003984063756
ANSM,Ansari Sugar Mills Limited,16.9,PKR,16.9,PKR,15.05,PKR,15.72,PKR,57005,-0.4433185560481223
ANTM,AN Textile Mills Limited,31.7,PKR,31.7,PKR,31.7,PKR,31.96,PKR,282,0
APL,Attock Petroleum Limited,518,PKR,521,PKR,507.45,PKR,507.67,PKR,304877,-1.9336269510121957
ARCTM,Arctic Textile Mills Limited,35.7,PKR,38,PKR,35.1,PKR,37.12,PKR,20862,2.4848150193263354
ARPAK,Arpak International Investments Ltd.,66.99,PKR,66.99,PKR,66.99,PKR,66.99,PKR,2,0
ARPL,Archroma Pakistan Limited,469.99,PKR,470,PKR,461,PKR,463.05,PKR,3838,-0.3550677856681681
ARUJ,Aruj Industries Ltd.,12.25,PKR,12.38,PKR,11.02,PKR,11.78,PKR,49973,0.08496176720475605
ASC,Al Shaheer Corp. Ltd.,17.45,PKR,17.45,PKR,15.3,PKR,15.46,PKR,2218158,-9.05882352941176
ASHT,Ashfaq Textile Mills Limited,24.6,PKR,25.3,PKR,23.52,PKR,25.3,PKR,1050,2.5952960259529623
ASIC,Asia Insurance Co. Ltd. (Pakistan),16.98,PKR,16.98,PKR,16.98,PKR,15.44,PKR,10,0
ASL,Aisha Steel Mills Ltd.,14.75,PKR,14.75,PKR,14.42,PKR,14.51,PKR,4142939,-1.2253233492171527
ASTL,Amreli Steels Ltd.,24.84,PKR,25.3,PKR,24.15,PKR,24.31,PKR,1642123,-2.1336553945249643
ASTM,Asim Textile Mills Ltd.,27.17,PKR,29.7,PKR,27.16,PKR,28.49,PKR,1543,-1.1107254425546695
ATBA,Atlas Battery Limited,259,PKR,259,PKR,256,PKR,256.82,PKR,22970,-0.7267104754541923
ATIL,Atlas Insurance Limited,94.88,PKR,94.95,PKR,91.15,PKR,91.98,PKR,11149,-2.0655877342419053
ATLH,Atlas Honda Limited,1344.2,PKR,1370,PKR,1344.2,PKR,1361.5,PKR,5710,1.4303806898606903
ATRL,Attock Refinery Ltd,693,PKR,693,PKR,679,PKR,683.23,PKR,1451106,-1.7062538664057911
AVN,Avanceon Ltd.,50.01,PKR,50.25,PKR,49.75,PKR,49.96,PKR,474477,0.14030867909400738
AWTX,Allawasaya Textile & Finishing Mills Limited,1550.52,PKR,1550.52,PKR,1550.52,PKR,1409.56,PKR,1,-9.091143616335168
BAFL,Bank Alfalah Limited,109.01,PKR,110.9,PKR,105,PKR,108.89,PKR,7200680,-0.4115602707152029
BAFS,Baba Farid Sugar Mills Limited,285,PKR,285,PKR,244.1,PKR,251.67,PKR,2947,-7.081410374746182
BAHL,Bank Al Habib Ltd.,205,PKR,205.84,PKR,200.01,PKR,201.62,PKR,92196,-1.0842368640533817
BAPL,Bawany Air Products Limited.,47.31,PKR,48.5,PKR,47.2,PKR,47.85,PKR,44527,1.2269938650306713
BATA,Bata Pakistan Limited,1509.35,PKR,1509.38,PKR,1473,PKR,1479.78,PKR,2717,-1.072982892440983
BBFL,Big Bird Foods Limited,55.01,PKR,55.55,PKR,54.3,PKR,54.56,PKR,3418432,-0.818033084893648
BCL,Bolan Castings Ltd.,99.99,PKR,100.7,PKR,98.01,PKR,100,PKR,31063,0.12014417300761368
BECO,BECO Steel Limited,35.95,PKR,36.88,PKR,34.86,PKR,35.11,PKR,1613389,-1.8999720592344223
BELA,Bela Automotives Ltd.,127,PKR,127,PKR,120,PKR,126.16,PKR,918,4.967135368999084
BERG,Berger Paints Pakistan Limited.,118,PKR,118,PKR,115.25,PKR,117.51,PKR,137466,-0.22924095771777553
BFAGRO,Barkat Frisian Agro Limited,44.83,PKR,44.9,PKR,44,PKR,44.78,PKR,837410,1.0379061371841174
BFBIO,BF Biosciences Ltd,164.25,PKR,164.87,PKR,161.25,PKR,162.55,PKR,318869,-0.5445423396965163
BFMOD,BF Modaraba,15.31,PKR,15.91,PKR,14.15,PKR,15.89,PKR,80214,1.0814249363867678
BGL,Balochistan Glass Ltd.,16.43,PKR,16.7,PKR,16.2,PKR,16.36,PKR,1766386,-0.4260499087035927
BHAT,Bhanero Textile Mills Limited.,921.01,PKR,946.9,PKR,903.23,PKR,904.98,PKR,61,-3.7255319148936152
BIFO,Biafo Industries Limited,183.9,PKR,185.8,PKR,182,PKR,182.22,PKR,41150,-0.7300065373719783
BILF,Zuma Resources Limited,45.5,PKR,47,PKR,43,PKR,45.55,PKR,86854,-0.5024027959807863
