Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 Investments Limited,13.03,PKR,13.03,PKR,12.51,PKR,12.82,PKR,69245,3.88978930307942
AABS,Al-Abbas Sugar Mills Ltd.,1028.01,PKR,1049.95,PKR,1028.01,PKR,1049.02,PKR,161,2.063610978682834
AATM,Ali Asghar Textile Mills Limited,49.95,PKR,49.95,PKR,47,PKR,47.17,PKR,2814,2.143785188393248
ABL,Allied Bank Limited,189.05,PKR,198.02,PKR,189.05,PKR,195.41,PKR,479594,3.7593585727180927
ABOT,Abbott Laboratories Pakistan Limited,1197,PKR,1240,PKR,1197,PKR,1223.15,PKR,31483,1.9572048980136216
ACPL,Attock Cement Pakistan Limited,289.97,PKR,294.9,PKR,289,PKR,293.67,PKR,263630,2.6028928796030986
ADAMS,Adam Sugar Mills Limited,70.02,PKR,72.9,PKR,70.02,PKR,70.41,PKR,214,0
ADMM,Artistic Denim Mills Limited,49,PKR,50.44,PKR,47.91,PKR,49.71,PKR,27795,3.5840800166701374
AGHA,Agha Steel Industries Ltd.,8.98,PKR,9.02,PKR,8.9,PKR,8.95,PKR,1496102,2.0524515393386515
AGIC,Askari General Insurance Co. Ltd.,44.72,PKR,45.49,PKR,44.72,PKR,45.49,PKR,3560,1.3366005791935875
AGIL,Agriauto Industries Limited,135.8,PKR,140,PKR,135,PKR,138.99,PKR,7368,3.530726256983247
AGL,Agritech Limited,76.5,PKR,78.89,PKR,75.5,PKR,77.32,PKR,578856,2.9012509981368013
AGP,AGP Limited,192.98,PKR,202.98,PKR,191.49,PKR,199.92,PKR,608741,4.402318658937792
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,8.31,PKR,8.59,PKR,8.31,PKR,8.55,PKR,118782,2.517985611510802
AGTL,Al-Ghazi Tractors Ltd.,400.21,PKR,404.5,PKR,392.03,PKR,396.42,PKR,31075,-0.022698040402505608
AHCL,Arif Habib Corporation Limited,16.61,PKR,16.9,PKR,16.59,PKR,16.77,PKR,8625380,2.0693852708460128
AHL,Arif Habib Limited,111.5,PKR,114,PKR,107.5,PKR,109.61,PKR,254125,-2.724529641462555
AHTM,Ahmed Hassan Textile Mills Ltd.,122.49,PKR,122.49,PKR,102.55,PKR,102.65,PKR,3926,-9.77410565175353
AICL,Adamjee Insurance Co. Limited,83.99,PKR,87,PKR,83.99,PKR,85.98,PKR,200867,2.9454022988505844
AIRLINK,Air Link Communication Ltd.,153.85,PKR,158.8,PKR,153.6,PKR,156.69,PKR,3381754,1.2994569433669452
AKBL,Askari Bank Limited,90.1,PKR,95.1,PKR,89.8,PKR,94.59,PKR,10221096,7.087059889052423
AKDHL,AKD Hospitality Limited,164.98,PKR,166.49,PKR,164.98,PKR,166,PKR,1493,1.6720769277883196
AKDSL,AKD Securities Limited,38.6,PKR,40.65,PKR,38.4,PKR,40.4,PKR,1556022,6.12030470186498
AKGL,Al-Khair Gadoon Limited,54.12,PKR,55.02,PKR,54.12,PKR,54.12,PKR,21,0
ALAC,Askari Life Assurance Co. Ltd.,14.5,PKR,14.75,PKR,13.8,PKR,13.84,PKR,1551342,-2.945301542776998
ALIFE,Adamjee Life Assurance Company Limited,36.49,PKR,36.49,PKR,33.52,PKR,34.23,PKR,525,0
ALNRS,Al-Noor Sugar Mills Limited,109.79,PKR,109.79,PKR,101,PKR,103.88,PKR,2717,-5.383003916568003
ALTN,Altern Energy Limited,13,PKR,13.1,PKR,12.9,PKR,12.96,PKR,418253,0.699300699300712
AMBL,Apna Microfinance Bank Limited,11.8,PKR,11.8,PKR,10.66,PKR,11.23,PKR,1009,4.465116279069772
AMTEX,Amtex Limited,3.9,PKR,4,PKR,3.8,PKR,3.88,PKR,417353,1.305483028720622
ANL,Azgard Nine Limited,12.1,PKR,12.26,PKR,11.99,PKR,12.19,PKR,1136262,3.5683942225998293
ANSM,Ansari Sugar Mills Limited,14.95,PKR,15.69,PKR,14.9,PKR,15.14,PKR,17110,5.652477320307052
ANTM,AN Textile Mills Limited,26,PKR,28.29,PKR,26,PKR,28.29,PKR,16996,9.992223950233283
APL,Attock Petroleum Limited,532,PKR,551.02,PKR,531,PKR,550.17,PKR,134158,4.48977266252635
ARCTM,Arctic Textile Mills Limited,35,PKR,36.99,PKR,31.55,PKR,35.37,PKR,4948,1.0571428571428498
ARPAK,Arpak International Investments Ltd.,54.42,PKR,60,PKR,54.42,PKR,60.47,PKR,33,9.945454545454544
ARPL,Archroma Pakistan Limited,453.05,PKR,460,PKR,453.05,PKR,460,PKR,1768,1.534047014678289
ARUJ,Aruj Industries Ltd.,10.99,PKR,10.99,PKR,10,PKR,10.88,PKR,62949,5.836575875486395
ASC,Al Shaheer Corp. Ltd.,14.15,PKR,14.99,PKR,14.01,PKR,14.65,PKR,720627,5.244252873563222
ASHT,Ashfaq Textile Mills Limited,23.8,PKR,23.99,PKR,22.81,PKR,23.7,PKR,12229,6.421194431971261
ASIC,Asia Insurance Co. Ltd. (Pakistan),15.5,PKR,15.5,PKR,14,PKR,14,PKR,23686,-17.55005889281508
ASL,Aisha Steel Mills Ltd.,12.78,PKR,13.9,PKR,12.78,PKR,13.82,PKR,8395487,8.47723704866562
ASTL,Amreli Steels Ltd.,22,PKR,22.9,PKR,22,PKR,22.65,PKR,2160562,4.764107308048092
ASTM,Asim Textile Mills Ltd.,23.09,PKR,23.17,PKR,22.01,PKR,22.25,PKR,10391,-3.302911777488055
ATBA,Atlas Battery Limited,246.99,PKR,249.1,PKR,243.01,PKR,245.93,PKR,13173,1.4311639033242591
ATIL,Atlas Insurance Limited,89.9,PKR,95.28,PKR,89.8,PKR,94.47,PKR,537161,9.06257215423689
ATLH,Atlas Honda Limited,1395,PKR,1395,PKR,1345,PKR,1392.09,PKR,6360,0.8775489499847751
ATRL,Attock Refinery Ltd,682.25,PKR,708.89,PKR,682.25,PKR,700.98,PKR,2382671,3.3710847637586285
AVN,Avanceon Ltd.,48,PKR,49.25,PKR,48,PKR,48.97,PKR,773441,2.191151919866438
AWTX,Allawasaya Textile & Finishing Mills Limited,1400,PKR,1550.5,PKR,1400,PKR,1550.5,PKR,3,-0.0012898898434062
BAFL,Bank Alfalah Limited,107,PKR,112.75,PKR,107,PKR,112.1,PKR,5684474,7.34463276836157
BAFS,Baba Farid Sugar Mills Limited,226,PKR,231.13,PKR,212,PKR,219.22,PKR,7069,4.330858557015036
BAHL,Bank Al Habib Ltd.,197.01,PKR,205,PKR,197.01,PKR,204.58,PKR,1804984,4.778489116517292
BAPL,Bawany Air Products Limited.,42,PKR,43.97,PKR,41.68,PKR,42.28,PKR,44588,1.512605042016813
BATA,Bata Pakistan Limited,1448.99,PKR,1457,PKR,1427.01,PKR,1449,PKR,1127,0.29347434868075034
BBFL,Big Bird Foods Limited,50.16,PKR,53.25,PKR,50.16,PKR,53,PKR,1445310,6.9842551473556735
BCL,Bolan Castings Ltd.,91,PKR,93.9,PKR,91,PKR,92.52,PKR,12832,2.1868787276341837
BECO,BECO Steel Limited,65.15,PKR,67,PKR,55.07,PKR,55.07,PKR,10752377,-10.001634253963063
BELA,Bela Automotives Ltd.,126,PKR,126,PKR,110.04,PKR,113.06,PKR,332,-7.145203679369253
BERG,Berger Paints Pakistan Limited.,112.01,PKR,114,PKR,112.01,PKR,113.96,PKR,26420,2.7407140281283735
BFAGRO,Barkat Frisian Agro Limited,42.5,PKR,43.55,PKR,42.44,PKR,42.86,PKR,982727,2.781774580335723
BFBIO,BF Biosciences Ltd,150,PKR,163.52,PKR,149.71,PKR,163.52,PKR,2669119,10.003363605785404
BFMOD,BF Modaraba,14.4,PKR,15.4,PKR,13.32,PKR,13.91,PKR,35338,-4.068965517241378
BGL,Balochistan Glass Ltd.,14.95,PKR,14.95,PKR,14.67,PKR,14.87,PKR,300301,2.1291208791208702
BHAT,Bhanero Textile Mills Limited.,805,PKR,850,PKR,805,PKR,850,PKR,82,6.121327889933452
BIFO,Biafo Industries Limited,167.49,PKR,170,PKR,165,PKR,168.65,PKR,38270,0.2556176435620062
BILF,Zuma Resources Limited,44,PKR,44.05,PKR,40,PKR,42.14,PKR,51463,-1.449953227315242
BIPL,BankIslami Pakistan Limited,38.5,PKR,39.59,PKR,37.5,PKR,39.41,PKR,2043760,7.238095238095228
BML,Bank Makramah Limited,7.41,PKR,7.69,PKR,7.37,PKR,7.63,PKR,11763643,5.6786703601108055
BNL,Bunny's Ltd.,123.93,PKR,124.49,PKR,120.9,PKR,122.28,PKR,724644,1.637436622059678
BNWM,Bannu Woollen Mills Limited,66.2,PKR,70,PKR,66.2,PKR,67.16,PKR,9900,1.450151057401803
BOK,Bank of Khyber,33.4,PKR,35,PKR,33.4,PKR,34.91,PKR,32603,7.118748082233791
BOP,Bank of Punjab,32.92,PKR,34.96,PKR,32.7,PKR,34.63,PKR,100722438,8.967904342353686
BPL,Burshane LPG (Pakistan) Limited,32.27,PKR,33.99,PKR,32.25,PKR,32.63,PKR,13673,0.36911719470933424
BRRG,B.R.R. Guardian limited,43,PKR,45.7,PKR,41.52,PKR,44.93,PKR,234576,1.6285908165573373
BTL,Blessed Textiles Limited,306.02,PKR,314.99,PKR,298,PKR,298.01,PKR,151,-2.6174759819619604
BUXL,Buxly Paints Limited,150.01,PKR,157.9,PKR,150.01,PKR,154.97,PKR,4820,2.7243802200715797
BWCL,Bestway Cement Limited,615,PKR,619.89,PKR,604.95,PKR,605.04,PKR,59247,0.016530565014697168
BWHL,Baluchistan Wheels Limited,188,PKR,192,PKR,188,PKR,191.2,PKR,48703,2.4322297224900846
CASH,CALCORP Limited,67,PKR,70,PKR,61,PKR,68.52,PKR,536,4.562795666107119
CCM,Crescent Cotton Mills Limited,60.9,PKR,60.9,PKR,54.1,PKR,56.44,PKR,574,-5.933333333333337
CENI,"Century Insurance Co., Ltd.",52.69,PKR,52.69,PKR,48.5,PKR,50.81,PKR,5710,-2.2508657175836757
CEPB,Century Paper & Board Mills Limited,25,PKR,25.65,PKR,24.59,PKR,24.96,PKR,2002649,0.5640612409347323
CFL,Crescent Fibres Limited,69,PKR,69,PKR,69,PKR,64.44,PKR,100,0
CHAS,Chashma Sugar Mills Limited,67,PKR,72.98,PKR,65,PKR,65.41,PKR,3600,-2.416828285842167
CHBL,Chenab Limited,22.88,PKR,22.88,PKR,20.1,PKR,20.21,PKR,166894,-5.9999999999999964
CHCC,Cherat Cement Co. Ltd.,333,PKR,352.75,PKR,332,PKR,350.31,PKR,275729,6.827884849963402
CJPL,Crescent Jute Products Ltd.,14.77,PKR,14.77,PKR,13.3,PKR,13.58,PKR,87354,-1.2363636363636359
CLOV,Clover Pakistan Limited,41.45,PKR,43.34,PKR,41.45,PKR,42.7,PKR,157400,4.528763769889845
CLVL,Cordoba Logistics & Ventures Limited,16.5,PKR,16.8,PKR,16.22,PKR,16.26,PKR,15253,0.6188118811881276
CNERGY,Cnergyico Pk Limited,7.93,PKR,8.3,PKR,7.93,PKR,8.24,PKR,50823970,5.236270753512135
COLG,Colgate-Palmolive (Pakistan) Limited,1289.46,PKR,1294.47,PKR,1282,PKR,1292.54,PKR,15110,0.9749542990172351
CPHL,Citi Pharma Ltd.,90,PKR,95.5,PKR,90,PKR,95.06,PKR,2860348,7.158155788524416
CPPL,Cherat Packaging Limited,103,PKR,106,PKR,103,PKR,105.43,PKR,101052,2.948930768479651
CRTM,Crescent Textile Mills Ltd.,23.5,PKR,25.59,PKR,23.5,PKR,24.16,PKR,5797127,3.869303525365428
CSAP,Crescent Steel & Allied Products Ltd,99,PKR,99.9,PKR,95.05,PKR,99.67,PKR,230592,4.24641773873026
CSIL,Crescent Star Insurance Co. Ltd.,6.23,PKR,6.35,PKR,5.33,PKR,6.13,PKR,1407218,0.3273322422258522
CTM,Colony Textile Mills Ltd.,6.05,PKR,6.49,PKR,6.01,PKR,6.25,PKR,402188,5.042016806722685
CWSM,Chakwal Spinning Mills Limited,30.1,PKR,32.62,PKR,30.1,PKR,31.15,PKR,1136581,5.059021922428331
CYAN,CYAN Ltd,36,PKR,37,PKR,35.9,PKR,36.9,PKR,151165,2.9575892857142723
DAAG,Data Agro Ltd.,101.1,PKR,104.6,PKR,101.1,PKR,101.58,PKR,2564,-0.528789659224448
DADX,Dadex Eternit Limited,64.15,PKR,64.15,PKR,62.02,PKR,63.11,PKR,4278,-1.69781931464175
DBCI,Dadabhoy Cement Industries Limited,6.9,PKR,7,PKR,6.62,PKR,6.74,PKR,74912,-1.0279001468428692
