Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 Investments Limited,12.01,PKR,13.2,PKR,12.01,PKR,13,PKR,117243,2.442868400315213
AABS,Al-Abbas Sugar Mills Ltd.,1043.95,PKR,1043.95,PKR,1000.01,PKR,1000,PKR,10,0
AATM,Ali Asghar Textile Mills Limited,50.99,PKR,51.1,PKR,47.63,PKR,48.79,PKR,2066,0.5772005772005795
ABL,Allied Bank Limited,207,PKR,207.9,PKR,199.99,PKR,202.55,PKR,268883,-1.7748896755734427
ABOT,Abbott Laboratories Pakistan Limited,1211,PKR,1211.9,PKR,1190.35,PKR,1198.76,PKR,3389,0.18637225978454516
ACPL,Attock Cement Pakistan Limited,295,PKR,296,PKR,286.11,PKR,290.97,PKR,136253,-1.168438572059372
ADAMS,Adam Sugar Mills Limited,72,PKR,72,PKR,70.05,PKR,71.39,PKR,109,0
ADMM,Artistic Denim Mills Limited,49.8,PKR,50,PKR,47.5,PKR,48.58,PKR,27316,-1.3604060913705618
AGHA,Agha Steel Industries Ltd.,9.11,PKR,9.39,PKR,9.1,PKR,9.2,PKR,1627502,1.2101210121012038
AGIC,Askari General Insurance Co. Ltd.,47.52,PKR,47.98,PKR,47,PKR,47,PKR,21826,-1.5706806282722512
AGIL,Agriauto Industries Limited,134.9,PKR,137,PKR,134.9,PKR,135.5,PKR,1384,0.4224412658415424
AGL,Agritech Limited,76.1,PKR,78.4,PKR,75,PKR,75.22,PKR,69763,-1.4800261951538907
AGP,AGP Limited,199.9,PKR,199.9,PKR,196.5,PKR,198,PKR,56990,-0.9455200360198042
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,8.86,PKR,9.1,PKR,8.81,PKR,8.91,PKR,27343,1.2499999999999936
AGTL,Al-Ghazi Tractors Ltd.,429,PKR,429,PKR,429,PKR,429,PKR,532686,10
AHCL,Arif Habib Corporation Limited,15.7,PKR,15.7,PKR,15.32,PKR,15.36,PKR,5040246,-1.094655505473277
AHL,Arif Habib Limited,109.25,PKR,110.9,PKR,106.01,PKR,107.88,PKR,107467,-1.2449652142072496
AHTM,Ahmed Hassan Textile Mills Ltd.,120.01,PKR,126.87,PKR,104.22,PKR,113,PKR,32376,-3.2865457035261927
AICL,Adamjee Insurance Co. Limited,84.5,PKR,88.38,PKR,83.53,PKR,83.92,PKR,846873,0.4909591665668741
AIRLINK,Air Link Communication Ltd.,152,PKR,153.49,PKR,150.15,PKR,150.65,PKR,503061,-0.7706494532999523
AKBL,Askari Bank Limited,93.24,PKR,95.5,PKR,92,PKR,94.4,PKR,5273084,1.2658227848101338
AKDHL,AKD Hospitality Limited,173,PKR,175.89,PKR,171.01,PKR,172.29,PKR,519,-1.929644808743178
AKDSL,AKD Securities Limited,39.04,PKR,39.39,PKR,37.01,PKR,37.37,PKR,738940,-4.031843862352337
AKGL,Al-Khair Gadoon Limited,50.21,PKR,53.1,PKR,50.21,PKR,53.1,PKR,154748,-1.884700665188463
ALAC,Askari Life Assurance Co. Ltd.,13.8,PKR,13.85,PKR,13.1,PKR,13.21,PKR,1165391,-3.7873270211216283
ALIFE,Adamjee Life Assurance Company Limited,32.64,PKR,35.99,PKR,32.64,PKR,36.05,PKR,118,0
ALNRS,Al-Noor Sugar Mills Limited,99.2,PKR,108,PKR,99.2,PKR,102,PKR,527,-4.126327662374283
