Symbol,Timestamp,Open,Close,ChangePct,Volume,RVOL
GHGL,2026-01-09T06:55:58.000000000Z,37.47,37.9,1.1476,13344,0.1284
GHGL,2026-01-09T10:13:18.000000000Z,37,37.88,2.3784,366235,3.5251
GHGL,2026-01-09T10:27:51.000000000Z,37,37.39,1.0541,86236,0.8300
TOMCL,2026-01-05T04:32:01.000000000Z,51.59,55.58,7.7341,145551,1.1651
TOMCL,2026-01-05T04:33:56.000000000Z,51.49,55.5,7.7879,187646,1.5021
TOMCL,2026-01-05T04:35:24.000000000Z,51.3,55.6,8.3821,191824,1.5355
TOMCL,2026-01-05T04:37:24.000000000Z,51.56,55.5,7.6416,208185,1.6665
TOMCL,2026-01-05T04:39:01.000000000Z,51.25,55.56,8.4098,199231,1.5948
TOMCL,2026-01-05T04:41:10.000000000Z,51.42,55.7,8.3236,152091,1.2175
TOMCL,2026-01-05T04:53:35.000000000Z,51.44,56.15,9.1563,253768,2.0314
TOMCL,2026-01-05T04:55:08.000000000Z,51.48,56.3,9.3629,205129,1.6420
TOMCL,2026-01-05T04:56:59.000000000Z,51.47,56.06,8.9178,316830,2.5362
TOMCL,2026-01-05T04:59:07.000000000Z,51.47,56,8.8012,256143,2.0504
TOMCL,2026-01-05T05:01:09.000000000Z,51.45,56.01,8.8630,178202,1.4265
TOMCL,2026-01-05T05:34:22.000000000Z,51.51,55.81,8.3479,63546,0.5087
TOMCL,2026-01-05T05:37:24.000000000Z,51.5,55.87,8.4854,70002,0.5604
TOMCL,2026-01-05T05:40:24.000000000Z,51.5,56.02,8.7767,84133,0.6735
TOMCL,2026-01-05T05:43:25.000000000Z,51.37,56.08,9.1688,165618,1.3258
TOMCL,2026-01-05T05:46:38.000000000Z,51.25,56.05,9.3659,192639,1.5421
TOMCL,2026-01-05T05:48:59.000000000Z,51.3,56.29,9.7271,120500,0.9646
TOMCL,2026-01-05T05:52:10.000000000Z,51.32,56.2,9.5090,143255,1.1467
TOMCL,2026-01-05T05:54:21.000000000Z,51.5,56.15,9.0291,55804,0.4467
TOMCL,2026-01-05T05:58:18.000000000Z,51.5,56.12,8.9709,55315,0.4428
TOMCL,2026-01-05T06:01:34.000000000Z,51.49,56.13,9.0115,106819,0.8551
TOMCL,2026-01-05T06:04:53.000000000Z,51.5,56.09,8.9126,48383,0.3873
TOMCL,2026-01-05T06:10:05.000000000Z,51.5,56,8.7379,49975,0.4000
TOMCL,2026-01-05T06:15:01.000000000Z,51.5,55.99,8.7184,72330,0.5790
TOMCL,2026-01-05T06:19:54.000000000Z,51.49,55.98,8.7201,74980,0.6002
TOMCL,2026-01-05T06:22:59.000000000Z,51.35,55.98,9.0166,62445,0.4999
TOMCL,2026-01-05T06:27:51.000000000Z,51.39,55.81,8.6009,113376,0.9076
TOMCL,2026-01-05T06:32:20.000000000Z,51.37,55.64,8.3122,154092,1.2335
TOMCL,2026-01-05T06:39:41.000000000Z,51.39,55.75,8.4841,71058,0.5688
TOMCL,2026-01-05T06:45:04.000000000Z,51.34,56,9.0767,74026,0.5926
TOMCL,2026-01-05T06:49:33.000000000Z,51.41,56,8.9282,90514,0.7246
TOMCL,2026-01-05T06:54:18.000000000Z,51.43,55.98,8.8470,41725,0.3340
TOMCL,2026-01-05T06:59:16.000000000Z,51.46,55.8,8.4337,106171,0.8499
TOMCL,2026-01-05T07:04:01.000000000Z,51.4,56,8.9494,124622,0.9976
TOMCL,2026-01-05T07:09:46.000000000Z,51.45,56,8.8435,95912,0.7678
TOMCL,2026-01-05T07:13:38.000000000Z,51.5,56.02,8.7767,50280,0.4025
TOMCL,2026-01-05T07:18:30.000000000Z,51.45,55.95,8.7464,67435,0.5398
TOMCL,2026-01-05T07:22:48.000000000Z,51.41,56.02,8.9671,63717,0.5100
TOMCL,2026-01-05T07:26:25.000000000Z,51.45,55.99,8.8241,42324,0.3388
TOMCL,2026-01-05T07:30:19.000000000Z,51.45,55.95,8.7464,50631,0.4053
TOMCL,2026-01-05T07:35:43.000000000Z,51.4,56,8.9494,177313,1.4194
TOMCL,2026-01-05T07:41:29.000000000Z,51.35,56,9.0555,117472,0.9404
TOMCL,2026-01-05T07:46:59.000000000Z,51.4,55.95,8.8521,57548,0.4607
TOMCL,2026-01-05T07:51:39.000000000Z,51.37,55.97,8.9546,49933,0.3997
TOMCL,2026-01-05T07:58:01.000000000Z,51.3,55.98,9.1228,51079,0.4089
TOMCL,2026-01-05T08:03:49.000000000Z,51.36,55.95,8.9369,42122,0.3372
TOMCL,2026-01-05T08:10:17.000000000Z,51.35,55.98,9.0166,115829,0.9272
TOMCL,2026-01-05T08:17:24.000000000Z,51.4,55.9,8.7549,30832,0.2468
TOMCL,2026-01-05T08:25:28.000000000Z,51.4,55.93,8.8132,17626,0.1411
TOMCL,2026-01-05T08:33:35.000000000Z,51.32,55.83,8.7880,83587,0.6691
TOMCL,2026-01-05T08:38:53.000000000Z,51.45,55.6,8.0661,173657,1.3901
TOMCL,2026-01-05T08:42:59.000000000Z,51.44,55.6,8.0871,244327,1.9558
TOMCL,2026-01-05T08:49:41.000000000Z,51.35,55.85,8.7634,68123,0.5453
TOMCL,2026-01-05T08:54:02.000000000Z,51.35,55.65,8.3739,33389,0.2673
TOMCL,2026-01-05T08:58:23.000000000Z,51.37,55.51,8.0592,75745,0.6063
TOMCL,2026-01-05T09:07:33.000000000Z,51.36,55.6,8.2555,50682,0.4057
TOMCL,2026-01-05T09:14:19.000000000Z,51.35,55.68,8.4323,28042,0.2245
TOMCL,2026-01-05T09:22:13.000000000Z,51.35,55.75,8.5686,35401,0.2834
TOMCL,2026-01-05T09:26:33.000000000Z,51.4,56,8.9494,120853,0.9674
TOMCL,2026-01-05T09:32:45.000000000Z,51.4,56.2,9.3385,280176,2.2428
TOMCL,2026-01-05T09:37:18.000000000Z,51.4,56.3,9.5331,235006,1.8812
TOMCL,2026-01-05T09:40:30.000000000Z,51.4,56.3,9.5331,71160,0.5696
TOMCL,2026-01-05T09:45:31.000000000Z,51.4,56.7,10.3113,493055,3.9469
TOMCL,2026-01-05T09:49:47.000000000Z,51.4,57.05,10.9922,733960,5.8753
TOMCL,2026-01-05T09:52:56.000000000Z,51.47,57.29,11.3076,387865,3.1048
TOMCL,2026-01-05T09:57:08.000000000Z,51.4,57.49,11.8482,706758,5.6575
TOMCL,2026-01-05T10:01:24.000000000Z,51.4,57.25,11.3813,179472,1.4367
TOMCL,2026-01-05T10:04:50.000000000Z,51.6,57.2,10.8527,125865,1.0075
TOMCL,2026-01-05T10:08:17.000000000Z,51.33,57.17,11.3774,87854,0.7033
TOMCL,2026-01-05T10:12:12.000000000Z,51.36,57.16,11.2928,50578,0.4049
TOMCL,2026-01-05T10:17:56.000000000Z,51.42,57.17,11.1824,75542,0.6047
TOMCL,2026-01-05T10:21:23.000000000Z,51.35,57.1,11.1977,92579,0.7411
TOMCL,2026-01-05T10:23:44.000000000Z,51.4,57.09,11.0700,39804,0.3186
TOMCL,2026-01-05T10:26:33.000000000Z,51.49,57.04,10.7788,58487,0.4682
TOMCL,2026-01-05T10:28:52.000000000Z,51.46,57.04,10.8434,50556,0.4047
TOMCL,2026-01-05T10:39:29.000000000Z,51.43,57.18,11.1802,74848,0.5991
TOMCL,2026-01-06T04:33:15.000000000Z,51.45,57.21,11.1953,91714,0.7342
TOMCL,2026-01-06T04:35:23.000000000Z,51.45,57.2,11.1759,127582,1.0213
TOMCL,2026-01-06T04:37:27.000000000Z,51.57,57.28,11.0723,87309,0.6989
TOMCL,2026-01-06T04:39:02.000000000Z,51.69,57.2,10.6597,85094,0.6812
TOMCL,2026-01-06T04:40:21.000000000Z,51.68,57.19,10.6618,113092,0.9053
TOMCL,2026-01-06T04:42:26.000000000Z,51.69,57.25,10.7564,103480,0.8283
TOMCL,2026-01-06T04:44:38.000000000Z,51.49,57.24,11.1672,59269,0.4744
TOMCL,2026-01-06T04:47:59.000000000Z,51.64,57.17,10.7088,45087,0.3609
TOMCL,2026-01-06T04:50:34.000000000Z,51.4,57.06,11.0117,48308,0.3867
