Symbol,Time_PKT,Open,Close,ChangePct,Duration,Volume,RVOL
CTM,"1/5/2026, 9:33:25 AM",7.65,8.1,5.8824,1m 16s,622076,10.4771
BFMOD,"1/6/2026, 11:41:54 AM",25,26,4.0000,37m 8s,83101,10.5548
CTM,"1/6/2026, 12:19:30 PM",7.85,8.1,3.1847,4m 34s,248429,2.5633
CTM,"1/6/2026, 12:39:42 PM",8.25,8.6,4.2424,1m 6s,422155,4.0405
UCAPM,"1/6/2026, 1:30:51 PM",6.3,6.49,3.0159,1m 52s,141000,4.3277
UCAPM,"1/6/2026, 1:43:10 PM",6.6,6.8,3.0303,2m 16s,166535,3.4048
MACFL,"1/6/2026, 1:58:31 PM",28.46,29.7,4.3570,9m 11s,250968,9.4392
UCAPM,"1/6/2026, 2:13:26 PM",7.24,7.6,4.9724,2m 39s,185279,2.4427
CTM,"1/7/2026, 11:14:06 AM",9.31,9.7,4.1890,2m 6s,395222,3.6325
ZAL,"1/7/2026, 1:43:12 PM",49.7,52.34,5.3119,1m 18s,1397509,30.0557
BFMOD,"1/7/2026, 2:10:06 PM",27,29.3,8.5185,51m 33s,130638,6.1291
SGPL,"1/7/2026, 3:10:26 PM",30.5,32.4,6.2295,5m 5s,443220,16.9235
SGPL,"1/7/2026, 3:29:00 PM",31.2,32.9,5.4487,1083m 22s,182328,3.1046
ZAL,"1/7/2026, 3:29:50 PM",52.34,56,6.9927,1082m 29s,375779,2.6133
QUICE,"1/7/2026, 3:40:26 PM",38.06,40,5.0972,1072m 19s,380836,6.6613
OBOY,"1/8/2026, 9:35:52 AM",10.51,11.1,5.6137,1m 34s,322763,4.6877
EMCO,"1/8/2026, 2:14:47 PM",59.36,61.91,4.2958,30m 9s,44778,5.8465
OBOY,"1/8/2026, 3:02:20 PM",11.54,12.03,4.2461,1094m 46s,499820,2.7333
BFMOD,"1/8/2026, 3:02:55 PM",32.1,35.31,10.0000,1096m 23s,120113,4.2658
QUICE,"1/8/2026, 3:28:38 PM",41.87,44.5,6.2813,1068m 29s,286366,33.3670
OBOY,"1/9/2026, 9:17:07 AM",12.02,12.69,5.5740,0m 56s,1036672,5.0406
OBOY,"1/9/2026, 9:18:04 AM",12.3,12.69,3.1707,0m 59s,574031,2.2485
NML,"1/9/2026, 4:39:19 PM",184.62,191.48,3.7157,3893m 11s,207808,2.4705
SEL,"1/12/2026, 9:59:26 AM",32.99,35,6.0928,4m 13s,11128,2.9762
QUICE,"1/12/2026, 10:50:20 AM",37.25,38.5,3.3557,0m 49s,377150,5.6260
BFMOD,"1/12/2026, 2:55:54 PM",36,38.84,7.8889,5m 54s,57786,3.6177
OBOY,"1/12/2026, 3:25:44 PM",12.3,13.18,7.1545,1087m 22s,274193,4.4281
QUICE,"1/13/2026, 9:32:47 AM",33.5,35,4.4776,1m 0s,147871,2.3742
CTM,"1/13/2026, 9:53:04 AM",8.77,9.05,3.1927,6m 53s,318250,5.5998
CRTM,"1/13/2026, 10:34:44 AM",26.01,27.9,7.2664,2m 9s,69001,3.2740
QUICE,"1/13/2026, 2:46:10 PM",33.3,34.5,3.6036,0m 49s,489197,9.2552
ZAL,"1/13/2026, 3:26:05 PM",61.85,66,6.7098,1086m 35s,537715,12.1533
OBOY,"1/14/2026, 10:00:30 AM",13.84,14.38,3.9017,0m 53s,919511,11.8759
QUICE,"1/14/2026, 2:34:30 PM",33.14,34.25,3.3494,0m 52s,491342,25.3561
